barcode,I1,I2,I3,1F0,1F3,1F4,1F5,2F0,2F1,2F2,2F3,2F4,2F5,3F0,3F1,3F2,3F3,3F4,3F5,4F0,4F1,4F2,4F3,4F4,4F5,5F0,5F1,5F2,5F3,5F4,5F5,C8
"Cluster_7397,contig_0 consensus mapping",1539,1655,1371,1494,0,2,0,1245,258,0,0,0,0,2050,4,0,1,0,0,2270,0,0,0,0,0,2280,11,0,0,0,0,0
"Cluster_5885,contig_0 consensus mapping",1279,1285,1086,1258,0,0,0,982,349,0,0,0,0,1806,0,0,0,0,0,1935,0,0,0,0,0,2302,0,0,0,0,0,0
"Cluster_15590,contig_0 consensus mapping",1248,1536,1151,1467,1,3855,131,1184,626,1678,3954,11801,4861,1599,7,1,1,12,2,2131,18,2,1,1,4,1981,25,0,1,0,8,0
"Cluster_5221,contig_0 consensus mapping",857,1028,820,907,3,361,67,850,5269,13062,12648,11006,4205,1503,10,4,0,3,0,1415,1,1,4,0,1,1618,0,6,1,2,16,0
"Cluster_10375,contig_0 consensus mapping",2080,2286,1806,2355,0,0,0,1889,517,0,0,0,0,2941,3,0,0,0,0,3830,11,0,0,0,0,3759,0,0,0,0,0,0
"Cluster_14611,contig_0 consensus mapping",743,770,699,823,25916,30,478,691,175,19,34,33,19,848,44,19,1,3,4,1097,10,106,5,12,36,1290,41454,92317,34989,68473,98476,39
"Cluster_9420,contig_0 consensus mapping",1568,1641,1353,1317,0,2,0,1104,751,0,0,0,0,1281,3,0,0,0,0,1991,0,0,0,0,0,2102,0,0,0,0,0,0
"Cluster_14268,contig_0 consensus mapping",787,946,881,1047,0,0,0,737,195,0,0,0,0,1392,6,0,0,0,1,1434,0,0,0,0,0,1595,2,0,0,0,0,1
"Cluster_7050,contig_0 consensus mapping",853,1100,823,1048,14,2890,111,887,12419,16002,10144,15473,7205,1158,39,6,0,12,0,1472,3,1,2,0,1,1544,0,4,3,1,1,1
"Cluster_6917,contig_0 consensus mapping",1004,1083,868,1052,0,0,1,774,190,0,0,0,0,1387,0,0,0,0,0,1610,0,0,0,0,0,1629,2,0,0,0,0,0
"Cluster_13137,contig_0 consensus mapping",1427,1554,1328,1574,0,0,0,1260,368,0,0,0,0,2236,2,0,0,0,0,2320,8,0,0,0,0,2454,0,0,0,0,0,0
"Cluster_142,contig_0 consensus mapping",787,938,753,927,0,0,0,697,329,0,0,0,0,883,0,0,0,0,0,1386,0,0,0,0,0,1515,0,0,0,0,0,0
"Cluster_10769,contig_0 consensus mapping",1060,990,876,1057,0,0,0,846,135,0,0,0,0,1190,0,0,0,0,0,1645,0,0,0,0,0,1682,0,0,0,0,0,0
