"","Nbarcodes","Nb","Ns","Nr","Nb_cal","Nr_cal"
"A1F1",242,14515.4093086667,1601,14515.4093086667,NA,NA
"A1F11",136,54.7599761156495,277,277,NA,NA
"A1F16",2,2.30262931429875,2,2.30262931429875,NA,NA
"A1F2",179,112.313713435917,389,389,NA,NA
"A1F21",1,1.45478069275408,1,1.45478069275408,NA,NA
"A1F5",141,36.1005779286397,231,231,NA,NA
"A2F1",243,10851.2549308791,1491,10851.2549308791,NA,NA
"A2F11",55,8.17828321460377,66.5555555555556,66.5555555555556,NA,NA
"A2F16",2,1.89390291813588,2,2,NA,NA
"A2F2",234,124.672569527768,1181,1181,NA,NA
"A2F21",1,1.45097009046305,1,1.45097009046305,NA,NA
"A2F5",63,22.8123549928284,76,76,NA,NA
"A3F1",253,11367.3994467314,2371,15422.2594871318,NA,NA
"A3F11",12,6.61048407535569,12,12,NA,NA
"A3F16",2,1.74134867817352,2,2,NA,NA
"A3F2",15,7.46095684334485,15,15,NA,NA
"A3F21",2,1.44845833274586,2,2,NA,NA
"A3F5",30,9.20762731397888,32.25,32.25,NA,NA
"A4F1",253,17.9110661013392,2371,7170.91104817106,NA,NA
"A4F11",11,1.8917938978174,11,11,NA,NA
"A4F16",1,1.43017130984629,1,1.43017130984629,NA,NA
"A4F2",16,7.95017784127665,16,16,NA,NA
"A4F21",2,2.86990999746587,2,2.86990999746587,NA,NA
"A4F5",17,2.23276386875611,17,17,NA,NA
"B1F1",66,11.6326005345673,79.75,79.75,NA,NA
"B1F11",2,2.32800800582763,2,2.94588155832673,NA,NA
"B1F16",2,2.21888142114806,2,2.9458659728023,NA,NA
"B1F2",1,2.94545533507925,1,2.94545533507925,NA,NA
"B1F5",6,4.85142719024756,6,6,NA,NA
"B2F1",2,1.70646820703267,2,2,NA,NA
"B2F11",5,1.42625991092209,5,5,NA,NA
"B2F16",2,2.62429548554296,2,2.94603645906261,NA,NA
"B2F2",5,1.46769407030769,5,5,NA,NA
"B2F5",1,1.37546867027103,1,1.37546867027103,NA,NA
"B3F1",248,1215.60021049177,2471,2563.87752847055,NA,NA
"B3F11",6,4.04399019257129,6,6,NA,NA
"B3F16",2,4.31787514486584,2,4.31787514486584,NA,NA
"B3F2",6,3.6765745762655,6,6,NA,NA
"B3F21",1,2.94255525043505,1,2.94255525043505,NA,NA
"B3F5",5,3.81485931656871,5,5,NA,NA
"B4F1",146,32.2076080445623,255.285714285714,255.285714285714,NA,NA
"B4F11",4,3.31970779135842,4,4,NA,NA
"B4F16",6,3.29197124341284,6,6,NA,NA
"B4F21",1,2.9492062771902,1,2.9492062771902,NA,NA
"B4F5",9,5.29663231134734,9,9,NA,NA
"C1F1",61,66.9122912925419,73.5,73.5,NA,NA
"C1F11",1,1.44782530020286,1,1.44782530020286,NA,NA
"C1F16",1,1.44853754059135,1,1.44853754059135,NA,NA
"C1F2",1,1.4478164337245,1,1.4478164337245,NA,NA
"C1F21",2,1.44735712366316,2,2,NA,NA
"C1F5",1,1.44769903466353,1,1.44769903466353,NA,NA
"C2F1",1,1.32113224608898,1,1.32113224608898,NA,NA
"C2F11",1,1.44770099978826,1,1.44770099978826,NA,NA
"C2F16",1,1.44914688615306,1,1.44914688615306,NA,NA
"C2F21",1,1.44798928467077,1,1.44798928467077,NA,NA
"C2F5",1,1.44742237737498,1,1.44742237737498,NA,NA
"C3F1",16,7.92764680613697,16,16,NA,NA
"C3F11",1,1.44936213515322,1,1.44936213515322,NA,NA
"C3F16",1,1.44835191516535,1,1.44835191516535,NA,NA
"C3F21",1,1.44776747987274,1,1.44776747987274,NA,NA
"C3F5",1,1.45791659662111,1,1.45791659662111,NA,NA
"C4F1",1,1.40511832906975,1,1.40511832906975,NA,NA
"C4F11",1,1.44943037437674,1,1.44943037437674,NA,NA
"C4F16",1,1.44792804174181,1,1.44792804174181,NA,NA
"C4F21",1,1.44750466159376,1,1.44750466159376,NA,NA
"C4F5",1,1.44846848918342,1,1.44846848918342,NA,NA
"I0D",252,18521.7786866658,2371,18521.7786866658,NA,NA
"I0E",246,11223.0302566983,1941,11223.0302566983,NA,NA
"I0F",252,10760.1481655274,2371,10760.1481655274,NA,NA
"I8",90,115.69289273628,119.571428571429,119.571428571429,NA,NA
"I8.1",95,116.381368880945,133.5,133.5,NA,NA
"I8dose",96,107.214194541245,131,131,NA,NA
