,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal,Nr_calibrated
A1F1,242,14515.40931,1601,14515.40931,NA,NA,30923.3217
A1F11,136,54.75997612,277,277,NA,NA,267.0945464
A1F16,2,2.302629314,2,2.302629314,NA,NA,2.302629314
A1F2,179,112.3137134,389,389,NA,NA,369.3978696
A1F21,1,1.454780693,1,1.454780693,NA,NA,1.454780693
A1F5,141,36.10057793,231,231,NA,NA,224.9072304
A2F1,243,10851.25493,1491,10851.25493,NA,NA,20933.2719
A2F11,55,8.178283215,66.55555556,66.55555556,NA,NA,68.57120425
A2F16,2,1.893902918,2,2,NA,NA,2
A2F2,234,124.6725695,1181,1181,NA,NA,1147.187378
A2F21,1,1.45097009,1,1.45097009,NA,NA,1.45097009
A2F5,63,22.81235499,76,76,NA,NA,77.95819863
A3F1,253,11367.39945,2371,15422.25949,NA,NA,33601.16729
A3F11,12,6.610484075,12,12,NA,NA,11.96056347
A3F16,2,1.741348678,2,2,NA,NA,2
A3F2,15,7.460956843,15,15,NA,NA,15.27697592
A3F21,2,1.448458333,2,2,NA,NA,2
A3F5,30,9.207627314,32.25,32.25,NA,NA,33.69967494
A4F1,253,17.9110661,2371,7170.911048,NA,NA,12018.56629
A4F11,11,1.891793898,11,11,NA,NA,10.84548248
A4F16,1,1.43017131,1,1.43017131,NA,NA,1.43017131
A4F2,16,7.950177841,16,16,NA,NA,16.37339881
A4F21,2,2.869909997,2,2.869909997,NA,NA,2.869909997
A4F5,17,2.232763869,17,17,NA,NA,17.46553871
B1F1,66,11.63260053,79.75,79.75,NA,NA,81.66960391
B1F11,2,2.328008006,2,2.945881558,NA,NA,2.945881558
B1F16,2,2.218881421,2,2.945865973,NA,NA,2.945865973
B1F2,1,2.945455335,1,2.945455335,NA,NA,2.945455335
B1F5,6,4.85142719,6,6,NA,NA,5.227174322
B2F1,2,1.706468207,2,2,NA,NA,2
B2F11,5,1.426259911,5,5,NA,NA,4.133767379
B2F16,2,2.624295486,2,2.946036459,NA,NA,2.946036459
B2F2,5,1.46769407,5,5,NA,NA,4.133767379
B2F5,1,1.37546867,1,1.37546867,NA,NA,1.37546867
B3F1,248,1215.60021,2471,2563.877528,NA,NA,2925.823922
B3F11,6,4.043990193,6,6,NA,NA,5.227174322
B3F16,2,4.317875145,2,4.317875145,NA,NA,3.413078044
B3F2,6,3.676574576,6,6,NA,NA,5.227174322
B3F21,1,2.94255525,1,2.94255525,NA,NA,2.94255525
B3F5,5,3.814859317,5,5,NA,NA,4.133767379
B4F1,146,32.20760804,255.2857143,255.2857143,NA,NA,247.2108131
B4F11,4,3.319707791,4,4,NA,NA,3.087185503
B4F16,6,3.291971243,6,6,NA,NA,5.227174322
B4F21,1,2.949206277,1,2.949206277,NA,NA,2.949206277
B4F5,9,5.296632311,9,9,NA,NA,8.60142449
C1F1,61,66.91229129,73.5,73.5,NA,NA,75.47930624
C1F11,1,1.4478253,1,1.4478253,NA,NA,1.4478253
C1F16,1,1.448537541,1,1.448537541,NA,NA,1.448537541
C1F2,1,1.447816434,1,1.447816434,NA,NA,1.447816434
C1F21,2,1.447357124,2,2,NA,NA,2
C1F5,1,1.447699035,1,1.447699035,NA,NA,1.447699035
C2F1,1,1.321132246,1,1.321132246,NA,NA,1.321132246
C2F11,1,1.447701,1,1.447701,NA,NA,1.447701
C2F16,1,1.449146886,1,1.449146886,NA,NA,1.449146886
C2F21,1,1.447989285,1,1.447989285,NA,NA,1.447989285
C2F5,1,1.447422377,1,1.447422377,NA,NA,1.447422377
C3F1,16,7.927646806,16,16,NA,NA,16.37339881
C3F11,1,1.449362135,1,1.449362135,NA,NA,1.449362135
C3F16,1,1.448351915,1,1.448351915,NA,NA,1.448351915
C3F21,1,1.44776748,1,1.44776748,NA,NA,1.44776748
C3F5,1,1.457916597,1,1.457916597,NA,NA,1.457916597
C4F1,1,1.405118329,1,1.405118329,NA,NA,1.405118329
C4F11,1,1.449430374,1,1.449430374,NA,NA,1.449430374
C4F16,1,1.447928042,1,1.447928042,NA,NA,1.447928042
C4F21,1,1.447504662,1,1.447504662,NA,NA,1.447504662
C4F5,1,1.448468489,1,1.448468489,NA,NA,1.448468489
I0D,252,18521.77869,2371,18521.77869,NA,NA,43486.25468
I0E,246,11223.03026,1941,11223.03026,NA,NA,21891.55686
I0F,252,10760.14817,2371,10760.14817,NA,NA,20700.17749
I8,90,115.6928927,119.5714286,119.5714286,NA,NA,120.5669467
I8.1,95,116.3813689,133.5,133.5,NA,NA,133.9060999
I8dose,96,107.2141945,131,131,NA,NA,131.520941
