tube,cfu
D1F0,2.60E+08
D1F1,5.00E+04
D1F2,8.00E+05
D1F3,4.00E+06
D1F5,4.00E+08
D2F0,6.00E+07
D2F1,2.10E+04
D2F2,1.10E+05
D2F3,9.00E+05
D2F5,3.00E+07
D4F0,8.00E+07
D4F1,1.20E+04
D4F2,1.10E+06
D4F3,1.30E+07
D4F5,1.00E+08
C1F0,1.60E+06
C1F1,1.43E+02
C1F2,8.00E+03
C1F3,3.00E+05
C1F5,2.00E+07
C2F0,3.60E+07
C2F1,3.00E+03
C2F2,4.00E+03
C2F3,1.40E+06
C2F5,2.10E+07
C3F0,1.20E+07
C3F1,1.70E+04
C3F2,2.20E+05
C3F3,2.20E+06
C3F5,4.00E+07
C4F0,3.70E+07
C4F1,5.00E+03
C4F2,3.50E+04
C4F3,1.20E+06
C4F5,2.60E+07
B1F0,8.00E+05
B1F1,2.30E+02
B1F2,1.00E+04
B1F3,1.40E+06
B1F5,1.20E+07
B2F0,2.30E+04
B2F1,2.00E+01
B2F2,2.00E+00
B2F3,6.00E+00
B2F5,4.00E+02
B3F0,8.00E+05
B3F1,1.09E+02
B3F2,2.00E+02
B3F3,7.00E+05
B3F5,3.00E+07
B4F0,2.40E+04
B4F1,3.20E+01
B4F2,2.00E+00
B4F3,0.00E+00
B4F5,1.00E+03
A1F0,1.80E+05
A1F1,3.00E+00
A1F2,0.00E+00
A1F3,0.00E+00
A1F5,0.00E+00
A2F0,2.60E+01
A2F1,0.00E+00
A2F2,0.00E+00
A2F3,0.00E+00
A2F5,0.00E+00
A3F0,1.30E+03
A3F1,1.00E+00
A3F2,0.00E+00
A3F3,0.00E+00
A3F5,0.00E+00
A4F0,3.00E+03
A4F1,0.00E+00
A4F2,0.00E+00
A4F3,0.00E+00
A4F5,0.00E+00
I1A,1000000000
I1B,1000000000
I1C,1000000000
I2A,100000000
I2B,100000000
I2C,100000000
I3A,1.00E+07
I3B,1.00E+07
I3C,1.00E+07
A0,1000000000
B0,1000000000
