barcode,I0A,I0B,I0C,I1A,I1B,I1C,I2A,I2B,I2C,I3A,I3B,I3C,A0,B0,A1F0,A1F1,A2F0,A3F0,A3F1,A4F0,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,D1F0,D1F1,D1F2,D1F5,D2F0,D2F1,D2F2,D2F5,D4F0,D4F1,D4F2,D4F5
"Cluster_7397,contig_0 consensus mapping",3576,4595,4754,5762,5662,3984,2316,1786,4168,4112,4602,3892,2883,4530,4011,28,7,1428,13,1713,5654,11,27,37,5418,35,61,4,4486,3,52,6,5305,8,42,29,4649,7238,10,9,5836,4654,7547,92,3353,55446,116586,61680,2595,2866,5,21,6511,3378,10672,6606,6362,2067,127,7,4434,853,976,1545
"Cluster_5885,contig_0 consensus mapping",1849,2869,2981,3804,3462,2223,1137,818,2649,2952,3197,2836,1522,1954,2461,5,536,492,4,486,3460,1034,6,4,3743,5,15,4,3426,4,23,4,2495,2,5,6,2867,1672,7,3,3960,2966,5,5,2451,1516,1,10,1547,2957,3,12,4995,2014,11,5,5058,970,7,8,3596,1133,1579,2042
"Cluster_15590,contig_0 consensus mapping",3491,3755,3752,4615,4881,3340,2156,1508,3502,3386,4050,3604,2843,4314,4105,9,34,871,326985,1855,4303,1825,280,5,4323,5,11,120,3901,4,12,89,4420,196,14,5,4786,775,203,4,5195,11570,282899,356957,3178,1874,9,11,2293,2840,11,18,5706,2274,2994,381,4968,2203,54,212,3847,1029,2447,3750
"Cluster_5221,contig_0 consensus mapping",1749,2947,2949,3522,3300,2274,1157,888,2523,2721,3066,2602,1651,2104,2331,3,89,429,1,260,3202,11,9,4,2959,8,49,6,3230,1398,12,5,2691,3,6,5,2633,27,7,4,3617,3068,4,13,2147,1731,2444,41670,1646,1845,4,10,4404,2235,2,7,4604,1117,134,6,3292,433,3331,1416
"Cluster_10375,contig_0 consensus mapping",4048,4221,4104,5310,6160,3850,3134,1965,4114,3998,4988,3976,4951,6643,6071,10,11,3887,146,2554,5300,4896,16,9,6134,20,86,305,5079,6,37,151,7133,8329,20,25,6282,37,139,13,7534,4600,14,16,4963,1992,14,190,3187,4378,13,72,6759,3355,261,23,6296,6360,112350,211767,5098,3936,25515,25934
"Cluster_14611,contig_0 consensus mapping",1365,2179,1985,2954,2429,1690,890,620,1706,1985,2200,1926,1134,1552,1685,1,1,334,3,448,2473,601,13,5,2904,3,9,2,2272,0,7,0,1317,1,6,2,1836,552,2,4,2548,1792,2,9,1358,1430,5,7,1171,1426,0,5,3403,1489,2160,26,3272,530,2,5,2291,338,49,153
"Cluster_9420,contig_0 consensus mapping",2576,3341,3041,3749,3855,2610,1938,1228,2970,2755,3398,3095,2912,3657,3265,6,4,3,2,1,3697,10,8,0,4131,6,10,5,3575,3,16,11,2380,5,9,7,3890,1,4,6,4154,5358,10,13,3115,1768,8,8,2068,3837,2,18,4387,2055,756,7,4477,2940,67,12,3362,607,3223,5785
"Cluster_14268,contig_0 consensus mapping",1707,2440,2566,2667,2869,1784,1079,771,2016,2221,2435,2241,1340,1834,2075,7,5,712,8,424,2734,473,19,8,2204,2,6,3,2674,3,11,5,3244,4,8,3,2419,1212,9,6,3218,2051,3,29,1868,1250,2,5,1409,1541,3,12,3576,2531,16960,2280,3679,736,19,3,2662,427,1706,2179
"Cluster_7050,contig_0 consensus mapping",2129,2368,2616,3285,3260,2102,1421,940,2345,2432,2655,2373,1917,3018,2892,7,4,841,6,250,2928,8,14,5,2936,2,4,3,2474,0,11,5,1834,5,8,4,3246,3,13,3,3595,2444,9,13,2163,1488,9,7,1607,1770,6,11,3696,2063,5055,2302,3586,1626,14,10,2701,527,3028,3626
"Cluster_6917,contig_0 consensus mapping",2046,2513,2336,3189,3179,2038,1414,911,2285,2487,2732,2452,1831,2674,2621,6,1,12,6,1690,2925,4,5,5,3118,33803,17,4,2775,0,10,3,2703,6,11,25,4152,3153,10,4,3333,1738,2,12,2428,1372,28,9,1660,2075,0,3,3720,1596,2,5,3495,1464,4,7,2755,922,34,650
"Cluster_13137,contig_0 consensus mapping",2619,2921,3033,3666,3824,2626,1743,1068,2756,2692,3395,2986,2313,3288,3404,6,5,441,7,1853,3761,1075,21,3,3450,11,22,9,3307,4,28,9,3251,3,8,24,3642,2081,12,3,4385,2831,3,7,2694,1452,38012,30231,2031,1797,6,7,4664,2189,3299,149,4456,1417,74,7,3480,694,1893,1474
"Cluster_142,contig_0 consensus mapping",1613,2404,2361,2950,2504,1706,1032,671,2156,2166,2401,2390,1382,1811,1956,5,5,208,5,581,2476,1390,6,2,2481,6,7,0,2350,0,16,9,1535,3,7,6,2447,1,4,1,2856,2040,11,8,1732,992,4,6,1249,1238,2,13,3488,1684,17,2,3501,773,6,11,2576,1342,3151,4557
"Cluster_10769,contig_0 consensus mapping",2036,2527,2631,3127,3056,2146,1615,1020,2408,2368,2862,2548,1926,2841,2843,3,3,919,4,539,2974,7,13,4,3101,4,8,3,2776,1059,91,8,2046,9,9,33,3076,1,10,7,3424,2540,8,22,2187,1590,3,7,1624,2425,11,170,3792,2951,5158,1700,3712,1315,16,12,3058,18294,75652,4594
"Cluster_1171,contig_0 consensus mapping",2041,2306,2375,3108,2933,1984,1303,845,2316,2287,2577,2507,1742,2414,2684,5,3,1087,8,870,2704,7,6,3,2804,6,9,3,2604,1038,66,2,3147,3,6,3,2892,844,22,9,3142,4535,3,9,1929,1676,6,8,1576,19820,35414,61800,3765,1952,1282,148,3447,1006,6,12,2584,617,231,194
"Cluster_1330,contig_0 consensus mapping",2100,2389,2290,3243,3331,1964,1496,909,2237,2223,2672,2554,1981,2762,3096,9,653,687,7,773,3108,9,18,16,3235,4,11,5,2914,1,11,4,2173,3,21,6,3194,3,8,3,3437,3991,105,8,2327,26326,2176,1732,1656,2489,2,13,3856,2075,3972,29,3710,1856,5,8,2867,762,374,273
"Cluster_7854,contig_0 consensus mapping",2406,2586,2764,3344,3696,2337,1794,1184,2706,2618,3137,2808,2469,3729,3355,3,2,546,9,1979,3207,10,6,3,3438,3,8,7,3204,19,98,17,4887,1,10,52,3959,6,8,12,4219,2169,12,7,2790,1225,8,7,2026,2537,34,186,4128,2364,747,82,3927,1682,6,12,3020,92213,88395,12937
"Cluster_4496,contig_0 consensus mapping",1813,2311,2271,3029,2779,1979,1331,852,2078,2306,2576,2376,1853,2384,2383,6,2,611,3,1042,2833,2,17,2,3051,4530,6,6,2540,5,11,2,1660,6,3,9,2956,691,8,1,3116,3536,2,10,2228,1540,11,6,1528,3114,2,13,3739,1575,2945,86,3293,1331,13,6,2779,753,1220,1236
"Cluster_3284,contig_0 consensus mapping",2592,2852,2868,3619,3987,2544,1832,1226,2858,2630,3416,2894,2725,3838,3334,3,3,2583,5,951,3352,1950,10,2,3834,27,72,4,3320,4,26,3,4373,3,8,18,4158,42,11,6,4508,2679,8,22,2966,1605,45528,74197,1922,2965,4,15,4336,2257,3,10,4229,2161,147,10,3362,1112,229,723
"Cluster_12255,contig_0 consensus mapping",1826,2070,2061,2443,2638,1822,1163,845,1915,1840,2086,1848,1690,2429,2029,2,5,1335,0,847,2015,1184,6,2,1736,4,11,4,1799,1,7,8,2087,3,3,5,2222,2621,5,4,2508,1269,6,8,1526,749,3,10,1183,1588,3,6,2764,1684,3499,156,2709,2060,1801,155,1989,883,491,3417
