barcode,I0A,I0Adose,I0B,I0C,A1F1,A1F11,A1F16,A1F2,A1F21,A1F5,A2F1,A2F11,A2F16,A2F2,A2F21,A2F5,A3F1,A3F11,A3F16,A3F2,A3F21,A3F5,A4F1,A4F11,A4F16,A4F2,A4F21,A4F5,B1F1,B1F11,B1F16,B1F2,B1F5,B2F1,B2F11,B2F16,B2F2,B2F5,B3F1,B3F11,B3F16,B3F2,B3F21,B3F5,B4F1,B4F11,B4F16,B4F21,B4F5,C1F1,C1F11,C1F16,C1F2,C1F21,C1F5,C2F1,C2F11,C2F16,C2F21,C2F5,C3F1,C3F11,C3F16,C3F21,C3F5,C4F1,C4F11,C4F16,C4F21,C4F5,I0D,I0E,I0F,I8,I8-1,I8dose
"Cluster_7397,contig_0 consensus mapping",1679,5805,2178,2328,1274,726,0,2001,0,1221,2348,0,0,720,0,80,2787,17,0,3,3,1,2986,2,0,2,2,1,1,3,0,4,1,0,2,0,3,0,1765,0,0,5,2,0,4347,0,0,3,0,7263,0,0,0,2,0,0,0,0,3,0,1,1,0,2,0,2,2,1,0,0,537,335,303,1,4,2
"Cluster_5885,contig_0 consensus mapping",1362,3200,1703,1853,994,0,0,32,1,1,1749,0,0,2542,0,124,3274,11,0,2029,2,0,2346,0,0,6,0,2,0,4,1,1,0,1,0,0,4,1,1957,1,0,4,3,0,2,1,0,2,1,4794,0,0,0,3,3,1,0,0,5,0,0,2,0,1,0,1,0,1,2,0,375,239,213,7275,3661,3618
"Cluster_15590,contig_0 consensus mapping",1236,3349,1821,1646,861,1973,58,2234,51,1290,1588,603,2,3935,0,15472,1819,70,78,60,1,67,2140,1,53,37,0,30,2632,52455,76206,181947,237891,0,211,13681,227,24,5298,192029,111254,303437,188631,421829,2407,197067,107537,66851,47739,9,8,16,7,34,16,0,4,0,4,8,58,135,121,77,331,55,120,16,4,37,336,272,224,18,22,0
"Cluster_5221,contig_0 consensus mapping",1230,2962,1589,1443,890,6031,0,9427,1,13014,1454,0,0,789,0,15,2067,26,0,4,2,15,2062,2,0,4,2,0,1,1,2,2,0,1,1,0,2,0,961,9,0,1,1,0,2359,0,0,0,0,5165,5,0,3,5,4,1,0,0,3,0,22480,0,0,0,0,2,0,0,1,0,350,274,240,7394,4049,4153
"Cluster_10375,contig_0 consensus mapping",1900,3111,2553,2531,1350,20606,0,5027,3,38624,2459,35882,0,852,4,37536,2915,24,1,3,1,177,3444,5,0,4,5,23,5,3,5,3,1,13,1,7,1,0,1679,0,0,3,1,3,1387,1,0,1,1,3,9,0,3,3,12,3,8,0,4,3,1,0,1,1,0,4,0,0,4,0,563,362,304,15370,6716,3961
"Cluster_14611,contig_0 consensus mapping",898,2798,1227,1356,644,65,0,5110,0,1416,1155,0,0,776,1,0,1451,14,0,3,1,0,1459,0,0,1,0,0,1,2,2,4,0,0,0,0,4,1,983,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,1,0,2,0,3,0,0,0,0,1,0,1,0,7,4,0,283,182,157,10202,5378,6111
"Cluster_9420,contig_0 consensus mapping",1202,2452,1708,1823,719,0,0,0,2,0,1662,0,1,1017,1,0,1813,13,0,2,0,1,1781,1,0,1,1,2,0,0,0,3,0,0,1,0,1,1,1705,0,0,8,2,2,7194,0,0,1,0,0,0,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,370,237,252,0,0,1
"Cluster_14268,contig_0 consensus mapping",1117,2887,1363,1367,672,2,0,117,1,24,1285,8556,1,6938,1,3524,1883,8,0,1,0,49,9209,27,0,33372,0,62052,2989,3,2,0,0,1,1,0,2,1,1153,0,0,2,2,1,1089,2,6,11,0,2,5,0,3,2,4,0,3,1,2,2,1,0,0,2,0,3,0,0,0,23,346,195,177,16589,8031,8990
"Cluster_7050,contig_0 consensus mapping",857,1981,1059,1254,536,0,0,51,0,12,1030,0,0,395,1,38,1431,7,0,2,0,1,1183,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,834,0,0,2,3,1,3536,1,0,0,0,3,0,0,1,3,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,265,144,124,0,1,0
"Cluster_6917,contig_0 consensus mapping",946,2247,1330,1446,619,0,0,425,2,156,1193,15,0,369,0,3,1300,12,1,0,0,2,1781,1,1,1,0,1,1,0,0,6,0,0,0,0,1,0,1158,0,0,3,0,0,1171,1,0,1,0,5641,0,0,1,2,0,0,0,0,1,0,1,0,1,2,0,0,2,0,1,0,295,186,172,0,2,0
"Cluster_13137,contig_0 consensus mapping",1244,2609,1580,1632,755,2932,9,1977,6,4021,1455,148,0,1656,0,267,1709,23,7,3,0,0,1859,24,2,1,5,1,3,168,14,3,27022,1,12,0,2,4,4129,15731,0,21766,0,37323,74783,455,0,1,5160,3576,1,2,0,3,3,0,0,0,1,1,4,14,15,9,23,0,23,3,0,1,388,226,238,0,2,1
"Cluster_142,contig_0 consensus mapping",958,2297,1121,1178,711,158,0,1885,0,1729,1316,0,0,479,3,102,1417,14,0,0,0,1,1483,0,0,2,1,0,0,4,5,2,0,0,0,0,2,0,1131,1,0,3,0,0,0,0,0,2,2,7,0,0,3,1,8,1,0,1,1,0,0,2,0,4,0,1,0,0,1,0,307,135,168,18837,8970,9299
"Cluster_10769,contig_0 consensus mapping",842,2116,1078,1184,589,177,0,879,0,642,1116,6588,0,7867,0,5604,1332,32717,83,13992,2,17436,1338,44,0,2,5,3,2408,2,2,2,0,3,0,0,1,1,1152,0,0,1,5,0,5309,0,0,1,0,2616,0,0,2,1,3,1,1,0,1,2,0,15,0,2,5,0,2,0,2,0,237,198,157,5198,2564,2343
"Cluster_1171,contig_0 consensus mapping",976,1974,1105,1410,498,1793,0,2032,0,2332,1001,6,0,2936,0,847,1135,6,1,0,0,9,1093,143,0,11830,2,1148,1213,0,0,3,0,0,0,0,1,2,496,1,0,1,0,1,1,0,0,5,0,0,3,0,2,2,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,265,134,126,2,0,0
"Cluster_1330,contig_0 consensus mapping",1010,1775,1357,1242,536,19,0,2155,1,942,1233,0,0,734,0,17,1397,6,0,2,1,0,1250,1,0,1,0,0,2899,0,0,1,0,1,0,0,1,0,982,1,0,1,1,1,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,231,156,221,0,0,2
"Cluster_7854,contig_0 consensus mapping",1002,2139,1412,1434,614,1,0,1471,1,214,1180,46,0,2238,1,2809,1358,17,0,3,1,0,1423,2,1,1,0,1,1686,0,0,3,0,1,0,0,1,0,1255,0,0,0,0,1,3687,1,0,3,0,2765,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,2,0,0,0,311,184,201,1,0,0
"Cluster_4496,contig_0 consensus mapping",958,1625,1126,1236,549,6,0,846,0,655,1172,0,0,778,0,84,1262,5,0,0,0,2,1335,1,0,2,2,2,0,3,3,1,4,0,0,0,2,0,900,2,0,1,1,0,883,3,0,4,0,3374,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,234,156,146,6963,2838,2157
"Cluster_3284,contig_0 consensus mapping",1091,1840,1626,1551,669,697,0,1450,0,1691,1215,93,0,1343,0,1873,1534,4124,0,16378,1,38471,1575,6,0,1,2,9,10134,0,0,2,0,817,1,1,2,0,1123,1,4,2,7,0,3205,0,0,0,0,1,8,0,0,2,1,0,1,0,2,0,0,1,0,0,16,0,1,0,1,0,273,176,190,0,1,0
"Cluster_12255,contig_0 consensus mapping",845,2012,1053,1082,474,0,0,0,2,0,782,1,0,113,0,4,1090,64,0,1,0,0,1174,1,1,0,0,2,0,4,0,1,0,1,1,0,2,0,1283,32,0,0,0,1,1,0,0,0,0,5391,0,0,0,1,0,0,2,0,1,0,76597,0,0,2,0,2,0,0,0,0,234,162,153,0,0,0
"Cluster_9844,contig_0 consensus mapping",1053,1868,1264,1281,665,2783,0,672,0,2662,1108,9,1,2031,0,117,1270,12,0,0,1,1,1376,0,0,4,2,3,148634,0,0,2,0,0,2,0,2,1,1211,1,0,0,0,0,1230,0,0,0,0,0,53,0,0,2,0,0,0,1,1,0,2,0,0,2,0,1,0,0,0,0,292,191,159,0,1,0
"Cluster_138,contig_0 consensus mapping",858,1967,1216,1120,617,0,0,0,1,2,1123,1,1,734,0,1,1332,5,0,2,0,0,1384,1,0,0,0,1,254,0,1,0,0,0,0,0,1,0,681,0,0,0,0,0,2853,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,217,204,162,6036,2645,2634
"Cluster_11895,contig_0 consensus mapping",888,1541,1098,1131,492,408,0,1135,2,984,1127,0,0,604,1,34,991,7,0,0,0,0,1227,0,0,0,0,1,0,1,1,0,0,0,2,0,1,2,796,2,0,1,2,0,887,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,235,151,147,3517,1453,1244
"Cluster_6601,contig_0 consensus mapping",775,1593,1021,1020,454,1,0,152,0,1,831,0,0,575,2,2,1157,8,0,5,0,0,1123,0,1,3,2,0,2556,0,1,0,0,0,1,0,0,0,866,1,0,1,0,1,2366,0,0,3,1,3,1,0,0,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,180,125,125,9906,4292,3775
"Cluster_1677,contig_0 consensus mapping",784,1753,1025,989,568,4703,0,2081,0,3006,1000,0,0,170,0,0,1124,18,0,1,0,1,1437,0,0,0,1,0,3,0,4,0,0,0,2,0,0,0,1017,0,0,1,0,0,1170,0,0,0,0,1,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,243,142,163,4887,2186,2076
"Cluster_9292,contig_0 consensus mapping",961,2099,1275,1276,613,82,0,749,1,16671,1236,1350,0,7452,0,2029,1636,6,0,1,2,25,2250,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,798,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,324,200,165,4,0,0
"Cluster_9753,contig_0 consensus mapping",839,2158,969,1059,440,1034,0,1116,0,3765,861,0,0,489,0,16,930,6,0,2,0,1,936,1,0,2,0,0,4405,0,1,1,0,0,1,0,0,0,1032,0,0,1,1,0,1528,0,0,1,0,2,4,0,1,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,226,99,173,6807,3343,4153
"Cluster_3809,contig_0 consensus mapping",588,1931,819,837,450,61,0,1408,0,837,738,72,3,1668,2,697,974,15,0,1,1,0,1159,0,1,2,4,0,11708,1,0,0,0,1206,955,0,3664,3357,888,1,0,0,2,0,0,0,0,0,502,5353,4,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,238,151,131,3006,1634,1798
"Cluster_12938,contig_0 consensus mapping",533,1733,781,807,383,949,0,355,2,1227,659,3,0,402,1,61,1056,4,0,2,0,0,915,0,0,1,0,0,3763,2,1,0,0,0,1,0,1,0,713,0,0,1,0,0,484,0,0,0,0,2494,1,0,1,1,3,0,0,0,1,0,962,0,0,0,0,0,0,0,2,0,157,107,96,7812,3585,4170
"Cluster_15064,contig_0 consensus mapping",751,2003,1188,1108,485,0,0,0,0,1,921,0,0,338,1,190,1128,12,0,1,0,0,1047,0,0,3,2,1,0,1,1,3,0,1,0,0,1,1,1220,0,0,3,2,1,1886,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,263,152,132,11616,5361,4961
"Cluster_2297,contig_0 consensus mapping",700,1843,955,972,329,9,0,209,0,37,657,1932,0,2546,2,607,890,8,1,1,2,5,920,0,0,1,1,1,12942,0,0,1,0,0,0,0,1,0,794,1,0,1,0,0,0,0,0,2,0,2,6,0,2,0,1,0,1,0,2,0,2,2,2,0,0,0,0,0,2,0,189,129,123,8623,4157,3974
