,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal
X1E,7,5.074061204,7.666666667,7.666666667,NA,NA
X1F5,31,4.294978736,33.85714286,33.85714286,NA,NA
X1OD,16,3.975765749,17.66666667,17.66666667,NA,NA
X1OP,16,4.291305517,17.66666667,17.66666667,NA,NA
X1SD,2,1.757650801,2.111111111,2.111111111,NA,NA
X1SM,1,1.758027178,1,1.758027178,NA,NA
X1SP,2,1.757835764,2.111111111,2.111111111,NA,NA
X2E,41,21.19277373,48.14285714,48.14285714,NA,NA
X2F5,16,10.20249464,17.66666667,20.1291201,NA,NA
X2OD,18,10.66028845,19.88888889,20.51275296,NA,NA
X2OP,41,21.99612793,48.14285714,48.14285714,NA,NA
X2SD,18,8.338520145,19.88888889,19.88888889,NA,NA
X2SM,32,4.158474754,35.28571429,35.28571429,NA,NA
X2SP,19,12.10785646,21,21,NA,NA
X3E,1,1.758469661,1,1.758469661,NA,NA
X3F5,1,1.757635186,1,1.757635186,NA,NA
X3OD,1,1.757614555,1,1.757614555,NA,NA
X3OP,1,1.758784224,1,1.758784224,NA,NA
X3SD,1,1.759145541,1,1.759145541,NA,NA
X3SM,1,1.767782785,1,1.767782785,NA,NA
X3SP,1,1.757417405,1,1.757417405,NA,NA
X4E,9,8.08813902,9.888888889,9.888888889,NA,NA
X4F5,16,5.749040526,17.66666667,17.66666667,NA,NA
X4OD,11,5.684679938,12.11111111,12.11111111,NA,NA
X4OP,11,7.997882276,12.11111111,12.11111111,NA,NA
X4SD,3,1.222249726,3.222222222,3.222222222,NA,NA
X4SM,2,1.73506731,2.111111111,2.111111111,NA,NA
X4SP,2,1.775652558,2.111111111,2.111111111,NA,NA
X5E,5,4.696368329,5.444444444,5.444444444,NA,NA
X5F5,5,2.259667459,5.444444444,5.444444444,NA,NA
X5OD,7,2.117365516,7.666666667,7.666666667,NA,NA
X5OP,5,2.738923168,5.444444444,5.444444444,NA,NA
X5SD,4,2.279238985,4.333333333,4.333333333,NA,NA
X5SM,5,1.872954437,5.444444444,5.444444444,NA,NA
X5SP,5,2.114977035,5.444444444,5.444444444,NA,NA
C8,7,5.091871648,7.666666667,7.666666667,NA,NA
