"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"X1E",-7.772466414619,-0.712798385509302,-2.48090857343119,-4.33882842212953,2.42631010390014,1.01776159726861,-0.143953622858676,0.0518458911505684,-0.512951851974531,0.625014351992363,-0.00761228724519933,0.390641808668787,-1.35587521197525,0.157974977779424,-0.404642172766828,0.0950725243996123,0.314413645035182,-0.168289520571959,0.0117554911168384,0.0314643887848101,0.000549572370290441,0.00296146906213623,0.00016166208043438,0.00017772104784882,1.88259176150624e-05,1.0518767416634e-05,1.14500257666727e-05,1.33590864072311e-06,1.35559653947671e-06,4.40892548692916e-07,6.6691415327346e-07,9.56000549188173e-09,1.09721148058458e-07,1.62241789117322e-07,6.36768198933324e-15
"X1F5",-6.46916091645619,-1.06220967032185,-3.56822594568331,-5.61369098838695,4.17430314829007,2.90363622927969,0.116945352951813,-0.0960514841814765,0.659961125016187,-0.144451419900824,-0.00238425463901004,0.745237321576369,0.657538343874354,-0.131360856980743,-0.0980073958504657,0.0476738049856658,-0.190446688879001,0.212271818486467,0.000870500744237958,0.0493229876543858,-0.0113474215693988,0.00622391018183477,5.89871633922256e-06,-0.000121995018774497,7.59262749307128e-05,-1.04617633439272e-05,9.74450290344573e-06,-2.80243720944988e-06,-2.09391237053156e-06,-2.99520770768324e-07,3.5076167240127e-06,-1.7787856158218e-06,-1.3662680930268e-07,1.2518744944765e-07,1.66784243208797e-14
"X1OD",-8.64566004470682,0.197657906701849,-1.84002693853363,-3.08043357833658,2.19435383870796,1.57361190052204,0.0854539094497196,0.00691711002786579,0.36230209131023,-0.00936299768225051,0.00503986142416394,0.458915342805091,0.182094367911845,0.125626465945491,0.236408097088197,-0.071611470934978,0.0245135231280301,0.0989838388182961,-0.0144943007077541,-0.0805972161656771,0.0213151535008229,0.003482137360436,0.000711137722676251,0.00118751708891886,-5.00026782856795e-05,5.60282807401527e-05,2.60781931003327e-05,1.15215796324869e-05,8.1759343099159e-06,2.13718290229479e-06,-2.82147686037938e-06,3.18618677958634e-06,7.2352927655682e-07,3.55772772623974e-07,2.06914360320089e-14
"X1OP",-8.17444344067778,-0.141907111486352,-2.19876380784668,-3.79802369854505,2.76775708901247,1.82123868805376,0.0392941353575882,0.00153144201754894,0.462522627605524,0.144822261771453,0.00248338068420518,0.616335496096111,0.00848649465325691,0.0565398040148341,0.045071481434569,-0.0130692782480401,0.0504529192718831,0.034861043414092,-0.00370896362589229,-0.0320089664110558,-0.00411309051625947,-0.0137291720318609,-0.000767473968854807,-0.000889340741958702,-7.81459796976906e-05,-4.39809868590641e-05,-5.01531961812654e-05,-7.7707135385408e-06,-6.24608766245417e-06,-1.90397296454378e-06,-3.07773895649701e-06,-4.40642668949114e-08,-4.79563887092255e-07,-6.34000725328297e-07,1.99066091844009e-14
"X1SD",-9.84556518727404,1.85572123524446,1.04482438405582,1.19524537397149,-0.832978646486801,-0.485235287439925,0.0279912194270417,0.00473140675212697,-0.0687957202716929,-0.0701813653108501,0.000139124677887701,-0.174887888883036,0.0709730143564851,-0.0549716934246794,-0.0771270062140144,0.028439048716699,-0.0161468939612069,-0.0119479837997802,-0.00359380280356827,-0.00170580387352941,-0.000452619555209703,-0.00121546296821149,0.000592007640164671,0.000542787924021481,0.00172522533403522,0.000574067694924949,-7.20588331709708e-05,-6.9042052035e-05,-5.765719931637e-05,3.0380513370801e-05,7.71770498528588e-06,-1.7389572401478e-05,1.33219175529464e-05,-8.76677530182123e-06,3.27110842752998e-14
"X1SM",-9.84409531667381,1.85850547264004,1.04342614983738,1.19573824612045,-0.833066284142456,-0.484429311938634,0.0293524429211255,0.00771310302729788,-0.068995474481091,-0.0703194716589347,0.000297530310954304,-0.173964350037496,0.0696155161558468,-0.0538549555466934,-0.0776932161699618,0.0256906238512172,-0.0166351127073515,-0.0133414291718478,-0.00153042070449979,-0.00239414154289737,-0.000708433497863289,0.000183894152277854,-0.000279267789941435,0.000128417160534059,-0.000214689646069588,3.41178700685132e-05,0.000217022811172292,-0.000112363566596425,-0.000113633249160367,-0.000334132508423862,-0.000138805452119106,-0.000157468011898227,4.13664764079832e-05,2.15279068993651e-05,3.59772433199124e-14
"X1SP",-9.8459012259924,1.85578438317636,1.04420969378744,1.19536576534726,-0.832788518798326,-0.485565471313651,0.0286553872900595,0.00700454357824846,-0.0682685408434149,-0.0730361943652215,-8.12967662223828e-06,-0.174777495427602,0.0705714418563699,-0.0537496026646696,-0.0797207587405719,0.0264405545954263,-0.0164463870124099,-0.0137781381403548,-0.00150269991159929,-0.00290613135058661,-0.000952479694498261,0.00085674544619748,-0.000707369419456136,-0.000518641923389886,-0.000823965153973147,0.00132556719479859,-0.000348018460227483,5.74621533804988e-06,-5.38917423020469e-05,5.84799250086357e-05,6.96489106308339e-05,-6.31938240312421e-06,1.3803541033816e-05,2.1600110943756e-07,3.76203517123141e-14
"X2E",6.86211960935992,-8.40930223011634,8.44599415734742,-1.33206350524649,-5.2295024495487,5.78863778748326,-2.30925623741174,0.0106799099529595,0.0171845127802847,-0.0360273119584706,-0.00166639713747629,-0.128253699277376,0.265589450982186,-0.334663840388531,0.0730096725251481,-0.000324409629278135,0.596928336550306,0.137621323940833,0.00461828442598097,0.0107282382417078,-9.15206299700401e-05,2.94018330774224e-05,6.45692860744529e-06,4.25948537350381e-06,-2.1489693872488e-06,2.09779897639454e-07,2.84756227278009e-07,1.18809785814912e-07,-4.32090397370442e-08,-3.19421634959296e-08,-4.32815077166865e-08,2.10917648309824e-08,4.03744801748761e-09,-5.53583981476383e-09,-5.63334101588708e-14
"X2F5",7.02968177100382,-8.78567534145814,10.0627660804323,-0.0527252390329235,3.14604581977928,-3.12250294857568,-0.489723820934286,0.098012568047602,-0.438539816264965,2.23332050705903,-0.00657301390722014,0.0591947908152027,-0.345149313051539,-0.977694212180074,0.190674388899906,-0.0295999714610524,-0.202087645876682,0.0317847464012067,-0.00695367694514011,-0.0160535894273935,0.000169601358831579,4.05043598162405e-05,7.79640187786e-06,5.9120253325728e-06,-9.73421821461447e-07,4.75739757531922e-07,1.21798769461823e-08,1.38126665901957e-07,1.28967992778662e-07,2.1665302251013e-08,6.07854263621284e-08,-9.03177783755614e-09,-1.23018657172363e-08,-4.18399365002299e-09,-1.69638608715772e-14
"X2OD",7.06109240133184,-8.85644695538551,10.1152805669054,-0.108402089952836,2.81012469033296,-2.79853336775236,-0.162842219647699,0.104445237101907,-0.455372546591424,2.328884621462,-0.00810730256418433,-0.240954110245823,0.655461363198506,0.879963485635975,-0.283424718592778,0.0667129823266078,0.128672094222665,-0.00646551897357149,0.00149290576380277,0.00332701021091416,-1.5070779754112e-05,-6.06023503975499e-05,-5.77662950218549e-06,-4.22728358944813e-06,1.10019380598089e-07,-6.82160777201344e-07,-2.7528220705603e-07,-4.03933621914319e-08,-8.20764134081432e-08,-5.80104319561261e-08,-2.50001575931096e-08,-5.11942918200899e-09,-3.63217502808485e-09,8.81303851294271e-10,1.34148334801631e-15
