,X1E,X1F0,X1F3,X1F4,X1F5,X1OD,X1OP,X1SD,X1SM,X1SP,X2E,X2F0,X2F1,X2F2,X2F3,X2F4,X2F5,X2OD,X2OP,X2SD,X2SM,X2SP,X3E,X3F0,X3F1,X3F2,X3F3,X3F4,X3F5,X3OD,X3OP,X3SD,X3SM,X3SP,X4E,X4F0,X4F1,X4F2,X4F3,X4F4,X4F5,X4OD,X4OP,X4SD,X4SM,X4SP,X5E,X5F0,X5F1,X5F2,X5F3,X5F4,X5F5,X5OD,X5OP,X5SD,X5SM,X5SP,C8
X1E,0,0.793098727,0.614106563,0.518114866,0.156349811,0.149341191,0.112145494,0.511982733,0.509636991,0.51269505,0.797476387,0.796943708,0.792883896,0.81048159,0.796086024,0.788903975,0.788594055,0.793812232,0.781576645,0.790584243,0.492607238,0.806002368,0.50590677,0.801209235,0.492788987,0.506035846,0.511086031,0.501964123,0.502995013,0.501738051,0.498833601,0.503556127,0.507210118,0.510297855,0.627431604,0.79501103,0.674115559,0.612289461,0.61489355,0.537587216,0.533979981,0.54662881,0.54127556,0.741421869,0.740416815,0.493851513,0.849669962,0.796124004,0.851123347,0.854125415,0.851629985,0.850841281,0.844186677,0.85265631,0.846153224,0.852100481,0.829702607,0.847949192,0.894005646
X1F0,0.793098727,0,0.7788845,0.767017408,0.792503167,0.800688137,0.795616987,0.857169684,0.856271853,0.858022831,0.726182333,0.039406573,0.513426914,0.75138231,0.731891607,0.74427046,0.740436725,0.745034234,0.721133361,0.754772536,0.772060244,0.748561873,0.855190701,0.074312808,0.838863913,0.854285636,0.857091852,0.852830479,0.855957402,0.854573747,0.853836994,0.854079439,0.853610273,0.857213527,0.79871399,0.03734644,0.79545055,0.800276663,0.799703258,0.811346191,0.808830502,0.806970943,0.781534126,0.846667354,0.840699263,0.854758825,0.830790901,0.039143072,0.819737303,0.832299326,0.832794181,0.840751103,0.837885441,0.843861476,0.829825243,0.838806917,0.841531448,0.847826834,0.81790935
X1F3,0.614106563,0.7788845,0,0.563879326,0.633529262,0.647091044,0.633628013,0.783780875,0.777930547,0.784136483,0.82741155,0.78248106,0.782598884,0.744384325,0.733468907,0.800013102,0.79666831,0.841546239,0.816515906,0.819607165,0.731207148,0.805408159,0.776489232,0.786562644,0.76253596,0.777826588,0.780116171,0.774111304,0.777345996,0.77659094,0.772324777,0.77494804,0.769512158,0.779908536,0.536045366,0.781805172,0.599860218,0.587904648,0.549506882,0.61443466,0.599985507,0.586165605,0.504107146,0.675247227,0.70084967,0.773896208,0.678037557,0.780659391,0.694180964,0.680042825,0.692089893,0.659956112,0.657332433,0.669411544,0.681348967,0.692022323,0.709020993,0.707952233,0.893352874
X1F4,0.518114866,0.767017408,0.563879326,0,0.536218358,0.509974636,0.509463031,0.542384107,0.541694028,0.54559919,0.675123396,0.771398847,0.694363996,0.590726292,0.555243609,0.593095429,0.592522898,0.637123529,0.669665966,0.60775377,0.349499586,0.625903669,0.541371106,0.775034104,0.528487596,0.54145175,0.543135332,0.531509785,0.542143332,0.539988617,0.535152373,0.539777242,0.542076101,0.545969204,0.726178316,0.7697419,0.749867153,0.756154589,0.733128927,0.752718988,0.750070991,0.741940545,0.665351722,0.816407672,0.825940808,0.544200671,0.875492459,0.770572695,0.877193512,0.881366743,0.875197584,0.877445218,0.87220869,0.878850048,0.870079076,0.873711777,0.86760638,0.874546075,0.894659536
X1F5,0.156349811,0.792503167,0.633529262,0.536218358,0,0.105062974,0.084355309,0.543267728,0.541279467,0.543982067,0.805909068,0.79567056,0.78240079,0.806346634,0.803669291,0.807412855,0.80680583,0.810878133,0.790278705,0.80638013,0.526090291,0.815799605,0.536937957,0.800364922,0.525131685,0.536512895,0.542244289,0.534426543,0.534467119,0.533627872,0.531373724,0.535295364,0.538573138,0.542349241,0.624463026,0.794352489,0.635643027,0.568438309,0.597383658,0.500701997,0.50190047,0.520946209,0.54538446,0.746785267,0.711501586,0.522886914,0.840909295,0.795364812,0.843114802,0.844299018,0.843240653,0.840928929,0.83537988,0.843814387,0.837617074,0.844286016,0.816805272,0.841684029,0.8934729
X1OD,0.149341191,0.800688137,0.647091044,0.509974636,0.105062974,0,0.054913004,0.449437278,0.447342261,0.450190026,0.818574925,0.804036308,0.794864435,0.819903592,0.818329887,0.820775062,0.822153237,0.825048589,0.804360494,0.820545672,0.472362824,0.825786513,0.442869954,0.809222103,0.432052069,0.442390582,0.448319688,0.440352822,0.440290149,0.439213954,0.436932157,0.44133437,0.445058384,0.44839214,0.662576873,0.802179166,0.677667932,0.623964658,0.642334841,0.568700027,0.56835973,0.581045332,0.582290136,0.763353561,0.735122847,0.428578836,0.849949587,0.803360926,0.852190472,0.854304504,0.851891102,0.851584882,0.845602213,0.853344947,0.84797591,0.85323647,0.830722728,0.847237626,0.893030102
X1OP,0.112145494,0.795616987,0.633628013,0.509463031,0.084355309,0.054913004,0,0.480441319,0.478244886,0.481270813,0.807760115,0.799174164,0.791178478,0.812924374,0.805855334,0.804786756,0.805242003,0.809582573,0.792892446,0.80409822,0.479378143,0.814776946,0.474039704,0.803880258,0.462400288,0.473649304,0.479403339,0.470899316,0.471474189,0.470436922,0.468043814,0.472081871,0.475546808,0.479209618,0.651056663,0.797303033,0.664599288,0.607446027,0.629580696,0.553122324,0.552793154,0.567201527,0.570063793,0.761636475,0.731591167,0.459739597,0.845562048,0.798468915,0.847329027,0.849531776,0.847465154,0.846241729,0.840054859,0.848021732,0.842160438,0.847696327,0.823837152,0.842821582,0.893476519
X1SD,0.511982733,0.857169684,0.783780875,0.542384107,0.543267728,0.449437278,0.480441319,0,0.020533593,0.020105211,0.891199913,0.860260373,0.878231543,0.893069784,0.888728172,0.881574323,0.889995463,0.888657319,0.888325121,0.87744727,0.402727711,0.88055526,0.016609325,0.865328904,0.084803432,0.020434221,0.016194541,0.02315758,0.0200449,0.021843256,0.024976341,0.021633377,0.035346936,0.021050978,0.889999973,0.856997664,0.895666279,0.893834576,0.890743652,0.894031871,0.892135937,0.887692026,0.829837155,0.889129266,0.883597979,0.050299732,0.882229941,0.858552918,0.885770553,0.889066855,0.881093395,0.892948946,0.886070566,0.890052248,0.887140313,0.886092143,0.891690227,0.870934575,0.893610059
X1SM,0.509636991,0.856271853,0.777930547,0.541694028,0.541279467,0.447342261,0.478244886,0.020533593,0,0.016649769,0.890987631,0.859369238,0.877386123,0.892606751,0.887231692,0.880432127,0.889046743,0.887930964,0.887683657,0.877334899,0.401720165,0.878488386,0.012863342,0.864558179,0.082561431,0.017394001,0.013565111,0.018170779,0.015187756,0.016015309,0.020468363,0.015354111,0.027221576,0.011410722,0.888242262,0.856111643,0.894598495,0.892510292,0.888779043,0.892112415,0.890114733,0.885502856,0.827827478,0.884989962,0.879824949,0.047828698,0.880814097,0.857689659,0.883327731,0.88713287,0.880224257,0.88768567,0.880841922,0.884240806,0.883164297,0.881353221,0.885307627,0.865399775,0.893406496
X1SP,0.51269505,0.858022831,0.784136483,0.54559919,0.543982067,0.450190026,0.481270813,0.020105211,0.016649769,0,0.893386004,0.861109343,0.879707738,0.895452528,0.89052587,0.883378473,0.89206109,0.890607806,0.890259461,0.878952253,0.40571365,0.881545592,0.019730076,0.866300331,0.08523687,0.019497469,0.011841527,0.021522833,0.015865973,0.018658256,0.022085994,0.021922382,0.038718043,0.015474839,0.890133492,0.857818338,0.895642436,0.894002748,0.890828604,0.894109432,0.892168532,0.8877306,0.830212735,0.88926843,0.883662837,0.048238105,0.886860074,0.859458686,0.890229989,0.893427999,0.886133299,0.894989167,0.888251731,0.891715511,0.890473898,0.888745577,0.893035173,0.873183246,0.893632095
