barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_7397,contig_0 consensus mapping",1494,0,2,0,0,0,0,0,0,0,1245,258,0,0,0,0,0,0,0,0,0,0,2050,4,0,1,0,0,0,0,0,0,0,0,2270,0,0,0,0,0,0,0,0,1,0,0,2280,11,0,0,0,0,0,2,17,0,0,0
"Cluster_5885,contig_0 consensus mapping",1258,0,0,0,0,0,0,0,0,0,982,349,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,0,0,0,0,0,0,0,1935,0,0,0,0,0,0,0,0,0,0,0,2302,0,0,0,0,0,0,0,0,0,0,0
"Cluster_15590,contig_0 consensus mapping",1467,1,3855,131,80,74,0,1,1,1439,1184,626,1678,3954,11801,4861,5288,2940,20597,1681,5227,1,1599,7,1,1,12,2,1,6,10,0,0,3,2131,18,2,1,1,4,5,93,8,3,0,3,1981,25,0,1,0,8,0,18,17,12,0,0
"Cluster_5221,contig_0 consensus mapping",907,3,361,67,70,26,0,1,0,7395,850,5269,13062,12648,11006,4205,5183,16398,4076,2475,5609,1,1503,10,4,0,3,0,1,4,2,0,0,4,1415,1,1,4,0,1,3,110,0,28,0,0,1618,0,6,1,2,16,1,14,12,11,0,0
"Cluster_10375,contig_0 consensus mapping",2355,0,0,0,0,0,0,0,0,0,1889,517,0,0,0,0,0,0,0,0,0,0,2941,3,0,0,0,0,0,0,0,0,0,0,3830,11,0,0,0,0,0,0,8,0,0,0,3759,0,0,0,0,0,0,2,6,0,0,0
"Cluster_14611,contig_0 consensus mapping",823,25916,30,478,475,399,0,14,0,4,691,175,19,34,33,19,16,11,62,22,36,30,848,44,19,1,3,4,3,4,69,157,6,11,1097,10,106,5,12,36,7,189,59,25,4,64584,1290,41454,92317,34989,68473,98476,78942,65620,88693,59504,26942,39
"Cluster_9420,contig_0 consensus mapping",1317,0,2,0,0,0,0,0,0,0,1104,751,0,0,0,0,0,0,0,0,0,0,1281,3,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,0,1,0,0,0,0,2102,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14268,contig_0 consensus mapping",1047,0,0,0,0,0,0,0,0,0,737,195,0,0,0,0,0,0,0,0,0,0,1392,6,0,0,0,1,0,0,0,0,0,0,1434,0,0,0,0,0,0,0,0,0,0,0,1595,2,0,0,0,0,0,0,3,0,0,1
"Cluster_7050,contig_0 consensus mapping",1048,14,2890,111,272,150,0,2,0,7928,887,12419,16002,10144,15473,7205,7267,19409,10667,3237,18639,3,1158,39,6,0,12,0,1,1,7,3,0,12,1472,3,1,2,0,1,4,105,54,2,0,2,1544,0,4,3,1,1,2,13,30,32,0,1
"Cluster_6917,contig_0 consensus mapping",1052,0,0,1,0,0,0,0,0,0,774,190,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,1610,0,0,0,0,0,0,0,0,0,0,0,1629,2,0,0,0,0,0,0,0,0,0,0
