"","I0A","I0B","I0C","A1C","A1E","A1M","A1O","A2C","A2E","A2M","A2O","A3C","A3E","A3M","A3O","A4C","A4E","A4M","A4O","B1C","B1E","B1M","B1O","B2C","B2E","B2M","B2O","B3C","B3E","B3M","B3O","B4C","B4E","B4M","B4O","C1C","C1E","C1M","C1O","C2C","C2E","C2M","C2O","C3C","C3E","C3M","C3O","C4C","C4E","C4M","C4O"
"I0A",0,0.0325339277957012,0.0341001106280772,0.0279674689502962,0.0381947191121679,0.0316326847350018,0.0336410522146128,0.0316532993142391,0.0258140963104469,0.0356216860886656,0.0345420435221743,0.0320861939398513,0.0327974065657607,0.0344926199204086,0.0389188580239835,0.0419535496398991,0.0386697123301816,0.046153030130929,0.0797866390135324,0.0335116231957142,0.0409436524678027,0.0342843684200147,0.0450099201953255,0.035350877942758,0.0308512545787296,0.0372938771604665,0.0555277909711474,0.0321971794426175,0.0465467064087698,0.0339778157808343,0.091111594680389,0.0383900270049447,0.0381804660635635,0.0399107851789784,0.055093254435908,0.480225409526278,0.753339675078938,0.206860872045156,0.848115574443633,0.0979109715489659,0.73182859263791,0.124885394954315,0.528383223345615,0.225105844198522,0.772045330435687,0.0928245168992123,0.824452422516465,0.0630104821710378,0.688072927986626,0.402791303628461,0.555322372591895
"I0B",0.0325339277957012,0,0.0375115372296953,0.0331179589178483,0.04585298139585,0.0372611758499517,0.0412436242831883,0.0361450363417383,0.034723678259565,0.0394747827343356,0.0392738093619877,0.0364550977190267,0.0374931351560524,0.0377489456985804,0.0410996230977912,0.0470736170831912,0.040436936945496,0.0495665073473861,0.0830127198439776,0.0365560234499653,0.0469149184906849,0.0378245419779944,0.0512173273650509,0.0386274345676084,0.0383347685719764,0.0401025971218051,0.0577267058844573,0.0370801446440502,0.0504259216714269,0.0391818944635908,0.0897479716541821,0.0426269500426988,0.0429732709793453,0.0460152768943081,0.0586486010374804,0.480670242448251,0.754559464938722,0.208455097457112,0.848128087232499,0.10008719856551,0.735473048794649,0.129094406100952,0.529436575244683,0.226494754024479,0.770734753917176,0.0986754956553286,0.822087077855156,0.0635630025370405,0.686894684882561,0.402298458233227,0.553919850765162
"I0C",0.0341001106280772,0.0375115372296953,0,0.035157602283081,0.0438135326839075,0.0352920097041418,0.0385889925067967,0.0360038532800891,0.0341942970266884,0.0396157695376382,0.0407604338479073,0.0378007706450194,0.037379608260199,0.0383244103714808,0.04387382847723,0.0459536258198585,0.0435879695887485,0.0467554046275846,0.0819806001994379,0.0375101140164264,0.0468495244286267,0.0379297209634671,0.0473910636606401,0.0391168240564163,0.0366049135582976,0.0420486606272866,0.0551203620858595,0.036503299830861,0.0521847390864464,0.0380872231839875,0.0908382565511687,0.0424192692605238,0.0435142865264822,0.0443672286169507,0.059126937696599,0.481207449090125,0.754909495104271,0.208185809016727,0.848875365812048,0.0993304141381396,0.734097278208656,0.127426654611875,0.526920484072433,0.224803937975549,0.769784207608461,0.0962022953076505,0.82293646731932,0.0634901365308677,0.685636329795314,0.400111560297016,0.553985195803639
"A1C",0.0279674689502962,0.0331179589178483,0.035157602283081,0,0.0364593258119563,0.0302080517994814,0.0340316330544613,0.0282955654148199,0.0270938085161907,0.0301247864814844,0.0320405860045764,0.029295105050225,0.0338484782413011,0.0306588564022758,0.0379687845459731,0.0402734618604538,0.038709274389378,0.0434155230168224,0.0807903268600606,0.0293375732715877,0.0408785143584949,0.0289813095064231,0.0466752037982861,0.0338830577107874,0.0295623716436808,0.0333076890936137,0.0541694764260226,0.0292911347209867,0.0468235291065164,0.0318327987290787,0.0886507223893822,0.0335409452542402,0.0356663115309777,0.0355079324043097,0.053377279695891,0.480371825055911,0.753097874732552,0.207108430036945,0.848787992062662,0.098118792815672,0.73349569041088,0.126200427469769,0.530308635907012,0.224645511724615,0.770828048172553,0.0927854719209252,0.822939372640144,0.0598390293728445,0.684349632209629,0.399064173913908,0.55291312583523
"A1E",0.0381947191121679,0.04585298139585,0.0438135326839075,0.0364593258119563,0,0.0355442365372936,0.0303899806088725,0.0375180479457028,0.0319597786380713,0.0324279930337101,0.0375311158712278,0.0332813842863825,0.0441704792534043,0.0324735830746499,0.0443757795060269,0.0392252211936451,0.047009953019451,0.0404436292958133,0.0835515035133475,0.0379727716490168,0.035891117758466,0.0334230205463914,0.0443494545094237,0.0421989870977646,0.0302741959268586,0.0383675355599762,0.0531319349103486,0.0352680480544733,0.0600611725989254,0.034440160471455,0.0958527047908052,0.0334417169757811,0.0456011522146516,0.0378587746108939,0.0620717257839552,0.480419070439064,0.750797282953148,0.211272272480566,0.846925951984192,0.100292271057166,0.732364619318367,0.127439594985869,0.52521990845228,0.226847001264394,0.772757278263788,0.0934449181784943,0.826406118009622,0.0646823998473554,0.686609871712611,0.399366566468851,0.555949136632072
"A1M",0.0316326847350018,0.0372611758499517,0.0352920097041418,0.0302080517994814,0.0355442365372936,0,0.0347277975183018,0.029881443821938,0.0261986610853004,0.028729353457137,0.0330241245715573,0.0301089319000824,0.0350493386198393,0.0292485459372569,0.0363790295379366,0.0390244662160889,0.0408459620756952,0.0404567453327911,0.080900520505488,0.029182547446979,0.0374629447143697,0.0294429202066136,0.0461955656081172,0.0352512793905604,0.0306439821263934,0.0324965026664214,0.0535909672957979,0.0300618620919634,0.0478994633684852,0.0288830927858316,0.0924291201442574,0.0321490725318518,0.0381633232195074,0.033316806658132,0.0540379440581072,0.478071588387584,0.752832748563898,0.206700121456512,0.847654248400002,0.0990912412671979,0.735345626321376,0.128473483882226,0.529454222468858,0.224475381234453,0.771107133176603,0.0940408486934911,0.823945529627316,0.0583875993075928,0.683977106803142,0.398441583497458,0.553961208858958
"A1O",0.0336410522146128,0.0412436242831883,0.0385889925067967,0.0340316330544613,0.0303899806088725,0.0347277975183018,0,0.0349786005364025,0.0286725016798494,0.0322763284069009,0.0352567825002931,0.0314014715008585,0.0389782208213269,0.0328750986947128,0.0401334301825397,0.0401559767264102,0.0434947998340089,0.0409296306471403,0.0819222071345358,0.0348704304587595,0.0378199054055689,0.0319194281623335,0.0457317570453713,0.0369244806646202,0.0298213821181472,0.0361320897582053,0.0522727995847926,0.0332797788764818,0.0557196155478636,0.0338813695526889,0.0921837989613031,0.0349706550446133,0.0421995569681783,0.0368810031298278,0.0575337703630516,0.478372100654283,0.75083225677606,0.20909763501211,0.8467876757605,0.100075470820731,0.732873301130072,0.126022902705448,0.526407797292835,0.229039470216348,0.769076756832909,0.0932059212331313,0.825001520897366,0.0639472099009695,0.686579684673415,0.400382387760743,0.553839451240218
"A2C",0.0316532993142391,0.0361450363417383,0.0360038532800891,0.0282955654148199,0.0375180479457028,0.029881443821938,0.0349786005364025,0,0.0268478908964129,0.0289059263145223,0.0357392606418049,0.0293409049660483,0.0344720299302953,0.0302876093987829,0.0367882596661976,0.0397027314577089,0.0399848477898115,0.0382010070818182,0.0795176654288378,0.0281281018816572,0.0414089769271655,0.0279662834731807,0.0469243934601089,0.0327906966002809,0.0303327839938403,0.0327794577947027,0.0544980686125352,0.0300733035254882,0.0491785827088373,0.029729996740397,0.090787892292643,0.0320978079813704,0.0367957927590692,0.032362208512021,0.0555979220053884,0.478150069224303,0.754253322036834,0.208461049845748,0.849579372284706,0.0985123613576265,0.734883851480426,0.126995986109291,0.528154324579763,0.225718464471162,0.770910165678582,0.0909228947360168,0.826501761961253,0.0623923883007707,0.685734169696134,0.400810569909065,0.553103312514761
"A2E",0.0258140963104469,0.034723678259565,0.0341942970266884,0.0270938085161907,0.0319597786380713,0.0261986610853004,0.0286725016798494,0.0268478908964129,0,0.0279752195928741,0.0302155487493146,0.0246302032423234,0.0319788570946899,0.0273340451064602,0.0349500888163048,0.0369575356935029,0.0372185903023759,0.0391736151502721,0.0766319995719266,0.0267785442136798,0.0361761212054511,0.0264731076253674,0.0406581307371667,0.031254139864598,0.0241820824702632,0.0296325692848367,0.0510214830003478,0.0267318889861826,0.0462640519561491,0.0252302475114607,0.0882482766191638,0.0307107980210651,0.0337760075939252,0.0324459390555918,0.0534356120526168,0.47875924552308,0.752330417617317,0.205842377452992,0.848209152625633,0.0984811127131269,0.733085324119847,0.124535473775477,0.528143126986946,0.22443269893684,0.771092715672165,0.0917900216577182,0.823852117473775,0.0589340191157665,0.686753163295288,0.401459555578708,0.553954375132866
"A2M",0.0356216860886656,0.0394747827343356,0.0396157695376382,0.0301247864814844,0.0324279930337101,0.028729353457137,0.0322763284069009,0.0289059263145223,0.0279752195928741,0,0.034704412541725,0.0274618727159964,0.0370874655245144,0.0261264799556289,0.037033518510218,0.0374756643015833,0.0418391238970806,0.0362189895013632,0.0808612175671137,0.027710598259819,0.0390015979018429,0.0279221601111754,0.0471735237849574,0.0327830103203178,0.0297871132713803,0.0310051823192847,0.0540566015266696,0.028288990599014,0.052662500568033,0.0262409697909935,0.0926012095077924,0.0293476234705859,0.0370652128863994,0.0291318673712978,0.0539411883781674,0.477834960691026,0.754217761355614,0.207827565789022,0.850184191423445,0.0971738066856894,0.733965258343747,0.126812905677352,0.526761280373153,0.224148735796129,0.774273446293297,0.0946125588607204,0.824694648355321,0.0610152896996335,0.683669894293432,0.397893316381584,0.551975800029248
