"","I0A","I0B","I0C","I4","I5","I6","I7","I8","I9","A1C","A1E","A1F0","A1F1","A1F2","A1M","A1O","A2C","A2E","A2F0","A2F1","A2F2","A2M","A3C","A3E","A3F0","A3F1","A3F2","A3M","A3O","A4C","A4E","A4F0","A4F1","A4M","A4O","A5C","A5E","A5F0","A5F1","A5M","A5O","B1C","B1E","B1F0","B1F1","B1F2","B1F3","B1F4","B1F5","B1M","B1O","B2C","B2E","B2F0","B2F1","B2F2","B2F3","B2F4","B2F5","B2M","B2O","B3C","B3E","B3F0","B3F1","B3F2","B3F3","B3F4","B3F5","B3M","B3O","B4C","B4E","B4F0","B4F1","B4M","B4O","B5C","B5E","B5F0","B5F1","B5M","B5O"
"I0A",0,0.0360257312809288,0.0351592479819166,0.0478208965423261,0.0527847174907858,0.0993833886538842,0.336574401648747,0.639693910532653,0.786194666082496,0.441500188524434,0.404395661926594,0.0400868187838083,0.44159087336318,0.381072865903529,0.419572504502453,0.565922564842992,0.835511368871032,0.851076694481409,0.0574999168345148,0.731085183877141,0.812087202134032,0.605208630901747,0.802375894867878,0.818050506289725,0.040738422475456,0.594371920457793,0.772125596089179,0.815021712970126,0.808243748939381,0.841493825424115,0.501271924086706,0.121371100019628,0.789788572117748,0.777478900778593,0.865359301305835,0.665150928866155,0.848260525020251,0.0327816737252007,0.597523280973985,0.811231847918327,0.859697664579097,0.605453372065533,0.605298882209697,0.0343926079729942,0.580611337996919,0.643928248365569,0.597997444566878,0.640417760441492,0.612599447271735,0.60044497917025,0.642961881997575,0.771985559056994,0.774011677095229,0.0360205030509309,0.472328805710977,0.814295096860144,0.810509572474544,0.814092593001759,0.773234097074239,0.773539898907832,0.783327678750493,0.752137213608765,0.750336427972161,0.0350977124401717,0.0829200005406636,0.745766887300062,0.791737166781176,0.762764151931579,0.74054399330363,0.751474996751373,0.760074856918142,0.600587093488693,0.769580536700613,0.0361827672343064,0.614391016537874,0.130157409317853,0.846386520655392,0.121346385015091,0.595476897832027,0.0370698226617885,0.28950260473264,0.512824298684793,0.428095693212048
"I0B",0.0360257312809288,0,0.03254268329232,0.0514195752675328,0.056150850373672,0.10006136154795,0.337610873827654,0.635719260132348,0.78637337975126,0.441162555045474,0.405315676359185,0.0364033256098096,0.439672012699138,0.38157391309677,0.420836791554862,0.564097191407701,0.836215364259085,0.851994453620768,0.0556809556837121,0.731144304875893,0.812859167539741,0.604601085238643,0.802299335692616,0.81830205663796,0.038912376419633,0.597461234003471,0.774828994538645,0.815696826787257,0.808123808555029,0.842059182664253,0.50240325482485,0.119240950906479,0.789921173759013,0.781216688772236,0.865498539786219,0.668088416430874,0.850453692713479,0.031438784976725,0.598142110570548,0.813230789324413,0.861978696878197,0.608115910833095,0.608064767895392,0.0314928561468503,0.583905096689853,0.647218927308961,0.6015513516544,0.643814736090913,0.615284953762014,0.603382236956157,0.644556237829173,0.773882968785983,0.776021409851365,0.031107676049146,0.472195412400729,0.814818622754819,0.810797558468767,0.8146993364262,0.774856379699391,0.775588528434386,0.78521297113646,0.750741982463984,0.74762452785691,0.0335625121796934,0.0805230839944335,0.744501093117755,0.792039217931625,0.763447022315891,0.739412170564142,0.748858836351511,0.7594783486307,0.601839393253519,0.77181035214186,0.0336055677070444,0.614579119567801,0.130337562754327,0.847610935661799,0.12358129285074,0.597221344579282,0.0325710734482864,0.292767425094939,0.513890252256538,0.434294572188477
"I0C",0.0351592479819166,0.03254268329232,0,0.0485678662436248,0.0546379972566046,0.0994845703230422,0.335973335827204,0.637408390563359,0.786063248042426,0.440133561490496,0.403103034789423,0.0390990462325273,0.43819522862514,0.379823909691899,0.418025372672423,0.564719440312444,0.833923531575261,0.850610591217675,0.0547651829076956,0.729345443188128,0.81234090938808,0.605486162848455,0.80232368105486,0.817661154087009,0.0377351930709809,0.596594908384401,0.774310984961722,0.814765030279196,0.808790010502012,0.843314727297454,0.498964370542988,0.117582592138845,0.788527721889741,0.780558167295674,0.868256634472551,0.667416708038848,0.849820911524011,0.0296657810338468,0.59843608386034,0.812485049796509,0.861191166065157,0.605586254731304,0.606015205642633,0.0320600506204779,0.578952507353681,0.644210713209407,0.599526765840411,0.641258545339266,0.612875682262731,0.601412412555997,0.642536188750136,0.771517084458679,0.775873097457767,0.0314310875478807,0.468585251422662,0.811520292181523,0.807087065267843,0.811328217218968,0.772913651014326,0.775165548626867,0.783771501013438,0.749825241113976,0.74847367893179,0.0345601883175661,0.0803788896506673,0.743474881168084,0.790083222876087,0.761058057574595,0.738262474467733,0.749684189959951,0.757305884518129,0.601083138052955,0.772385841271211,0.0328815356195245,0.61672228608491,0.127750209740461,0.846867943829256,0.121725306203837,0.595458177729118,0.0335226575608063,0.292936191744919,0.513710742818881,0.430277414445257
"I4",0.0478208965423261,0.0514195752675328,0.0485678662436248,0,0.0339178708596629,0.0954062542014575,0.335087905869566,0.64108709746885,0.789360783205121,0.444279953024176,0.408065729749268,0.0491946796771032,0.444315499402503,0.38576215229146,0.422049166151278,0.566175592054484,0.832704430555398,0.851386687575709,0.0657480997680033,0.73411426350177,0.813825217685085,0.604398643135986,0.803447662119413,0.819292560738482,0.0480540984176466,0.596384717410223,0.773616241049708,0.816663463716976,0.810669498160532,0.842896744270757,0.501027070869978,0.124549710865387,0.787596592372514,0.778449791519837,0.86619023973436,0.668679118851176,0.849560905881245,0.0418417694213248,0.59894811966481,0.812115986416857,0.859063945865529,0.607828653428094,0.607575234306912,0.0453324865164817,0.580096859635726,0.642227406921091,0.598619898879836,0.639913064577595,0.614845836908701,0.602439486097627,0.64600685819685,0.773784058859306,0.778704765789909,0.046357653713953,0.467534167607622,0.811733763712975,0.807791310362991,0.811988324233522,0.774702025469321,0.778244086764505,0.785709803843354,0.751016474334158,0.747422882703387,0.045145635716367,0.0867308771775663,0.742805380203382,0.791721057427183,0.762960954065792,0.739149360846371,0.748474049208018,0.759985597451557,0.602318346667428,0.77354866426924,0.0480390757451025,0.617481020140555,0.132606570529593,0.847504038493804,0.124190701884604,0.59321476710289,0.0465919210745241,0.289484159772298,0.509182980583504,0.429488135345314
"I5",0.0527847174907858,0.056150850373672,0.0546379972566046,0.0339178708596629,0,0.0991594203776227,0.334939744191009,0.64220056594701,0.78920572649338,0.44326111036268,0.406128972334332,0.0556947182004434,0.448052329770017,0.387293477576894,0.420191099867935,0.567036731126984,0.829999333982052,0.850022096339822,0.0700496638344768,0.733822904007646,0.813009869378141,0.603715207284904,0.80367035983982,0.820322655257139,0.0532321684190696,0.591606921450807,0.771147702318344,0.817445622079399,0.810605974862125,0.84295705946931,0.500828726001144,0.124685243297071,0.784998831744677,0.780631191449993,0.865657623868162,0.669417161559867,0.850671095151884,0.0491444477660265,0.601013618059755,0.812029317850258,0.859885555718459,0.607258728463701,0.606957651135486,0.0522539829769985,0.579906721500726,0.643337315065741,0.598540415165364,0.640720821840458,0.614148948825617,0.601941699522627,0.644921221316247,0.771441666435899,0.77493411454576,0.0533280656324923,0.468709287623231,0.81110799201416,0.807477748392635,0.811282980466502,0.772330488192031,0.774595737827747,0.783213836562896,0.751782925151396,0.749637480813144,0.0511788906481955,0.0907159628330084,0.743389363591787,0.791141677685127,0.762683162923941,0.740049693300443,0.750214989408378,0.760611680725387,0.602295650200654,0.775674893205182,0.0536798431331602,0.617456510972273,0.137481141381836,0.847695030453561,0.123900899757863,0.592612914154445,0.0537830347367705,0.28985505215046,0.510306428007623,0.430899240940015
"I6",0.0993833886538842,0.10006136154795,0.0994845703230422,0.0954062542014575,0.0991594203776227,0,0.34245397980486,0.644619138553305,0.794057445629086,0.448742722315187,0.407501979011184,0.0929021325417176,0.45241717207829,0.390316401528624,0.421758279080421,0.57145773248338,0.838441394776212,0.854229309602675,0.105670273689787,0.733686868924659,0.815163198848978,0.608984623157344,0.8043214553902,0.821777895004221,0.0954331734138282,0.59907014798092,0.774297668048601,0.819093745410308,0.811361969100412,0.844234777229258,0.519561491880394,0.142622553224564,0.785917821862413,0.778402976049047,0.86819182492152,0.668158480564601,0.850451579467222,0.096066555327755,0.601955281643991,0.813660718034998,0.856628148590434,0.609403771798078,0.610259212056336,0.0957956468675831,0.591268362487292,0.640120651384133,0.600648569381158,0.643679284712964,0.619393719460171,0.603923943423307,0.650012924634845,0.772244398773392,0.778003721006023,0.0959954662530547,0.474868502130368,0.811501179304529,0.807637420503996,0.811384538802443,0.773550434869999,0.777431833648264,0.784385036991281,0.755708510072386,0.751664983502396,0.0941289930656337,0.134724582166519,0.75118989620145,0.804154503332161,0.775194533990431,0.746456586640909,0.752585349312057,0.765333834924985,0.603111829171872,0.767803934866656,0.0964946052496666,0.621177788955789,0.152777530212629,0.848354517108726,0.150980803403029,0.594730549715854,0.0950310423662384,0.29871124734761,0.513859557131098,0.431824766659875
"I7",0.336574401648747,0.337610873827654,0.335973335827204,0.335087905869566,0.334939744191009,0.34245397980486,0,0.650008734896367,0.79197190208227,0.529223895982487,0.503370696104764,0.339489075931227,0.518981213112038,0.485814178029955,0.514812210517593,0.642396053685859,0.837174097440335,0.864216238669024,0.344492628973945,0.768238034763847,0.830568118257697,0.643178752825565,0.812197753956411,0.822969057222887,0.337892672662023,0.629563360334295,0.788548892483015,0.819061038159728,0.814592396154342,0.848095074082007,0.569776803971135,0.361913551923892,0.799075522335343,0.781579347631938,0.867741749267788,0.686411020405695,0.845892325128385,0.338580388960097,0.650910526171716,0.825197583595058,0.848866843701509,0.660148152713366,0.656230945754656,0.33720303201745,0.639156040624694,0.690760695901714,0.653856546305238,0.695152203815703,0.675915554014165,0.651654960148031,0.694707957447898,0.797383562861452,0.818467332335575,0.337534740161596,0.529456821882138,0.817231011805985,0.809049315811975,0.817806380620504,0.800002707755509,0.815819871612255,0.808507699871596,0.758190667833535,0.757620016244652,0.338053649705899,0.336683107713113,0.751192679758757,0.802454778128337,0.776412554300259,0.748791894398859,0.757750752442827,0.762085235082864,0.645987021426346,0.828266276896575,0.339697906874994,0.665282834052692,0.346048036692142,0.854444144227809,0.343120177646313,0.639487355571818,0.337681846523223,0.414287064396937,0.566060591224631,0.532921247558588
"I8",0.639693910532653,0.635719260132348,0.637408390563359,0.64108709746885,0.64220056594701,0.644619138553305,0.650008734896367,0,0.820115600278894,0.696030740584639,0.685269299898671,0.640179618753527,0.725980487114917,0.701876001376356,0.698418584127837,0.763379184693273,0.884803132060811,0.887875712587414,0.640693879934285,0.840609204180228,0.884695779255588,0.800102121791285,0.882047706359452,0.882841827284046,0.641724169297818,0.79170345033842,0.881629625891041,0.88629296591153,0.878831929369764,0.873950114676954,0.705068878697507,0.637871908654946,0.841292410429455,0.868102803655219,0.887704048812825,0.82700922988779,0.886140260537976,0.640490617168641,0.77949326416963,0.872767548974369,0.892348188764543,0.756672532903989,0.756855875953153,0.639006002332603,0.764140418984938,0.790339610587661,0.753711332971109,0.780545575801488,0.760154086113594,0.754686260595421,0.766418685632918,0.863996564432629,0.856758461818095,0.638405586470475,0.728814879545967,0.880642149308342,0.871061489006148,0.878204213441599,0.863539753776461,0.856699557918614,0.870860513712296,0.801103713664489,0.773400054521071,0.641893201381992,0.639345145013565,0.782063871413403,0.807430337753109,0.797284729096204,0.783811655347628,0.780099310113894,0.815652066725379,0.783180457825097,0.860918990570031,0.640304206529589,0.795897742369131,0.650862685699877,0.889887686494388,0.651726044967019,0.817313246951491,0.637454624041524,0.686490720962401,0.777006438009107,0.73715263287725
"I9",0.786194666082496,0.78637337975126,0.786063248042426,0.789360783205121,0.78920572649338,0.794057445629086,0.79197190208227,0.820115600278894,0,0.730194236386093,0.778848469210691,0.786416562338623,0.812074463824647,0.779061810677797,0.771148909963732,0.799138887464761,0.894961360825525,0.897590169572086,0.79044913197663,0.888107600430046,0.894726997582759,0.796328781695704,0.859384376088498,0.817392467380716,0.788551231491881,0.852800818401589,0.882633882637731,0.810029055008499,0.88665988048612,0.896245342801827,0.833204572765085,0.788106107080253,0.894261822154915,0.794036198862848,0.87766603670731,0.858912624162058,0.89254625421379,0.787681736283004,0.862356169701946,0.881245717438464,0.894399341177202,0.820140363575002,0.821221508695911,0.786443860941349,0.825047165594734,0.832204638217772,0.819123436706094,0.818466467461616,0.815051107025514,0.823415309786182,0.8255575992802,0.833857259344853,0.817416016054208,0.785891173476756,0.83079160478418,0.867257833217857,0.860452744879538,0.861731601647777,0.850386664952173,0.812018028348684,0.855351204269869,0.863487176464251,0.871806287236093,0.786373020527228,0.788921487804236,0.864614486925136,0.876846502482053,0.867728850401506,0.863100127323049,0.867897049941297,0.858911291557762,0.840711535988456,0.894765459775345,0.785537554463292,0.853895786015623,0.793768739048905,0.893817482744784,0.792978295545931,0.845880649844206,0.785804308833156,0.812057157587855,0.840643196638893,0.830703230586002
"A1C",0.441500188524434,0.441162555045474,0.440133561490496,0.444279953024176,0.44326111036268,0.448742722315187,0.529223895982487,0.696030740584639,0.730194236386093,0,0.230149713805053,0.438911462857792,0.581222108253683,0.260763723181956,0.254192855124738,0.364162288509796,0.84658302910039,0.816864631427617,0.441815762521377,0.735592008166055,0.819214942358369,0.517029929411174,0.851737545566609,0.860074444138821,0.442527419416616,0.708542288938893,0.832353665135496,0.859161584966584,0.845997334227651,0.870046930010627,0.640579434372092,0.452955653988511,0.80754177645361,0.810601377512048,0.884314368318394,0.727237800516876,0.855057233103006,0.441092187930656,0.6530146005386,0.829667073178334,0.857734148687607,0.68634027744209,0.687812779545836,0.437885800403103,0.687386158594709,0.709054203550353,0.690710054472434,0.720506865731907,0.697304517708567,0.682922345880277,0.720442379181763,0.806146961341104,0.814283699048859,0.440042212009185,0.600926404684015,0.831168378580619,0.824854011761031,0.830725383905157,0.810198451887869,0.811907760526866,0.820490789855753,0.785919433000159,0.799706496000808,0.437096368526955,0.440799967067574,0.816973628894375,0.838380890502439,0.814126464566295,0.791358289737339,0.800191530378222,0.78856464204726,0.670790147452013,0.804419886696972,0.438359973357899,0.665209120145952,0.459392852787134,0.851576609761628,0.450062983882782,0.675135067204173,0.438105838109398,0.499178202885597,0.612508745609167,0.608808120342736
