"","Nbarcodes","Nb","Ns","Nr","Nb_cal","Nr_cal"
"A1C",253,58775.9307621952,2171,58775.9307621952,NA,NA
"A1E",253,21632.851556949,2171,21991.8092144041,NA,NA
"A1M",252,43094.712406296,2171,43193.7325591511,NA,NA
"A1O",247,31631.6645567908,2301,31631.6645567908,NA,NA
"A2C",245,42829.7325159632,2191,42829.7325159632,NA,NA
"A2E",253,58758.9412581157,2171,58758.9412581157,NA,NA
"A2M",253,29363.0460232822,2171,31582.2048219951,NA,NA
"A2O",253,27791.3416775622,2171,27791.3416775622,NA,NA
"A3C",244,40333.6713178797,1961,40333.6713178797,NA,NA
"A3E",253,35301.5673813202,2171,35301.5673813202,NA,NA
"A3M",253,34165.226357639,2171,34165.226357639,NA,NA
"A3O",253,22859.8969313695,2171,22859.8969313695,NA,NA
"A4C",253,19982.550799137,2171,19982.550799137,NA,NA
"A4E",253,23818.9357912362,2171,23818.9357912362,NA,NA
"A4M",252,16710.1722152356,2171,17519.8752077346,NA,NA
"A4O",252,4134.74729588778,2171,4258.8240518512,NA,NA
"B1C",253,34754.2923745808,2171,35030.398226704,NA,NA
"B1E",253,17581.0092051988,2171,17581.0092051988,NA,NA
"B1M",253,32223.6127195206,2171,32259.9362588894,NA,NA
"B1O",253,14439.5487686331,2171,14488.0112283864,NA,NA
"B2C",253,31299.9141024214,2171,31299.9141024214,NA,NA
"B2E",253,37648.3375190178,2171,37988.1199566847,NA,NA
"B2M",253,26346.7604148433,2171,27088.6217449196,NA,NA
"B2O",253,9501.51602871229,2171,9501.51602871229,NA,NA
"B3C",253,39043.6677426076,2171,39043.6677426076,NA,NA
"B3E",253,12838.221139774,2171,12960.3729288128,NA,NA
"B3M",253,32334.87944288,2171,34168.5583716941,NA,NA
"B3O",250,3023.13281547785,2171,3023.13281547785,NA,NA
"B4C",253,23303.7921208635,2171,23570.6694271094,NA,NA
"B4E",253,22743.2917109333,2171,22743.2917109333,NA,NA
"B4M",253,20233.320373609,2171,20821.0316314713,NA,NA
"B4O",253,9277.38358971799,2171,9280.7351922117,NA,NA
"C1C",106,156.245411440747,155.285714285714,156.245411440747,NA,NA
"C1E",20,15.2693698574152,22.8181818181818,22.8181818181818,NA,NA
"C1M",228,778.972246697747,951,951,NA,NA
"C1O",2,1,2,2,NA,NA
"C2C",248,2617.76299874995,2171,3352.5206693134,NA,NA
"C2E",111,1.87265414449744,166,166,NA,NA
"C2M",252,369.544130483814,2171,10042.0034173436,NA,NA
"C2O",100,60.6456030666806,136,136,NA,NA
"C3C",223,568.231860587487,1031,1031,NA,NA
"C3E",15,6.10753146881104,16.7142857142857,16.7142857142857,NA,NA
"C3M",250,2633.44883608877,2171,2633.44883608877,NA,NA
"C3O",5,3.79993063153487,5,5,NA,NA
"C4C",253,7279.52622062638,2171,7279.52622062638,NA,NA
"C4E",209,6.75674777560812,831,831,NA,NA
"C4M",253,13.9636045108866,2171,4999.37576064348,NA,NA
"C4O",122,10.1503594236298,209,209,NA,NA
