,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal,Nr_calibrated
A1C,253,58775.93076,2171,58775.93076,NA,NA,1019462.074
A1E,253,21632.85156,2171,21991.80921,NA,NA,56170.28903
A1M,252,43094.71241,2171,43193.73256,NA,NA,232531.1598
A1O,247,31631.66456,2301,31631.66456,NA,NA,106225.154
A2C,245,42829.73252,2191,42829.73252,NA,NA,226470.099
A2E,253,58758.94126,2171,58758.94126,NA,NA,1017188.146
A2M,253,29363.04602,2171,31582.20482,NA,NA,105884.8377
A2O,253,27791.34168,2171,27791.34168,NA,NA,82793.54514
A3C,244,40333.67132,1961,40333.67132,NA,NA,189761.3439
A3E,253,35301.56738,2171,35301.56738,NA,NA,135093.8642
A3M,253,34165.22636,2171,34165.22636,NA,NA,125354.245
A3O,253,22859.89693,2171,22859.89693,NA,NA,59666.88395
A4C,253,19982.5508,2171,19982.5508,NA,NA,48592.49943
A4E,253,23818.93579,2171,23818.93579,NA,NA,63705.51124
A4M,252,16710.17222,2171,17519.87521,NA,NA,40158.39311
A4O,252,4134.747296,2171,4258.824052,NA,NA,5797.208182
B1C,253,34754.29237,2171,35030.39823,NA,NA,132698.2055
B1E,253,17581.00921,2171,17581.00921,NA,NA,40357.39873
B1M,253,32223.61272,2171,32259.93626,NA,NA,110668.5131
B1O,253,14439.54877,2171,14488.01123,NA,NA,30843.73331
B2C,253,31299.9141,2171,31299.9141,NA,NA,103954.0197
B2E,253,37648.33752,2171,37988.11996,NA,NA,161614.4627
B2M,253,26346.76041,2171,27088.62174,NA,NA,79097.37844
B2O,253,9501.516029,2171,9501.516029,NA,NA,17548.16165
B3C,253,39043.66774,2171,39043.66774,NA,NA,173627.8528
B3E,253,12838.22114,2171,12960.37293,NA,NA,26529.68334
B3M,253,32334.87944,2171,34168.55837,NA,NA,125381.7929
B3O,250,3023.132815,2171,3023.132815,NA,NA,3634.428206
B4C,253,23303.79212,2171,23570.66943,NA,NA,62640.62123
B4E,253,22743.29171,2171,22743.29171,NA,NA,59189.38794
B4M,253,20233.32037,2171,20821.03163,NA,NA,51672.4466
B4O,253,9277.38359,2171,9280.735192,NA,NA,17007.86532
C1C,106,156.2454114,155.2857143,156.2454114,NA,NA,155.4482462
C1E,20,15.26936986,22.81818182,22.81818182,NA,NA,23.74398463
C1M,228,778.9722467,951,951,NA,NA,906.2311735
C1O,2,1,2,2,NA,NA,2
C2C,248,2617.762999,2171,3352.520669,NA,NA,4175.800006
C2E,111,1.872654144,166,166,NA,NA,164.6124268
C2M,252,369.5441305,2171,10042.00342,NA,NA,18886.47084
C2O,100,60.64560307,136,136,NA,NA,136.287185
C3C,223,568.2318606,1031,1031,NA,NA,988.244697
C3E,15,6.107531469,16.71428571,16.71428571,NA,NA,17.15394427
C3M,250,2633.448836,2171,2633.448836,NA,NA,3029.609937
C3O,5,3.799930632,5,5,NA,NA,4.133767379
C4C,253,7279.526221,2171,7279.526221,NA,NA,12268.22317
C4E,209,6.756747776,831,831,NA,NA,786.3884942
C4M,253,13.96360451,2171,4999.375761,NA,NA,7251.795315
C4O,122,10.15035942,209,209,NA,NA,204.6184925
