,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal,Nr_calibrated
I4,253,13195.86695,2321,13195.86695,NA,NA,27179.7053
I5,253,10225.08681,2321,10225.08681,NA,NA,19344.94401
I6,249,2738.74138,2321,2738.74138,NA,NA,3189.114233
I7,184,339.4452145,521,521,NA,NA,490.8318483
I8,27,29.49085299,31,31,NA,NA,32.39323591
I9,5,8.152173978,5,8.152173978,NA,NA,7.64512503
A1C,196,50.65449966,511,511,NA,NA,481.5668837
A1E,192,149.3459718,551,551,NA,NA,518.7070986
A1F0,253,32167.75512,2321,32167.75512,NA,NA,110005.5258
A1F1,238,28.35761268,1651,1888.513655,NA,NA,1987.934503
A1F2,195,141.0231731,601,601,NA,NA,565.4628248
A1M,165,101.2800718,361,361,NA,NA,343.8117667
A1O,153,10.7406321,306,306,NA,NA,293.5978046
A2C,2,2.598877973,2,2.598877973,NA,NA,2.598877973
A2E,2,1.780965293,2,2,NA,NA,2
A2F0,252,10647.26956,2321,10647.26956,NA,NA,20412.34968
A2F1,25,8.150574238,28.5,28.5,NA,NA,29.76943309
A2F2,7,5.471903927,7,7,NA,NA,6.345287704
A2M,76,12.97174862,88.14285714,88.14285714,NA,NA,89.94920909
A3C,29,2.872975493,32.81818182,32.81818182,NA,NA,34.29223339
A3E,4,3.289800138,4,4,NA,NA,3.087185503
A3F0,245,26411.42617,2091,26411.42617,NA,NA,75677.8702
A3F1,212,16.09503334,821,821,NA,NA,776.5572681
A3F2,21,9.122597484,23.5,23.5,NA,NA,24.47208013
A3M,5,4.004196063,5,5,NA,NA,4.133767379
A3O,2,3.943986082,2,3.943986082,NA,NA,3.030537132
A4C,4,2.118300645,4,4,NA,NA,3.087185503
A4E,2,8.354522998,2,1,NA,NA,1
A4F0,245,1280.453194,2091,2311.664885,NA,NA,2560.657975
A4F1,6,8.436598355,6,8.436598355,NA,NA,7.966199585
A4M,14,9.986305289,14.75,14.75,NA,NA,15.00225083
A4O,1,1,1,1,NA,NA,1
A5C,73,5.691159145,101,101,NA,NA,102.5610454
A5E,2,1,2,2,NA,NA,2
A5F0,253,62946.36074,2321,62946.36074,NA,NA,1715392.488
A5F1,106,6.073116538,163,163,NA,NA,161.798187
A5M,2,1.093906113,2,2,NA,NA,2
A5O,2,1,2,2,NA,NA,2
B1C,84,38.10457555,111,111,NA,NA,112.2907794
B1E,91,32.50544963,126,126,NA,NA,126.7391347
B1F0,253,52967.20587,2321,52967.20587,NA,NA,524293.6291
B1F1,223,7.830860807,1131,1131,NA,NA,1093.445285
B1F2,95,15.12153844,134.5714286,134.5714286,NA,NA,134.9268817
B1F3,83,27.75666482,121,121,NA,NA,121.9412363
B1F4,82,21.37913635,131,131,NA,NA,131.520941
B1F5,85,43.53334037,113.1428571,113.1428571,NA,NA,114.3653039
B1M,80,31.60020971,116.7142857,116.7142857,NA,NA,117.8143867
B1O,91,34.55213614,126,126,NA,NA,126.7391347
B2C,14,6.763699159,14.75,14.75,NA,NA,15.00225083
B2E,11,7.364193731,11,11.06741284,NA,NA,10.92082533
B2F0,253,49322.80189,2321,49654.50659,NA,NA,386724.3174
B2F1,217,7.509880318,861,861,NA,NA,816.0312746
B2F2,12,2.409728955,12.25,12.25,NA,NA,12.23856602
B2F3,19,2.159401743,21,21,NA,NA,21.79499851
B2F4,18,2.656899863,19.75,19.75,NA,NA,20.4484028
B2F5,14,6.632091033,14.75,14.75,NA,NA,15.00225083
B2M,11,7.263697747,11,11,NA,NA,10.84548248
B2O,25,5.97353416,28.5,28.5,NA,NA,29.76943309
B3C,31,9.396656937,34.63636364,34.63636364,NA,NA,36.18397378
B3E,14,13.68026972,14.75,14.75,NA,NA,15.00225083
B3F0,245,42750.49007,2091,42750.49007,NA,NA,225179.0506
B3F1,251,4152.627832,2321,5088.893579,NA,NA,7434.815967
B3F2,24,10.78318082,27.25,27.25,NA,NA,28.45161454
B3F3,24,3.72135909,27.25,27.25,NA,NA,28.45161454
B3F4,66,4.420003341,81,81,NA,NA,82.90501696
B3F5,22,16.48528865,24.75,24.75,NA,NA,25.80310593
B3M,21,13.67314736,23.5,23.5,NA,NA,24.47208013
B3O,13,7.891614155,13.5,13.5,NA,NA,13.62399399
B4C,205,2.873926669,651,651,NA,NA,612.621389
B4E,13,10.40033138,13.5,13.5,NA,NA,13.62399399
B4F0,253,43818.74789,2321,43818.74789,NA,NA,243432.5538
B4F1,245,1.485446737,2091,2091,NA,NA,2255.652591
B4M,244,1765.07546,2481,2481,NA,NA,2803.909412
B4O,1,1.44840462,1,1.44840462,NA,NA,1.44840462
B5C,253,917.1674413,2321,3504.494617,NA,NA,4434.492443
B5E,129,26.73216025,211,211,NA,NA,206.4669598
B5F0,253,43552.11739,2321,43552.11739,NA,NA,238704.4489
B5F1,253,74.37181879,2321,2498.374491,NA,NA,2829.331476
B5M,252,24.93666899,2321,2321,NA,NA,2573.873473
B5O,152,173.0112475,321,321,NA,NA,307.2935798
