tube,CFU,,,,,,,,,,,,,
I0A,3.80E+09,,,,,,,,,,,,,
I0B,3.80E+09,,,,,,,,,,,,,
I0C,3.80E+09,,,,,,,,,,,,,
I4,3.80E+05,,,,,,,,,,,,,
I5,3.80E+04,,,,,,,,,,,,,
I6,3.80E+03,,,,,,,,,,,,,
I7,380,,,,,,,,,,,,,
I8,31,,,,,,,,,,,,,
I9,5,,,,,,,,,,,,,
A1C,7.65E+04,,,,,,,,,,,,,
A2C,2.00E+00,,,,,,,,,,,,,
A3C,2.55E+04,,,,,,,,,,,,,
A4C,5.00E+00,,,,,,,,,,,,,
A5C,7.70E+01,,,,,,,,,,,,,
B1C,8.16E+07,,,,,,,,,,,,,
B2C,1.02E+07,,,,,,,,,,,,,
B3C,3.06E+07,,,,,,,,,,,,,
B4C,3.57E+03,,,,,,,,,,,,,
B5C,3.06E+04,,,,,,,,,,,,,
A1O,3.11E+03,,,,,,,,,,,,,
A2O,0.00E+00,,,,,,,,,,,,,
A3O,6.90E+01,,,,,,,,,,,,,
A4O,2.00E+00,,,,,,,,,,,,,
A5O,5.00E+00,,,,,,,,,,,,,
B1O,2.12E+08,,,,,,,,,,,,,
B2O,1.58E+07,,,,,,,,,,,,,
B3O,1.56E+08,,,,,,,,,,,,,
B4O,1.04E+04,,,,,,,,,,,,,
B5O,2.39E+02,,,,,,,,,,,,,
A1M,2.08E+08,,,,,,,,,,,,,
A2M,5.20E+02,,,,,,,,,,,,,
A3M,8.32E+06,,,,,,,,,,,,,
A4M,1.90E+01,,,,,,,,,,,,,
A5M,1.56E+04,,,,,,,,,,,,,
B1M,8.32E+08,,,,,,,,,,,,,
B2M,1.56E+08,,,,,,,,,,,,,
B3M,2.60E+08,,,,,,,,,,,,,
B4M,4.16E+03,,,,,,,,,,,,,
B5M,5.72E+05,,,,,,,,,,,,,
A1E,6.16E+07,,,,,,,,,,,,,
A2E,2.00E+00,,,,,,,,,,,,,
A3E,4.07E+05,,,,,,,,,,,,,
A4E,1.00E+00,,,,,,,,,,,,,
A5E,3.09E+03,,,,,,,,,,,,,
B1E,4.69E+08,,,,,,,,,,,,,
B2E,8.24E+07,,,,,,,,,,,,,
B3E,1.55E+08,,,,,,,,,,,,,
B4E,1.90E+01,,,,,,,,,,,,,
B5E,1.56E+05,,,,,,,,,,,,,
A1F0,3.03E+08,,,,,,,,,,,,,
A2F0,1.24E+05,,,,,,,,,,,,,
A3F0,1.13E+07,,,,,,,,,,,,,
A4F0,4.05E+04,,,,,,,,,,,,,
A5F0,4.59E+06,,,,,,,,,,,,,
B1F0,4.84E+07,,,,,,,,,,,,,
B2F0,1.07E+08,,,,,,,,,,,,,
B3F0,2.64E+08,,,,,,,,,,,,,
B4F0,1.53E+07,,,,,,,,,,,,,
B5F0,4.60E+08,,,,,,,,,,,,,
A1F1,1.08E+06,,,,,,,,,,,,,
A2F1,1.77E+03,,,,,,,,,,,,,
A3F1,1.99E+05,,,,,,,,,,,,,
A4F1,1.21E+02,,,,,,,,,,,,,
A5F1,5.40E+03,,,,,,,,,,,,,
B1F1,2.34E+05,,,,,,,,,,,,,
B2F1,5.30E+04,,,,,,,,,,,,,
B3F1,2.73E+05,,,,,,,,,,,,,
B4F1,6.95E+04,,,,,,,,,,,,,
B5F1,1.92E+06,,,,,,,,,,,,,
A1F2,7.27E+07,,,,,,,,,,,,,
A2F2,9.08E+01,,,,,,,,,,,,,
A3F2,2.10E+06,,,,,,,,,,,,,
B1F2,8.40E+06,,,,,,,,,,,,,
B2F2,6.50E+06,,,,,,,,,,,,,
B3F2,4.62E+06,,,,,,,,,,,,,
B1F3,5.50E+08,,,,,,,,,,,,,
B2F3,8.40E+07,,,,,,,,,,,,,
B3F3,1.06E+07,,,,,,,,,,,,,
B1F4,5.30E+08,,,,,,,,,,,,,
B2F4,2.34E+08,,,,,,,,,,,,,
B3F4,1.49E+08,,,,,,,,,,,,,
B1F5,1.24E+09,,,,,,,,,,,,,
B2F5,5.40E+08,,,,,,,,,,,,,
B3F5,5.30E+08,,,,,,,,,,,,,
