barcode,I0A,I0B,I0C,A1C,A1E,A1M,A1O,A2C,A2E,A2M,A2O,A3C,A3E,A3M,A3O,A4C,A4E,A4M,A4O,B1C,B1E,B1M,B1O,B2C,B2E,B2M,B2O,B3C,B3E,B3M,B3O,B4C,B4E,B4M,B4O,C1C,C1E,C1M,C1O,C2C,C2E,C2M,C2O,C3C,C3E,C3M,C3O,C4C,C4E,C4M,C4O
"Cluster_7397,contig_0 consensus mapping",5475,2987,2581,5104,4816,3659,4472,3970,12879,4496,10427,3872,7196,3545,4134,1900,4734,1769,2427,7318,5562,7506,6232,4047,7917,4205,7877,4742,4886,5128,3770,4998,3964,4244,4891,13390,6,10344,8,6729,622,6237,12,2404,11,6510,6,2640,6819,4620,14727
"Cluster_5885,contig_0 consensus mapping",4400,2306,2017,3782,3176,2611,3164,2372,9001,2851,6998,2908,5660,2510,3136,1269,3216,1047,1210,5479,4625,5341,4147,2551,6512,2949,5631,3803,4427,3846,3156,3196,2709,2758,3630,16,4,9078,9,4380,128,5485,7,2529,6,3876,5,2333,5,1476,4179
"Cluster_15590,contig_0 consensus mapping",4090,2077,1776,3657,3698,2417,3267,2612,8760,2750,7249,2621,5010,2446,2788,1351,3413,1134,1497,4961,4210,4805,5174,2372,6038,2605,5952,3451,4225,3265,2027,3170,2544,2542,3011,3029,6,2253,12,4123,285,5423,4804,2528,7,4598,2,1961,95,1564,9935
"Cluster_5221,contig_0 consensus mapping",3497,1912,1495,2883,2620,2058,2355,2246,7873,2245,5715,2375,4494,1875,2275,997,3126,876,1287,4531,3315,4565,3486,2287,4739,2272,4532,2820,4065,2864,3717,2686,2151,2122,3050,5900,4,6372,5,4334,514,4909,6676,2937,14,4546,3,1881,275,1182,6259
"Cluster_10375,contig_0 consensus mapping",7270,4522,3324,6622,7854,5131,6689,5203,18197,6113,13623,5309,9084,4940,6284,2446,6573,2450,3115,10062,10136,10339,7569,4908,11256,5121,10811,6640,6068,7173,5210,6796,4468,5716,4993,20746,13,6171,16,7631,913,10789,16870,3267,22,10417,8,3870,148,3468,34994
"Cluster_14611,contig_0 consensus mapping",2626,1666,1226,2301,2066,1819,1883,1943,5957,2022,4764,1741,3554,1813,2157,862,1997,774,1330,3664,3218,3606,3411,1815,3690,1969,3660,2253,3051,2459,1680,2132,1830,2117,2141,9477,3,3826,5,4108,7,3676,4270,2036,4,3022,7,1489,6,1103,4632
"Cluster_9420,contig_0 consensus mapping",4816,2554,2311,4281,4739,2972,4609,3239,11226,3879,9389,3535,6093,2946,3881,1487,4128,1710,1972,6144,5253,6541,5329,3065,7943,3641,6454,4083,4180,4636,4439,4209,3060,3655,3702,15865,9,2250,6,7982,33,5725,21017,1750,6,6235,9,2868,290,1615,9
"Cluster_14268,contig_0 consensus mapping",3219,1767,1444,3090,2566,2108,2377,2143,7505,2379,5923,2270,3614,2120,2109,1041,2899,883,1486,4200,3497,4100,3878,2062,4693,2164,4225,2758,3307,2613,2091,2691,2184,2034,3231,7082,8,691,8,5128,705,4231,8,3277,7,5781,1,2195,168,1470,7112
"Cluster_7050,contig_0 consensus mapping",3094,1534,1404,2610,2635,1781,2288,1876,5884,1976,5023,1850,3882,1733,1902,863,2886,877,1090,3257,3613,3429,3536,1802,3749,1638,4006,2244,2680,2323,1455,2328,1990,1986,1903,12,6,4607,7,3146,295,3154,7494,1220,3,2784,5,1682,218,1376,6774
"Cluster_6917,contig_0 consensus mapping",3422,1941,1526,3408,2941,2334,2716,2176,7847,2554,5770,2474,4138,2233,2376,1054,2669,956,1127,4298,3981,4675,3818,2219,4725,2559,4836,2712,3809,2956,2704,2783,2126,2450,2719,15635,5,2139,5,3893,8,3979,13,1613,6,5502,8,2027,32626,2477,12564
"Cluster_13137,contig_0 consensus mapping",4497,2332,1937,3899,4138,2638,3491,2685,9481,3136,7598,2934,5337,2648,3210,1348,3875,1261,1570,4961,4958,5399,4971,2752,6650,2858,7581,3590,4307,3659,3031,3858,2609,2951,3323,4704,5,2746,3,10793,101320,10284,5172,2085,9,5790,7,2275,163,1564,8711
"Cluster_142,contig_0 consensus mapping",3051,1643,1302,2545,2375,1832,2354,1995,7148,2060,4852,1953,3925,1744,2440,1063,2289,795,1610,3674,3296,3863,3079,2010,4415,1907,4074,2474,3135,2562,3014,2167,1785,2100,2493,9879,3,1268,7,4094,614,4337,4,2063,2,3701,7,1594,181,1138,2
"Cluster_10769,contig_0 consensus mapping",2836,1517,1383,2356,2411,1766,2366,1776,6212,1837,4839,1792,3629,1593,1950,872,2208,785,944,3130,3382,3809,3000,1872,4180,1981,3864,2438,3109,2343,1763,2080,1623,1823,2007,8464,3,2216,6,3047,11,3094,3,663,85720,4313,18,1771,72,1330,2021
"Cluster_1171,contig_0 consensus mapping",2976,1546,1452,2567,2847,1926,2389,1848,6798,2113,4973,2026,3083,1782,2080,1042,2722,852,1170,3251,3435,3166,3793,1756,4013,1758,4279,2461,2794,2422,1773,2213,1796,1969,1772,10955,5,1814,5,3509,476,2665,8478,1735,4,3206,4,1648,110,940,6
"Cluster_1330,contig_0 consensus mapping",3343,1832,1450,3055,3261,2168,2520,2050,7459,2339,5787,2300,4231,1936,2479,1096,2381,977,1450,3890,3920,4162,4553,1999,4572,2192,4824,2718,3286,2669,2345,2796,2212,2124,2396,9,4,3761,8,3740,1074,3903,4449,1807,12,6002,6,1534,152,1456,8761
"Cluster_7854,contig_0 consensus mapping",3246,1924,1496,3017,3263,2210,2449,2013,7178,2311,6371,2055,4110,1916,2409,1019,2638,956,1094,3933,3740,4128,3767,1955,4707,2195,4104,2759,3621,2762,2496,2503,1761,2171,2683,7698,6,1005,2,4054,517,5269,15,1540,11,3131,25,1479,119,1373,4956
"Cluster_4496,contig_0 consensus mapping",3223,1846,1507,2938,2805,1862,2416,1992,6681,2031,5321,2155,3479,1782,2221,964,2303,843,984,3509,3760,3520,3699,2010,4545,1978,4568,2735,2869,2415,1723,2226,1821,2227,2480,8,7,3007,5,4006,1039,4846,9,2375,70134,2271,23,1590,91,1277,2
