barcode,I0A,I0B,I0C,I4,I5,I6,I7,I8,I9,A1C,A1E,A1F0,A1F1,A1F2,A1M,A1O,A2C,A2E,A2F0,A2F1,A2F2,A2M,A3C,A3E,A3F0,A3F1,A3F2,A3M,A3O,A4C,A4E,A4F0,A4F1,A4M,A4O,A5C,A5E,A5F0,A5F1,A5M,A5O,B1C,B1E,B1F0,B1F1,B1F2,B1F3,B1F4,B1F5,B1M,B1O,B2C,B2E,B2F0,B2F1,B2F2,B2F3,B2F4,B2F5,B2M,B2O,B3C,B3E,B3F0,B3F1,B3F2,B3F3,B3F4,B3F5,B3M,B3O,B4C,B4E,B4F0,B4F1,B4M,B4O,B5C,B5E,B5F0,B5F1,B5M,B5O
"Cluster_7397,contig_0 consensus mapping",3091,3180,2485,7852,8646,3256,1051,39,0,3423,5528,1591,925,1955,3420,2080,2,0,1563,8,0,6554,3,5,2821,16,0,8,0,0,24,1495,6,13,0,6,1,4350,1,10,0,4,3,4054,458,0,8,0,2,8,4,6,3,4911,2172,0,1,0,1,4,1,2,1,3566,4328,19,0,0,0,4,4,793,7,3684,890,2816,2,2804,138,2987,3722,830,5929
"Cluster_5885,contig_0 consensus mapping",2474,2905,2346,5441,6811,3659,1479,5951,0,2797,1516,1354,796,1562,682,178,9,0,1434,11,3,1510,3,29,2221,186,2,2,3,4,5,1093,8,6,0,8,10,4037,1152,111,12,34,14,3678,316,2,13,0,5,0,12,13148,23466,4392,1259,586,8491,6291,5224,34434,7164,5,10,3158,2505,15,17,0,9,13,8,302,14,3405,810,1723,2,2933,9855,2762,2825,4079,3485
"Cluster_15590,contig_0 consensus mapping",2525,2818,2280,5986,6989,5720,2793,3829,2,13590,18714,1539,3963,7947,9899,2310,3,0,1621,9,5,2327,6,7,2499,584,3,4,0,5,19,1585,80217,10,1,4275,5,3795,734,72,0,913,583,4002,445,523,1294,359,148,514,57,13,4,4824,1220,1,8,0,2,3,2,2,9,3501,3512,11,9,13,2,8,1,1029,6,3743,1223,2519,4,2936,9995,3071,17705,980,4674
"Cluster_5221,contig_0 consensus mapping",1859,2224,1872,4886,5447,3508,2685,17,11,7305,8757,1017,3365,5408,5111,2003,2,0,1079,11,4,3748,13,3,1783,511,3,3,7,0,9,905,9,5,5,2890,6,3039,3,14,2,25862,2884,2938,239,4216,3319,4683,4797,2143,27360,49,5,3366,432,3,5,0,18,1,7,4,3,2560,2308,11,0,47,5,8,12,1941,2,2537,663,1649,6,1946,2515,2065,7572,673,1990
"Cluster_10375,contig_0 consensus mapping",3919,5031,3625,10253,9916,6404,6884,13209,3,427,600,2568,9558,3289,191,54,6,83,2611,79,19,7,5,66,4091,623,13,2,43,46,131,2327,9,5,2,13,70,6327,1991,10,1,8201,4531,6167,1074,1023,6027,2801,811,3360,1248,22,32,8091,1500,16,44,39,61,64,135,56468,80055,5281,7595,125260,38678,49618,47495,133875,79794,3142,19,5932,789,2806,4,3521,153,5119,4684,798,9599
"Cluster_14611,contig_0 consensus mapping",1478,1517,1241,3454,4191,3005,1828,15,2,1039,705,878,378,518,221,103,0,0,899,6,1,4,3,0,1282,369,0,2,1,0,1,587,2,1,0,3693,0,2258,2,479,0,2,0,1828,459,0,4,0,0,2,1,4,0,2523,539,0,3,0,0,0,2,0,2,1785,1881,9,0,0,0,1,0,740,4,2137,576,1857,40,1377,342,1516,1381,376,0
"Cluster_9420,contig_0 consensus mapping",2693,3256,2413,5941,6326,2717,9560,16267,0,4,1,1310,831,0,0,2,4,0,1538,8,0,0,2,1,2212,4554,0,1,3,18,9,773,6,0,0,6,1,3802,2,0,0,1,2,3634,677,0,2,0,0,0,3,4,3,4355,489,0,17,0,0,1,1,1,0,3101,2289,16,39,0,0,0,4,641,3,3276,758,3315,0,2703,54,2804,2972,456,0
"Cluster_14268,contig_0 consensus mapping",1786,2004,1423,4447,5147,1704,2754,31,3,51,20,1114,545,2,6,0,2,0,1155,6,0,3,2,2,1726,1975,0,0,1,0,9,1135,4,0,3,4881,2,2675,6,1,0,1438,847,2458,532,77,1076,507,159,480,73,8,2,3100,845,0,7,0,0,1,0,1,2,2457,2583,6,0,10,0,1,1,922,1,2540,507,1414,2,1789,377,1897,3627,585,3149
"Cluster_7050,contig_0 consensus mapping",1805,2209,1668,4200,4662,2957,2076,18,14,462,449,1162,747,153,325,311,4,1,1097,6143,5,966,293456,269518,1879,1594,34777,274677,49654,0,9,695,3,100,3,104,78,2760,613,316,0,22250,9929,2721,1381,5470,12699,7021,3295,8760,6809,110,2,3388,529,28,3,0,13,61,16,10,4,2431,2468,22,2,223,17,64,19,2973,2,2729,497,2423,47,1751,34,2179,1944,573,46
"Cluster_6917,contig_0 consensus mapping",2161,2077,1761,4408,5641,3134,3511,28,0,49,13,1092,686,10,0,43,3,0,1100,3370,2,1,535,53,2837,27721,28455,7,12,1,10,998,12,5,0,26,18,2792,13,0,31,128,27,2959,459,14,9,1,18,0,48,74083,48964,3478,519,5896,8111,18263,17085,70119,67295,23,12,2468,2858,14,0,7,31,19,77,391,23,2629,276,1213,12,1916,1584,2097,5402,462,5322
"Cluster_13137,contig_0 consensus mapping",2772,3172,2370,5392,5787,4578,3625,33,10981,430,654,1725,8239,2508,268,63,1,3,1739,31,3,1411,3,2,2480,550,2,0,6,2,16,1435,6,3,3,5,3,4137,876,86,0,3,7,4037,417,1,8,21,3,1,11,5,3,5114,1475,2,6,1,3,2,33,5423,1624,3726,2680,6337,1728,2634,2845,4700,13436,1206,8,4010,846,1856,3,2956,3284,3110,2350,888,197
"Cluster_142,contig_0 consensus mapping",1884,1981,1726,4017,4863,1553,1823,818,23,963,174,963,561,172,112,202,0,703,1053,22,18,39,22,7,1564,180,16,7,19,437,1320,701,32,9,14,29,26,2698,348,17,3,44193,16965,2403,94335,3509,20865,18149,12319,11643,43473,75,4,3039,1205,12,13,18,89,14,38,4871,7,2151,5150,133812,482408,392753,28949,118,22963,424,3,2412,891,1511,5,1979,494,1866,1657,287,8
"Cluster_10769,contig_0 consensus mapping",1906,2172,1684,4324,4811,2657,1538,15,10,691,668,1233,616,455,447,182,1,1,1496,5,0,5,10,10,1731,344,0,3,1,0,5,676,4,8,9,14,17,3039,3,209,2,23606,12970,2913,454,610,18224,8127,4746,8616,9683,48,6,3541,853,1,8,0,22,13,6,5,12,2535,2783,9,0,214,3,14,7,524,11,3067,832,1679,6,2686,22360,2356,2679,12707,1136
"Cluster_1171,contig_0 consensus mapping",2059,2316,1745,3895,4599,3296,2217,11,4,909,1300,1206,11620,4170,825,223,0,0,1459,18,2,242,4,6,1844,757,1,2,2,0,7,964,1,3,1,10,5,3104,4,2,2,8278,1548,2974,787,810,1262,1535,3457,1101,12831,18,0,3568,1206,1,7,0,4,2,9,5,5,2791,2688,14,0,13,0,0,9,1974,5,2990,409,2582,3,2438,9,2219,1653,421,1011
"Cluster_1330,contig_0 consensus mapping",2213,2602,1864,4702,5383,3340,0,12,1,8340,7746,1395,703,3554,3714,3609,0,0,1499,14,5,1147,7,7,2079,431,0,6,1,0,5,935,2,2,0,7,4,3239,2760,158,0,3030,1318,3370,441,1053,1766,782,362,1156,504,13,2,4209,559,3,0,0,2,4,4,2,1,3205,2401,12,0,30,1,6,5,1951,5,3198,785,2761,2,2452,118,2585,2763,508,2
