"","Nbarcodes","Nb","Ns","Nr","Nb_cal","Nr_cal"
"A1F0",253,5084.79627056972,2161,5084.79627056972,NA,NA
"A1F1",8,8.41113230734008,8,8.41113230734008,NA,NA
"A2F0",249,2251.35242851869,2161,2343.29838380345,NA,NA
"A3F0",242,1145.42483069805,1411,1411,NA,NA
"A4F0",244,2852.82687624428,1631,2932.26548719108,NA,NA
"A4F2",2,1.24149601356336,2,2,NA,NA
"B1F0",253,52921.4299644864,2161,59090.3229148171,NA,NA
"B1F1",102,67.185173864972,141,141,NA,NA
"B1F2",28,15.655039709893,30,30,NA,NA
"B1F5",34,10.6696574158604,36.5555555555556,36.5555555555556,NA,NA
"B2F0",239,121719.926725632,1261,121719.926725632,NA,NA
"B2F1",202,14.2179894093457,521,521,NA,NA
"B2F2",85,57.9170449787709,114.333333333333,114.333333333333,NA,NA
"B2F5",79,16.4393962688022,111,111,NA,NA
"B3F0",253,108213.634933578,2161,120119.652893364,NA,NA
"B3F1",198,238.373653108601,521,521,NA,NA
"B3F2",50,5.65233202477211,58.7777777777778,58.7777777777778,NA,NA
"B3F5",34,12.8790560017423,36.5555555555556,36.5555555555556,NA,NA
"B4F0",253,212641.414757003,2161,212641.414757003,NA,NA
"B4F1",158,3.93983782638608,311,311,NA,NA
"B4F2",4,2.15504446177937,4,4,NA,NA
"B4F5",15,3.7366678159072,16,16,NA,NA
"C1F0",253,285895.993967882,2161,305509.368467392,NA,NA
"C1F1",252,177.688757351623,2161,2161,NA,NA
"C1F2",227,89.041417338749,961,961,NA,NA
"C1F5",228,220.465699427348,1011,1011,NA,NA
"C2F0",253,130395.626333097,2161,135678.220465692,NA,NA
"C2F1",249,560.32350134461,2161,2161,NA,NA
"C2F2",222,658.630358709808,831,831,NA,NA
"C2F5",245,200.745281812496,1591,1591,NA,NA
"C3F0",253,121254.446665299,2161,144906.476485534,NA,NA
"C3F1",252,39.9117121578849,2161,2161,NA,NA
"C3F2",76,4.39613559476855,102.428571428571,102.428571428571,NA,NA
"C3F5",17,5.29566541857455,18.5,18.5,NA,NA
"C4F0",253,104309.851247004,2161,139974.757428199,NA,NA
"C4F1",246,42.7009885114993,1971,1971,NA,NA
"C4F2",226,3.47971629956711,971,971,NA,NA
"C4F5",115,2.71805285633831,164.333333333333,164.333333333333,NA,NA
"I8C3H",91,113.29710301378,129.333333333333,129.333333333333,NA,NA
