,Nbarcodes,Nb,Ns,Nr,Nb_cal,Nr_cal,Nr_calibrated
A1F0,253,5084.796271,2161,5084.796271,NA,NA,7426.405901
A1F1,8,8.411132307,8,8.411132307,NA,NA,7.937480609
A2F0,249,2251.352429,2161,2343.298384,NA,NA,2605.500366
A3F0,242,1145.424831,1411,1411,NA,NA,1404.089253
A4F0,244,2852.826876,1631,2932.265487,NA,NA,3489.876457
A4F2,2,1.241496014,2,2,NA,NA,2
B1F0,253,52921.42996,2161,59090.32291,NA,NA,1062374.155
B1F1,102,67.18517386,141,141,NA,NA,141.0391257
B1F2,28,15.65503971,30,30,NA,NA,31.34562871
B1F5,34,10.66965742,36.55555556,36.55555556,NA,NA,38.17335361
B2F0,239,121719.9267,1261,121719.9267,NA,NA,9933933.644
B2F1,202,14.21798941,521,521,NA,NA,490.8318483
B2F2,85,57.91704498,114.3333333,114.3333333,NA,NA,115.5159327
B2F5,79,16.43939627,111,111,NA,NA,112.2907794
B3F0,253,108213.6349,2161,120119.6529,NA,NA,9933933.644
B3F1,198,238.3736531,521,521,NA,NA,490.8318483
B3F2,50,5.652332025,58.77777778,58.77777778,NA,NA,60.7887565
B3F5,34,12.879056,36.55555556,36.55555556,NA,NA,38.17335361
B4F0,253,212641.4148,2161,212641.4148,NA,NA,9933933.644
B4F1,158,3.939837826,311,311,NA,NA,298.164099
B4F2,4,2.155044462,4,4,NA,NA,3.087185503
B4F5,15,3.736667816,16,16,NA,NA,16.37339881
C1F0,253,285895.994,2161,305509.3685,NA,NA,9933933.644
C1F1,252,177.6887574,2161,2161,NA,NA,2350.926429
C1F2,227,89.04141734,961,961,NA,NA,916.3920494
C1F5,228,220.4656994,1011,1011,NA,NA,967.5642968
C2F0,253,130395.6263,2161,135678.2205,NA,NA,9933933.644
C2F1,249,560.3235013,2161,2161,NA,NA,2350.926429
C2F2,222,658.6303587,831,831,NA,NA,786.3884942
C2F5,245,200.7452818,1591,1591,NA,NA,1616.2397
C3F0,253,121254.4467,2161,144906.4765,NA,NA,9933933.644
C3F1,252,39.91171216,2161,2161,NA,NA,2350.926429
C3F2,76,4.396135595,102.4285714,102.4285714,NA,NA,103.9561017
C3F5,17,5.295665419,18.5,18.5,NA,NA,19.09617249
C4F0,253,104309.8512,2161,139974.7574,NA,NA,9933933.644
C4F1,246,42.70098851,1971,1971,NA,NA,2095.577137
C4F2,226,3.4797163,971,971,NA,NA,926.5598971
C4F5,115,2.718052856,164.3333333,164.3333333,NA,NA,163.0493056
I8C3H,91,113.297103,129.3333333,129.3333333,NA,NA,129.9287074
