barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_7397,contig_0 consensus mapping",5805,7752,5286,0,5755,6220,4929,0,4338,1,0,0,3722,276,0,0,3264,4297,1,0,4118,46257,10,6,4231,3432,5853,1832,4989,3573,2450,731,5657,1133,1,0,5184,1586,915,9,2
"Cluster_5885,contig_0 consensus mapping",3200,4276,2685,0,2716,4191,2813,0,3073,1550,6365,6757,2187,581,642,5,2066,375,0,0,2596,109,0,0,2606,310,1151,350,2960,1542,1966,1296,3669,790,9,1,3371,1161,2186,188,9895
"Cluster_15590,contig_0 consensus mapping",3349,3953,4151,0,2160,3093,1538,0,3106,12086,12213,6694,1956,149,0,0,1988,2097,0,0,2418,226,0,0,2483,947,9354,2422,3011,2871,1996,928,3539,1241,224,124,3232,1322,954,1491,4795
"Cluster_5221,contig_0 consensus mapping",2962,4027,4270,0,2280,2308,921,0,2817,688,0,0,2071,72,0,0,1859,588,507,1,2291,602,0,0,2474,794,6471,1637,2723,1550,692,235,3255,837,22,0,2934,829,566,39,5410
"Cluster_10375,contig_0 consensus mapping",3111,4306,4307,0,3027,2843,2067,0,3045,1098,0,18,2217,651,0,0,2130,822,0,1,2542,452,0,0,2754,441,1816,456,3191,5457,2676,1324,3676,1234,19,12,3496,2143,381,134,6193
"Cluster_14611,contig_0 consensus mapping",2798,3682,2904,0,4792,1512,2355,0,2475,173,4837,47494,1879,1486,6796,3549,1702,2218,0,0,1985,640,13,1823,2145,1077,669,411,2541,3925,1624,1085,2955,1372,4,0,2691,1136,88,1,5075
"Cluster_9420,contig_0 consensus mapping",2452,3374,2727,0,1388,2295,1106,0,2260,3962,3763,139,1543,98,0,0,1410,0,0,0,1753,0,0,0,2012,302,1168,289,2142,1414,1462,201,2430,652,0,0,2356,1085,926,70,3
"Cluster_14268,contig_0 consensus mapping",2887,3870,3313,0,1813,1455,1752,0,2484,1136,0,1,1975,412,411,2,1934,1805,140,0,2116,0,0,0,2373,1919,6425,2089,2731,1718,1084,366,3193,1913,2,6,2932,1218,361,154,6238
"Cluster_7050,contig_0 consensus mapping",1981,2637,2111,0,2449,1744,956,0,1705,0,0,0,1383,57,0,0,1259,1301,0,0,1497,524,0,0,1680,256,1279,428,1905,1520,1233,947,2272,3367,71811,13911,2140,3665,592,274,3103
"Cluster_6917,contig_0 consensus mapping",2247,2811,1763,0,1848,3831,2588,0,1952,2956,1028,48,1412,2880,20167,826,1388,0,0,0,1589,0,0,0,1688,310,231,252,2016,2361,1229,509,2272,691,0,0,2185,889,186,8,1
"Cluster_13137,contig_0 consensus mapping",2609,3022,2502,0,2497,3240,969,0,2322,4454,657,6,1643,325,0,27,1681,1662,0,2,1853,7565,14638,164590,1942,279,513,245,2446,3030,2129,1069,2814,803,0,0,2663,10205,2522,1153,2230
"Cluster_142,contig_0 consensus mapping",2297,3129,2016,0,1122,3543,1893,0,1893,0,0,0,1543,54,0,0,1471,0,0,0,1630,564,1,0,1740,444,1656,2311,2062,1578,801,275,2573,573,143,32,2229,820,1899,143,2
"Cluster_10769,contig_0 consensus mapping",2116,2630,2304,0,1311,1914,1756,0,2030,383,0,0,1320,159,778,56,1319,1098,1,0,1637,632,7,2137,1724,2831,3381,467,2004,3090,2147,1125,2441,552,2,7,2194,547,313,14,2
