"","Nbarcodes","Nb","Ns","Nr","Nb_cal","Nr_cal"
"a2",253,84153.2989289783,2331,84153.2989289783,NA,NA
"a3",246,68651.3588063781,1741,68651.3588063781,NA,NA
"a4",253,31715.7430422376,2331,31979.2172584829,NA,NA
"a5",250,7831.4756925671,2331,7831.4756925671,NA,NA
"a6",214,749.156162435867,661,749.156162435867,NA,NA
"a7",75,89.6812718270875,95.4444444444444,95.4444444444444,NA,NA
"a8",4,3.20300236844627,4.33333333333333,4.33333333333333,NA,NA
"b2",253,81405.2599944103,2331,81405.2599944103,NA,NA
"b3",246,51563.6475863408,1741,51563.6475863408,NA,NA
"b4",253,21771.2747759254,2331,21771.2747759254,NA,NA
"b5",251,4706.21939532118,2331,4706.21939532118,NA,NA
"b6",228,876.932773778956,941,941,NA,NA
"b7",64,85.5178630559841,72.6666666666667,85.5178630559841,NA,NA
"b8",11,8.17267246941108,11.9090909090909,11.9090909090909,NA,NA
"c2",253,75561.9349837653,2331,75561.9349837653,NA,NA
"c3",253,47309.6569615088,2331,47309.6569615088,NA,NA
"c4",253,40806.3500309992,2331,40806.3500309992,NA,NA
"c5",252,5709.30623103602,2331,5709.30623103602,NA,NA
"c6",238,1033.27809227815,1381,1381,NA,NA
"c7",78,85.3653020048336,102.111111111111,102.111111111111,NA,NA
"c8",7,5.57151764571145,7.66666666666667,7.66666666666667,NA,NA
