barcode,a1,b1,c1,a2,a3,a4,a5,a6,a7,a8,b2,b3,b4,b5,b6,b7,b8,c2,c3,c4,c5,c6,c7,c8
"Cluster_7397,contig_0 consensus mapping",4860,4362,4195,4831,5305,4098,4797,1526,4,0,4760,4189,3976,4036,4656,0,0,4606,4568,3842,3365,1975,3,15
"Cluster_5885,contig_0 consensus mapping",3143,2991,2929,3255,3530,2896,3138,2701,6409,6,3194,3140,3094,2442,1610,5,0,2967,3387,3082,1991,2432,5819,7
"Cluster_15590,contig_0 consensus mapping",3144,2893,2917,2913,3597,3146,3044,1214,4,1358,3172,3053,2901,3036,2350,2942,12475,2977,3274,2798,2777,2084,3,13
"Cluster_5221,contig_0 consensus mapping",3025,2705,2802,3094,3143,2905,2966,1403,3,0,3179,2635,2644,1912,2236,3627,0,2928,2923,2549,2510,1612,4,5
"Cluster_10375,contig_0 consensus mapping",2677,2288,2538,2650,3046,2726,2818,667,3636,10,2727,2711,2740,2499,1135,7,53180,2704,3009,2530,2882,1822,12085,14
"Cluster_14611,contig_0 consensus mapping",2591,2279,2146,2669,2723,2426,2165,3206,6927,6,2468,2319,2123,1279,434,4,2,2415,2227,2084,2160,1717,2,22
"Cluster_9420,contig_0 consensus mapping",2480,2272,2207,2375,2849,2220,2477,12,2,0,2577,2231,2427,1773,1424,0,0,2690,2542,2280,2053,2566,2,8
"Cluster_14268,contig_0 consensus mapping",2416,2149,2109,2422,2771,2254,3033,2636,7424,0,2392,2312,1981,2179,1219,8032,0,2404,2429,2115,1750,2328,2056,4
"Cluster_7050,contig_0 consensus mapping",2201,2167,2171,2112,2407,2224,2025,1873,2710,0,2357,2387,2042,2206,976,2580,0,2202,2287,1907,2463,1570,2,6
"Cluster_6917,contig_0 consensus mapping",2273,1959,2148,2177,2518,2029,1945,1281,6545,0,2468,2146,2079,2356,1708,3,0,2466,2336,2027,1827,1700,2,12
"Cluster_13137,contig_0 consensus mapping",2427,2105,1879,2253,2635,2351,2475,1615,4942,0,2521,2279,2365,2379,1425,2819,0,2218,2520,2010,1855,2220,1424,5
"Cluster_142,contig_0 consensus mapping",2382,2001,2091,2148,2670,2119,2131,1318,5709,0,2319,2002,1885,1735,1303,7182,0,2299,2384,2174,2054,1653,4233,5
"Cluster_10769,contig_0 consensus mapping",2131,1951,2021,2281,2465,2202,1700,2236,1807,0,2350,2089,2281,1480,1355,2,3,2112,2258,1921,1971,1243,3,5
"Cluster_1171,contig_0 consensus mapping",2064,1974,1913,2034,2345,2048,2495,2008,2,1,2326,1972,1756,1609,1396,2519,1,2033,2170,1811,1831,1283,1,14848
"Cluster_1330,contig_0 consensus mapping",2018,1686,1938,1934,2311,1890,1949,1319,3,0,1992,1918,1953,2006,2295,4444,0,1960,2050,2056,1671,706,1,7
"Cluster_7854,contig_0 consensus mapping",1981,1772,1756,1952,2343,2062,1790,1585,6278,0,2254,1967,2078,1585,1634,8146,0,2076,2168,1747,2288,880,1,8
"Cluster_4496,contig_0 consensus mapping",2032,1650,1700,1796,2273,1934,2132,282,3432,0,1981,1979,1814,1786,1697,76,0,1881,1969,1652,1336,1411,1555,5
"Cluster_3284,contig_0 consensus mapping",2013,1758,1608,1927,2222,2135,2176,993,2,0,2223,2142,1988,2222,1035,8873,0,2037,2191,1872,2140,809,4,8
"Cluster_12255,contig_0 consensus mapping",1911,1694,1675,1887,1973,1774,1885,1319,0,0,1901,1593,1722,1447,1550,23,0,1725,1513,1545,1273,1129,2377,3
"Cluster_9844,contig_0 consensus mapping",1927,1666,1539,1782,2144,2056,2050,1563,0,0,1966,1942,1917,1946,1268,1,0,1686,1874,1569,1706,1246,4579,2
"Cluster_138,contig_0 consensus mapping",1852,1739,1799,1968,2100,2041,1907,654,1,0,1966,1682,1683,1440,306,4703,0,1948,1852,1616,1556,1221,2175,6
"Cluster_11895,contig_0 consensus mapping",1712,1655,1724,1752,2017,1899,2305,754,3,0,2000,1841,1541,1886,1042,1,0,1810,1814,1656,1815,981,2807,0
"Cluster_6601,contig_0 consensus mapping",1772,1710,1616,1903,2204,1872,1853,1336,0,0,1776,1800,1593,1306,1133,0,0,1764,1951,1618,1308,1562,1,2
"Cluster_1677,contig_0 consensus mapping",1730,1597,1678,1725,1983,1549,1409,1292,2158,0,1903,1697,1761,1927,1091,4,0,1676,1800,1504,1693,1193,1339,19
"Cluster_9292,contig_0 consensus mapping",1703,1616,1673,1772,2042,1634,1190,2159,0,0,1933,1619,1810,1956,1537,3,0,1869,1777,1406,1519,1618,1,5
"Cluster_9753,contig_0 consensus mapping",1868,1600,1485,1661,2160,1794,1791,554,2,0,1822,1635,1748,1606,699,1154,3,1706,1869,1608,1269,1218,205,18336
"Cluster_3809,contig_0 consensus mapping",1703,1531,1483,1616,1996,1563,1599,1120,1345,2,1641,1734,1597,1928,1052,2,0,1638,1789,1451,1097,904,987,3
"Cluster_12938,contig_0 consensus mapping",1687,1614,1371,1495,1605,1520,1372,1536,3363,1,1592,1421,1347,1494,1315,0,9985,1479,1594,1422,1116,1433,1088,0
"Cluster_15064,contig_0 consensus mapping",1690,1470,1499,1760,2164,2060,1832,894,2711,2,1920,1722,1664,1906,709,3789,6,1814,1764,1584,1517,1859,3,24217
"Cluster_2297,contig_0 consensus mapping",1677,1389,1490,1636,1701,1668,2019,827,2120,0,1587,1493,1704,1920,935,3,0,1518,1681,1445,1684,1233,3,4
"Cluster_14475,contig_0 consensus mapping",1735,1388,1405,1431,1859,1497,1359,853,0,0,1645,1564,1477,1299,626,2226,0,1565,1652,1336,1408,924,2155,5
"Cluster_4370,contig_0 consensus mapping",1552,1495,1447,1551,1763,1410,1276,810,1779,0,1550,1390,1460,1233,1012,3091,0,1453,1565,1409,1023,1355,2,2
"Cluster_5419,contig_0 consensus mapping",1690,1363,1406,1586,1707,1614,1375,837,1525,0,1574,1510,1344,923,424,1,0,1467,1554,1494,1058,1025,2,5
"Cluster_7637,contig_0 consensus mapping",1629,1359,1460,1524,1842,1535,1365,522,1342,0,1719,1450,1545,1379,659,5101,0,1534,1494,1297,1232,1598,753,2
"Cluster_14323,contig_0 consensus mapping",1596,1422,1379,1635,1963,1787,1645,1240,2582,0,1841,1701,1723,2000,1039,2,2,1490,1893,1447,1517,1801,3045,6
"Cluster_2585,contig_0 consensus mapping",1441,1401,1514,1536,1686,1563,1293,2014,1820,0,1662,1479,1423,1455,700,2,0,1488,1593,1343,1332,1309,1240,2
"Cluster_8580,contig_0 consensus mapping",1540,1388,1372,1580,1853,1497,1300,2214,2,0,1748,1447,1573,1408,1749,1985,0,1523,1691,1399,1340,1354,0,6
"Cluster_6975,contig_0 consensus mapping",1515,1385,1350,1401,1798,1699,1616,581,1,0,1601,1466,1514,1290,908,1,0,1473,1726,1430,1466,895,1076,0
"Cluster_2678,contig_0 consensus mapping",1541,1287,1411,1542,1594,1536,1356,1345,3942,0,1473,1323,1478,1206,674,1,0,1387,1459,1366,1121,1197,1,6
"Cluster_10227,contig_0 consensus mapping",1581,1354,1296,1507,1593,1459,1694,662,1,0,1409,1322,1240,1367,520,0,0,1438,1481,1318,1014,1275,4,4
"Cluster_15751,contig_0 consensus mapping",1568,1226,1446,1342,1609,1369,1330,701,0,0,1446,1433,1238,1237,295,215,0,1321,1441,1184,1210,1268,2,1
"Cluster_5642,contig_0 consensus mapping",1583,1309,1353,1507,1821,1484,1385,556,2447,0,1656,1585,1492,1608,495,4207,0,1428,1758,1310,1452,915,1,5
"Cluster_6296,contig_0 consensus mapping",1497,1315,1401,1565,1835,1460,1676,502,2,0,1732,1603,1414,1355,1076,2,0,1577,1661,1330,1468,982,4,4
"Cluster_8983,contig_0 consensus mapping",1374,1446,1371,1515,1716,1635,1312,2367,3501,0,1531,1422,1269,1147,239,1146,0,1388,1477,1262,1108,434,1619,5
"Cluster_13509,contig_0 consensus mapping",1460,1435,1304,1298,1429,1476,988,1430,2192,0,1493,1195,1260,1246,1049,1,0,1376,1344,1176,931,455,1195,1
"Cluster_13207,contig_0 consensus mapping",1538,1345,1291,1410,1693,1487,1507,989,1,0,1523,1455,1421,1464,451,1,0,1386,1394,1169,1113,368,1,5
"Cluster_12084,contig_0 consensus mapping",1395,1342,1436,1422,1759,1550,1466,1700,15,0,1534,1305,1614,1545,831,1882,0,1466,1607,1309,1442,797,1178,4
"Cluster_740,contig_0 consensus mapping",1390,1398,1353,1354,1453,1418,1035,600,2880,8,1578,1303,1297,1349,452,2,0,1311,1388,1361,1431,957,0,4
"Cluster_7934,contig_0 consensus mapping",1562,1430,1181,1379,1700,1415,1179,425,2,0,1551,1458,1361,1492,611,0,0,1422,1493,1232,1193,720,1791,1
"Cluster_817,contig_0 consensus mapping",1426,1352,1337,1520,1614,1603,1197,863,0,0,1663,1488,1434,1285,560,1715,0,1437,1572,1245,1112,805,2,3
"Cluster_136,contig_0 consensus mapping",1574,1349,1386,1398,1684,1519,2048,671,3,2,1642,1576,1410,1548,564,4170,0,1423,1613,1430,1759,921,2,2
"Cluster_11127,contig_0 consensus mapping",1500,1270,1327,1488,1790,1335,2287,1281,3791,0,1520,1368,1315,941,955,2,0,1419,1464,1161,979,781,2,0
"Cluster_1633,contig_0 consensus mapping",1509,1305,1282,1454,1604,1417,1163,1134,1,0,1418,1460,1196,926,596,11,3,1415,1536,1286,1072,790,619,4
"Cluster_4247,contig_0 consensus mapping",1417,1362,1299,1368,1582,1396,1380,1181,3,0,1613,1436,1547,1694,768,0,3,1414,1635,1309,1315,1068,2179,0
"Cluster_19,contig_0 consensus mapping",1460,1419,1356,1477,1613,1613,981,1402,1569,0,1569,1372,1421,1263,841,3,1,1468,1463,1237,941,457,597,1
"Cluster_5750,contig_0 consensus mapping",1364,1393,1245,1311,1632,1573,1436,2053,3,0,1489,1405,1453,775,2107,4666,0,1510,1435,1176,1291,544,4,8
"Cluster_2770,contig_0 consensus mapping",1468,1187,1294,1342,1652,1335,1057,190,2,0,1463,1439,1310,1329,936,1,0,1369,1363,1155,867,1322,1210,3
"Cluster_2888,contig_0 consensus mapping",1377,1266,1312,1326,1554,1479,1218,891,1,0,1514,1348,1203,950,616,1761,0,1380,1501,1275,1173,1206,1223,0
