barcode,I0A,I0B,I0C,I0E,I3E,I4E,I5E,I6E,I7E,I8E,I9E,I9E-1
"Cluster_7397,contig_0 consensus mapping",2935,2901,1746,3729,4103,3175,4032,1680,4095,1917,0,2
"Cluster_5885,contig_0 consensus mapping",1724,1764,981,2435,2680,1941,2760,1551,1046,1,1,1
"Cluster_15590,contig_0 consensus mapping",2588,2494,1367,3100,3311,2812,3288,1839,1720,6,0,1
"Cluster_5221,contig_0 consensus mapping",1460,1480,812,2365,2540,1928,2810,1034,755,817,0,0
"Cluster_10375,contig_0 consensus mapping",5107,4844,2855,6092,6822,5342,6999,2889,7545,3530,0,1
"Cluster_14611,contig_0 consensus mapping",1308,1170,765,1772,1813,1533,1578,781,1169,892,1,0
"Cluster_9420,contig_0 consensus mapping",3082,2761,1682,3819,3914,3249,4178,1478,4193,2,2,3
"Cluster_14268,contig_0 consensus mapping",1521,1459,862,1953,2215,1726,2368,1525,1348,836,1,0
"Cluster_7050,contig_0 consensus mapping",1780,1719,954,2260,2312,1733,2585,1282,111,1954,13692,21328
"Cluster_6917,contig_0 consensus mapping",2016,1800,1107,2496,2440,1993,2872,1577,2463,1,1,0
"Cluster_13137,contig_0 consensus mapping",2477,2575,1495,3150,3469,2526,3739,1558,1891,1123,0,0
"Cluster_142,contig_0 consensus mapping",1490,1417,819,1977,2003,1623,2366,869,2012,1061,0,0
"Cluster_10769,contig_0 consensus mapping",1892,1786,1091,2190,2135,1732,2631,949,1427,1787,1,3
"Cluster_1171,contig_0 consensus mapping",1550,1548,956,2116,1919,1621,2205,1210,2517,854,1,0
"Cluster_1330,contig_0 consensus mapping",2020,1824,1189,2561,2477,1952,2789,1308,2102,1109,14672,22949
"Cluster_7854,contig_0 consensus mapping",2346,2179,1279,2732,2884,2201,2899,1636,1421,1,0,1
"Cluster_4496,contig_0 consensus mapping",1931,1782,1107,2240,2423,1719,2439,1220,952,0,0,1
"Cluster_3284,contig_0 consensus mapping",2668,2544,1560,3309,3289,2419,4109,1330,2310,3535,2,3
"Cluster_12255,contig_0 consensus mapping",1718,1711,965,1987,1735,1393,1906,1149,1178,1544,2,2
"Cluster_9844,contig_0 consensus mapping",2264,2245,1328,2856,2742,2271,3016,1276,1278,1422,0,0
"Cluster_138,contig_0 consensus mapping",1674,1524,918,2140,2272,1773,2078,769,2157,1,1,0
"Cluster_11895,contig_0 consensus mapping",1674,1644,932,2002,2186,1624,2371,1079,906,1095,9,12
"Cluster_6601,contig_0 consensus mapping",1653,1480,1003,2053,2166,1585,2502,1122,573,1094,1,1
"Cluster_1677,contig_0 consensus mapping",1440,1244,794,1779,1880,1386,1984,1380,1423,1,0,0
"Cluster_9292,contig_0 consensus mapping",1841,1869,1191,2231,2319,1941,2752,1384,334,1,0,0
"Cluster_9753,contig_0 consensus mapping",1059,1051,620,1551,1517,1226,1572,661,1360,1147,0,0
"Cluster_3809,contig_0 consensus mapping",977,925,561,1231,1353,1123,1334,680,385,1,2,0
"Cluster_12938,contig_0 consensus mapping",1134,1003,602,1363,1438,1030,1510,721,455,1,1920,3342
"Cluster_15064,contig_0 consensus mapping",1673,1519,981,2105,2186,1701,2216,1107,1361,1,6171,9506
"Cluster_2297,contig_0 consensus mapping",1460,1386,885,1925,1888,1405,2233,1386,1198,1,0,0
"Cluster_14475,contig_0 consensus mapping",1023,916,605,1306,1281,1048,1373,712,662,1643,0,0
"Cluster_4370,contig_0 consensus mapping",996,991,530,1373,1356,1029,1666,696,956,0,0,0
"Cluster_5419,contig_0 consensus mapping",780,657,417,1086,1047,869,1112,434,842,1025,3,9
"Cluster_7637,contig_0 consensus mapping",773,698,366,1018,968,844,1124,494,275,0,0,0
"Cluster_14323,contig_0 consensus mapping",1999,1950,1095,2324,2409,1875,2644,1090,1137,1099,0,1
"Cluster_2585,contig_0 consensus mapping",1063,1021,553,1202,1315,1006,1244,890,566,1218,1,1
"Cluster_8580,contig_0 consensus mapping",1929,1741,1083,2261,2349,1732,2395,1300,1352,2,0,1
"Cluster_6975,contig_0 consensus mapping",1910,1679,1020,2318,2213,1799,2506,1505,397,2,0,1
"Cluster_2678,contig_0 consensus mapping",940,816,513,1263,1279,985,1475,504,635,0,0,0
"Cluster_10227,contig_0 consensus mapping",676,639,363,915,902,627,911,572,359,0,0,0
"Cluster_15751,contig_0 consensus mapping",910,971,625,1170,1326,1001,1184,736,935,0,1,1
"Cluster_5642,contig_0 consensus mapping",1811,1649,1138,2264,2259,1745,2539,1289,1950,2333,2,1
"Cluster_6296,contig_0 consensus mapping",1473,1359,841,1919,1830,1547,2098,877,795,5,0,0
"Cluster_8983,contig_0 consensus mapping",883,940,533,1189,1287,1023,1271,775,685,520,0,0
"Cluster_13509,contig_0 consensus mapping",1747,1699,1042,2301,2542,1753,2416,1411,1192,0,0,0
"Cluster_13207,contig_0 consensus mapping",1257,1192,689,1509,1458,1192,1567,903,360,996,0,0
"Cluster_12084,contig_0 consensus mapping",995,956,556,1317,1207,1046,1234,712,661,2,0,0
"Cluster_740,contig_0 consensus mapping",1043,988,542,1270,1374,1121,1499,539,358,1450,1,1
"Cluster_7934,contig_0 consensus mapping",1182,1226,704,1548,1450,1190,1688,959,728,4,0,1
"Cluster_817,contig_0 consensus mapping",1081,993,611,1397,1381,1046,1631,857,943,0,0,0
"Cluster_136,contig_0 consensus mapping",2064,1945,1225,2507,2641,2098,2988,1423,1641,2,0,0
"Cluster_11127,contig_0 consensus mapping",1438,1255,827,1772,1813,1488,1917,728,986,785,0,2
"Cluster_1633,contig_0 consensus mapping",305,347,179,446,434,372,506,239,203,0,0,1
"Cluster_4247,contig_0 consensus mapping",1849,1920,1066,2479,2442,1853,3124,1494,2154,1725,0,0
"Cluster_19,contig_0 consensus mapping",765,743,466,1155,1184,965,1383,712,636,2,0,0
"Cluster_5750,contig_0 consensus mapping",1389,1297,835,1827,1850,1522,2018,1107,623,0,2,0
"Cluster_2770,contig_0 consensus mapping",1218,1076,756,1495,1386,1193,1613,765,1298,0,0,0
"Cluster_2888,contig_0 consensus mapping",1453,1477,931,1810,1871,1548,2154,1038,1171,2,0,0
"Cluster_8720,contig_0 consensus mapping",531,437,255,663,712,539,775,385,344,241,0,0
"Cluster_11864,contig_0 consensus mapping",1054,936,552,1281,1246,958,1692,516,968,1,0,2
"Cluster_12828,contig_0 consensus mapping",1448,1400,829,1807,1798,1372,1845,975,1527,1052,0,1
"Cluster_13340,contig_0 consensus mapping",827,818,497,961,1109,910,1192,796,238,841,0,0
"Cluster_2829,contig_0 consensus mapping",570,571,301,802,798,603,789,333,446,311,0,0
"Cluster_8692,contig_0 consensus mapping",1329,1368,776,1685,1780,1413,1906,899,688,1876,1,0
"Cluster_7,contig_0 consensus mapping",1232,1318,779,1492,1490,1264,1408,781,1123,2,0,0
"Cluster_7778,contig_0 consensus mapping",1288,1099,705,1567,1523,1139,1586,947,591,0,1,0
"Cluster_11024,contig_0 consensus mapping",1001,986,532,1265,1198,1022,1320,643,408,640,0,0
"Cluster_3646,contig_0 consensus mapping",1331,1196,690,1687,1597,1322,1753,840,1193,2003,1,1
"Cluster_15294,contig_0 consensus mapping",1291,1301,790,1718,1568,1206,1735,831,1122,1078,0,0
"Cluster_172,contig_0 consensus mapping",707,784,352,937,987,783,1235,338,303,0,0,0
"Cluster_6411,contig_0 consensus mapping",1104,1114,706,1501,1462,1229,1697,792,1502,1,0,1
"Cluster_11508,contig_0 consensus mapping",703,706,423,1002,1001,868,1192,487,422,2,0,0
"Cluster_12143,contig_0 consensus mapping",1015,954,622,1404,1336,1014,1356,847,1766,1,0,0
"Cluster_8890,contig_0 consensus mapping",682,546,371,796,852,691,963,519,449,1,0,0
"Cluster_2509,contig_0 consensus mapping",756,740,407,976,966,837,927,509,329,457,1,0
"Cluster_12055,contig_0 consensus mapping",989,942,586,1313,1253,950,1189,753,1695,0,0,0
"Cluster_10816,contig_0 consensus mapping",1293,1254,779,1648,1709,1302,1870,1051,1275,1,1,1
"Cluster_12667,contig_0 consensus mapping",1835,1513,1004,2264,1980,1607,2717,853,1601,6,0,1
"Cluster_8194,contig_0 consensus mapping",804,715,427,1046,1038,827,1130,470,203,1,3,3
"Cluster_180,contig_0 consensus mapping",1260,1173,728,1687,1718,1315,1944,652,502,1728,0,0
"Cluster_2046,contig_0 consensus mapping",1100,999,535,1120,1192,980,1616,551,771,0,0,0
"Cluster_9917,contig_0 consensus mapping",1182,1139,628,1311,1482,1171,1515,507,980,1086,3,3
"Cluster_15822,contig_0 consensus mapping",679,597,348,793,823,692,831,455,406,631,11128,18206
"Cluster_15887,contig_0 consensus mapping",639,495,309,720,685,616,885,479,174,615,0,0
"Cluster_9134,contig_0 consensus mapping",1847,1662,1029,2093,2169,1561,2402,1047,326,5,3,7
"Cluster_6538,contig_0 consensus mapping",2111,1925,1304,2465,2555,1920,2720,826,1487,3,0,1
"Cluster_12419,contig_0 consensus mapping",685,668,421,910,867,778,915,339,853,0,0,0
"Cluster_13669,contig_0 consensus mapping",897,849,478,970,1060,865,1175,745,352,0,1,0
