"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"A1F5",58640,339,318,18.1093885345447,343.111111111111,1037.0132194224,6e+07,2.53543478222437,7.77815125038364,174870.466321244
"A2F5",69614,647,425.444444444444,12.7926280495626,655.611111111111,2948.68262778729,3.2e+07,2.8166463052605,7.50514997831991,48809.4229302602
"A3F5",293220,13,10,3.6429692518785,13,37.7157264662512,1.7e+07,1.11394335230684,7.23044892137827,1307692.30769231
"A4F5",291867,543,330,25.2197564887554,547,3245.17294063138,5e+07,2.73798732633343,7.69897000433602,91407.6782449726
"B1F5",155062,85,47,1.43899345323412,86,939.000732508443,3e+07,1.93449845124357,7.47712125471966,348837.209302326
"B2F5",51351,162,156.222222222222,35.4353500779757,164.666666666667,327.218616762747,4e+07,2.21660569420398,7.60205999132796,242914.979757085
"B3F5",93951,36,33,4.89382142121748,36,171.669188645125,2e+07,1.55630250076729,7.30102999566398,555555.555555556
"B4F5",111084,23,19,10.8308086610186,23,46.2494257518519,4e+07,1.36172783601759,7.60205999132796,1739130.43478261
"C1F5",40991,327,178,20.9505042617081,332.555555555556,1505.08147540477,5e+07,2.52186420740087,7.69897000433602,150350.818576679
"C2F5",39075,50,32,4.40265411740077,50.6666666666667,173.289882820654,3e+07,1.70472233322511,7.47712125471966,592105.263157895
"C3F5",294698,48,44,11.3067586023411,48,124.460464058101,3e+07,1.68124123737559,7.47712125471966,625000
"C4F5",232060,130,64,21.5558495119465,131,717.10690599063,2e+08,2.11727129565576,8.30102999566398,1526717.55725191
"D1F5",413870,4,3,6.01913213957889,4,28.372489543837,700,0.602059991327962,2.84509804001426,175
"D2F5",205241,1,1,0.785002128659237,1,1,5e+07,0,7.69897000433602,5e+07
"D3F5",88163,6,5,7.32599815557694,6,12.3688410049211,23000,0.778151250383644,4.36172783601759,3833.33333333333
"D4F5",91528,5,4,6.65600743994681,5,8.45739033121911,6e+07,0.698970004336019,7.77815125038364,1.2e+07
"I8",70537,108,116,95.1180575974857,109.777777777778,112.135864488362,108,2.0405144351483,2.03342375548695,0.983805668016194
"B1F5_2",157016,7,6,1.11577065540351,7,13.9744575480997,1.4e+07,0.845098040014257,7.14612803567824,2e+06
"B2F5_2",116208,8,6,2.09674171021744,8,19.7683231271544,1e+08,0.903089986991944,8,12500000
"B3F5_2",245411,2,2,1.64002532891655,2,4.26431740949805,6e+07,0.301029995663981,7.77815125038364,3e+07
"B4F5_2",125148,2,2,2.1954637480881,2,2.02058431893804,2e+07,0.301029995663981,7.30102999566398,1e+07
"C1F5_2",239663,7,4,47.5794069388929,7,56.5105909333554,6e+07,0.845098040014257,7.77815125038364,8571428.57142857
"C2F5_2",715447,1,1,40.6455663741495,1,1,2,0,0.301029995663981,2
"C3F5_2",84723,2,2,3.77836266699426,2,2.0843191172639,5.1e+07,0.301029995663981,7.70757017609794,25500000
"C4F5_2",421158,4,4,29.8797117398005,4,4.84202387394082,4e+07,0.602059991327962,7.60205999132796,1e+07
"D1F5_2",269959,57,25,12.5045554511022,57,885.563682773766,6e+07,1.75587485567249,7.77815125038364,1052631.57894737
"D2F5_2",211906,123,113,8.61845943303268,124,423.212761239696,1.9e+08,2.09342168516224,8.27875360095283,1532258.06451613
"D3F5_2",334549,35,29,9.62189404802424,35,55.6977395945694,1.7e+07,1.54406804435028,7.23044892137827,485714.285714286
"D4F5_2",5983,26,25.3333333333333,6.79080112585509,27.4444444444444,40.9013604427446,500,1.43845444382034,2.69897000433602,18.2186234817814
"I8_2",497811,90,90.7777777777778,69.1676967879446,90.7777777777778,93.5717097307888,90,1.95797954709309,1.95424250943932,0.991432068543452
"I8T_2",639427,94,93.9444444444444,62.2793348474591,95,99.7581246907975,112,1.97772360528885,2.04921802267018,1.17894736842105
