name,cfu,,,
I0A,1.00E+10,,,
I0C,1.00E+10,,,
I0AT,1.00E+10,,,
I0CT,1.00E+10,,,
A1F5,60000000,,,
A2F5,32000000,,,
A3F5,17000000,,,
A4F5,50000000,,,
B1F5,30000000,,,
B2F5,40000000,,,
B3F5,20000000,,,
B4F5,40000000,,,
C1F5,50000000,,,
C2F5,30000000,,,
C3F5,30000000,,,
C4F5,200000000,,,
D1F5,700,,,
D2F5,50000000,,,
D3F5,23000,,,
D4F5,60000000,,,
I8,108,,,
B1F5_2,1.40E+07,,,
B2F5_2,1.00E+08,,,
B3F5_2,6.00E+07,,,
B4F5_2,2.00E+07,,,
C1F5_2,6.00E+07,,,
C2F5_2,2.00E+00,,,
C3F5_2,5.10E+07,,,
C4F5_2,4.00E+07,,,
D1F5_2,6.00E+07,,,
D2F5_2,1.90E+08,,,
D3F5_2,1.70E+07,,,
D4F5_2,5.00E+02,,,
I8_2,9.00E+01,,,
I8T_2,112,,,
,,,,
,,,,
,,,,
,,,,
,,,,
