name,cfu
I0A,1.90E+11
I0B,1.90E+11
I0C,1.90E+11
I0A2,1.90E+11
A1F01,6866666667
A1F05,2600000000
A1F10,4200000000
A2F01,4585714286
A2F05,4590000000
A2F10,686666666.7
A3F01,3362857143
A3F05,4844444444
A3F10,2600000000
A4F01,3150000000
A4F05,7800000000
A4F10,10500000000
B1F01,3570000000
B1F05,1716666667
B1F10,2060000000
B2F01,2403333333
B2F05,5100000000
B2F10,6300000000
B3F01,5400000000
B3F05,3360000000
B3F10,1373333333
B4F01,4036363636
B4F05,1820000000
B4F10,8670000000
C1F01,7070000000
C1F05,5100000000
C1F10,2100000000
C2F01,7700000000
C2F05,6114285714
C2F10,540000000
C3F01,9450000000
C3F05,5300000000
C3F10,3780000000
C4F01,1766666667
C4F05,3510000000
C4F10,4120000000
D1F01,5300000000
D1F05,7066666667
D1F10,1222857143
D2F01,10600000000
D2F05,2080000000
D2F10,420000000
D3F01,3633333333
D3F05,2080000000
D3F10,1528571429
D4F01,1766666667
D4F05,3003333333
D4F10,1590000000
E1F01,8477777778
E1F05,3776666667
E1F10,15810000000
E2F01,10900000000
E2F05,10300000000
E2F10,1681428571
E3F01,6300000000
E3F05,7066666667
E3F10,343333333.3
E4F01,3640000000
E4F05,10300000000
E4F10,4585714286
I8,105
A1F20,3057142.857
A2F20,1300000
A3F20,1528571.429
A4F20,10200000
B1F20,3433333.333
B2F20,686666666.7
B3F20,
B4F20,353333333.3
C1F20,34333333.33
C2F20,1300000000
C3F20,104000000
C4F20,152857142.9
D1F20,53000
D2F20,2403333.333
D3F20,
D4F20,21000
E1F20,8100000
E2F20,102000000
E3F20,36333333.33
E4F20,780000000
