,TotalReads,Number.of.barcodes,Ns_MinCutoff,Nb,Ns,AverageFrequency,CFU,Log10Ns,Log10CFU,CFU.Ns,Ns_calibrated
I9,791398,15,14,11.41608753,15,17.4460809,17,1.176091259,1.230448921,1.133333333,12.0082143
I92,268290,15,14,11.86619286,15,17.2473943,17,1.176091259,1.230448921,1.133333333,12.0082143
A1F1,439768,4,4,6.822295972,4,14.55678197,1.87E+09,0.602059991,9.271841607,467500000,4
A1F2,95328,111,16,7.645196097,112,2866.295879,1.89E+09,2.049218023,9.276461804,16875000,101.8904968
A1F5,385276,24,6,7.042965853,24,410.583667,4.05E+09,1.380211242,9.607455023,168750000,19.9523246
A1F10,370941,107,23,8.012309551,108,1997.658007,4.40E+09,2.033423755,9.643452676,40740740.74,98.12464536
A1F20,147410,19,6,15.17166149,19,356.5194123,6.05E+08,1.278753601,8.781755375,31842105.26,15.50711008
A2F1,394136,8,8,13.54356881,8,11.11123814,1.41E+09,0.903089987,9.149219113,176250000,7
A2F2,651496,11,9,14.04049232,11,26.90267439,2.56E+09,1.041392685,9.408239965,232727272.7,8.580556137
A2F5,199793,14,9,14.45072219,14,46.91783957,2.31E+10,1.146128036,10.36361198,1.65E+09,11.14363327
A2F10,435646,90,19,17.67476188,91,1424.680565,1.12E+10,1.959041392,10.04921802,123076923.1,82.13004625
A2F20,410708,11,10,19.30310519,11,24.79226273,7.27E+08,1.041392685,8.861534411,66090909.09,8.580556137
A3F1,437627,84,78,40.23419339,85.26315789,120.3445556,1.79E+09,1.930761414,9.252853031,20993827.16,76.73783837
A3F2,349451,89,79,46.66772558,90,125.7022138,3.30E+09,1.954242509,9.51851394,36666666.67,81.18974294
A3F5,312439,98,82,52.69709406,99,151.766956,4.59E+09,1.995635195,9.661812686,46363636.36,89.6544403
A3F10,403990,100,84,55.05500718,101,185.5092262,2.80E+09,2.004321374,9.447158031,27722772.28,91.53627548
A3F20,202129,30,10,17.6892354,30,432.0815916,6.30E+08,1.477121255,8.799340549,2.10E+07,25.36263405
A4F1,362828,25,21,31.56626241,25,38.90933085,1.31E+09,1.397940009,9.117271296,52400000,20.84896638
A4F2,669612,25,21,34.04037278,25,38.01727275,2.45E+09,1.397940009,9.389166084,9.80E+07,20.84896638
A4F5,160274,25,22,37.2381768,25,34.01664632,9.17E+09,1.397940009,9.962369336,366800000,20.84896638
A4F10,319020,26,24,30.27452192,26,41.74277339,4.20E+09,1.414973348,9.62324929,161538461.5,21.74779894
A4F20,334506,3,3,12.26876576,3,3.568901281,8.80E+08,0.477121255,8.944482672,293333333.3,3
B1F1,213739,4231,3167.888889,1060.819173,4517.222222,9393.257093,1.45E+09,3.654871456,9.161368002,320993.7277,4281.037824
B1F2,370736,3855,2979,1267.547832,4061.055556,8171.248564,1.55E+09,3.608638931,9.190331698,381674.1679,3824.42046
B1F5,192572,3168,2230.222222,868.3229925,3323.666667,7666.273215,4.20E+09,3.521617462,9.62324929,1263664.627,3103.459627
B1F10,223958,2792,1593,68.4753781,2908.777778,14783.90236,1.62E+09,3.463710544,9.209515015,556934.9479,2706.248794
B1F20,193229,315,32,27.24262825,318,13024.75657,2.70E+09,2.50242712,9.431363764,8490566.038,295.672319
B2F1,562544,4178,2240.222222,37.91861045,4432.666667,32845.47664,1.89E+09,3.646665074,9.276461804,426379.9068,4195.746021
B2F2,251134,3311,1531.315789,32.5625178,3470.222222,31558.37116,2.20E+09,3.540357287,9.342422681,633965.1639,3245.162697
B2F5,591049,777,794.9,38.89208101,784.5789474,4853.210844,5.10E+09,2.894636651,9.707570176,6500301.872,730.8436249
B2F10,551744,1384,323,45.97038999,1412.315789,31285.18946,9688888889,3.149931814,9.986273975,6860285.045,1310.753086
B2F20,204808,242,17,17.57729829,244,16055.47923,4.59E+09,2.387389826,9.661812686,18811475.41,226.1694237
B3F1,369568,2062,771.9473684,441.6575934,2122.157895,16252.89531,3.13E+09,3.326777694,9.495544338,1474913.817,1967.052185
B3F2,234352,2645,1262.736842,476.7489962,2757.210526,14297.83371,1.87E+09,3.440469928,9.271841607,678221.6962,2562.503401
B3F5,203563,1430,815.1578947,434.0727618,1460.444444,5265.103881,3.53E+09,3.164485041,9.547774705,2417072.428,1355.097255
B3F10,309360,1781,662.4210526,53.26334885,1829.368421,15974.31614,6.75E+09,3.262301178,9.829303773,3689798.032,1695.545511
B3F20,217148,199,21,22.45879657,201,9555.716648,3.89E+09,2.303196057,9.589949601,19353233.83,185.7144818
B4F1,574830,288,254,182.3854004,290.6315789,389.9428314,1.87E+09,2.463342801,9.271841607,6434262.948,269.9848965
B4F2,112942,256,260,187.770073,259,329.8451296,3.75E+09,2.413299764,9.574031268,14478764.48,240.2699681
B4F5,401416,291,250,183.135325,294,417.9449535,1.03E+10,2.46834733,10.01283722,35034013.61,273.1477314
B4F10,458484,275,238,111.0381337,278,502.8856185,1766666667,2.444044796,9.247154615,6354916.068,258.1220817
B4F20,64456,104,31,11.96393593,105.7,1361.781792,6.52E+09,2.024074987,9.814247596,61684011.35,95.95961889
C1F1,306834,38087,46163.5,25628.8672,80063,60210.3957,1.98E+09,4.903431859,9.29666519,24730.52471,322911.5884
C1F2,94406,23242,20197,2003.61366,39274.14286,38650.62851,3.12E+09,4.594106716,9.494154594,79441.58097,78654.46471
C1F5,216798,12586,11718.71429,665.1756823,15351.71429,28086.8997,4.41E+09,4.186156879,9.644438589,287264.3353,18434.31382
C1F10,162897,3640,2228,82.63048426,3860.888889,15631.22112,3668571429,3.586687303,9.564496979,950188.2946,3626.696646
C1F20,144481,71,19,10.2590724,72,1525.812451,9.33E+08,1.857332496,8.969881644,12958333.33,64.28873393
