"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"A0",471491,62620,166401,82771.8804231535,1330874,89275.746028282,0,6.12413694075267,-Inf,0
"A1",192430,39333,55254.5,26134.3911029361,101695.666666667,58724.5441953558,0,5.00730244768332,-Inf,0
"A2",220190,48432,90986.3333333333,50419.5130393483,195856,67519.5118582003,0,5.29193688059145,-Inf,0
"A3",148121,43690,59515.8571428571,43110.3956767591,166459.5,59477.0456865099,0,5.22130858579394,-Inf,0
"A4",114905,36728,40433.6666666667,30597.6325457426,105499,49920.2127569978,0,5.02324834307883,-Inf,0
"A5",106646,23828,25090.1,12757.6947565011,40881.5,35444.5191005345,0,4.61152682229719,-Inf,0
"A6",67773,7175,5914.9375,3592.11019693433,8395.66666666667,10691.3235028983,0,3.92405518744954,-Inf,0
"A7",125921,874,817,496.07688780735,888.333333333333,1004.46516178964,0,2.94857595864293,-Inf,0
"A8",835562,79,71.35,37.6220734629903,79.0526315789474,89.8940107835019,0,1.89791633171532,-Inf,0
"A9",903350,11,9,4.56513214212404,11,30.4704655691382,0,1.04139268515823,-Inf,0
"B0",277319,51907,117199,49569.0443001092,243960,73544.4028913655,0,5.38731862468566,-Inf,0
"B1",131335,38084,45302,29787.8570149155,109881.5,52837.7604415898,0,5.04092457937317,-Inf,0
"B2",84169,29282,27332.7142857143,21755.2494893039,67961.3333333333,39352.9516863669,0,4.83226189070361,-Inf,0
"B3",139362,41308,52351,37484.6994381963,138306,56503.5331094596,0,5.14084102110981,-Inf,0
"B4",110796,35723,38442.5,29330.6589335671,99852.5,48566.7923168063,0,4.99935894274315,-Inf,0
"B5",81058,19218,18929.2727272727,10275.4718325642,30409.4285714286,28003.1530050381,0,4.4830082593218,-Inf,0
"B6",208628,8664,7769.66666666667,4753.80311513359,9973.66666666667,12438.7859485131,0,3.9988548494201,-Inf,0
"B7",252535,784,720,500.558325695162,793,892.262257767172,0,2.8992731873176,-Inf,0
"B8",674855,108,102.75,90.2792449147565,109.4,116.047639030969,0,2.03901732199741,-Inf,0
"B9",806092,9,9,5.54848510768134,9,9.85080840026322,0,0.954242509439325,-Inf,0
"C0",137804,31569,35745.2222222222,15675.7020190006,66048.75,47486.6681072729,0,4.81986460282504,-Inf,0
"C1",127816,31309,34801.8571428571,18203.6983685995,66498.6,46071.193176794,0,4.82281250216514,-Inf,0
"C2",51876,11746,16811,16106.0034723656,16809,13392.2775804375,0,4.22554187718723,-Inf,0
"C3",101583,33940,35772.5,30456.683910684,90008,45323.7500028351,0,4.95428111167764,-Inf,0
"C4",238982,47719,90868,44671.7080229588,176479,67444.5506655368,0,5.24669303421833,-Inf,0
"C5",116424,23414,25462,12084.5150054714,39100.2857142857,35300.8473651792,0,4.59217993089163,-Inf,0
"C6",142861,8364,7381.25,4099.15573732734,9677.33333333333,12520.2381177331,0,3.98575570047284,-Inf,0
"C7",136526,813,744.263157894737,506.163024952903,824,929.538080270115,0,2.91592721169712,-Inf,0
"C8",212521,86,78,53.449466437871,86.4210526315789,99.8257071380053,0,1.93661955183059,-Inf,0
"C9",446268,16,15,8.84767546110867,16,21.4395714203944,0,1.20411998265592,-Inf,0
