,Reference,Comparison,FRD Value
1,s1_vc15,s1_vc15,1
2,s1_vc15,s10_vc15,0.686303906
3,s1_vc15,s11_vc15,0.411782344
4,s1_vc15,s12_vc15,0
5,s1_vc15,s13_vc15,0
6,s1_vc15,s14_vc15,0.507925247
7,s1_vc15,s15_vc15,0.137260781
8,s1_vc15,s16_vc15,0
9,s1_vc15,s17_vc15,0
10,s1_vc15,s18_vc15,0
11,s1_vc15,s19_vc15,0
12,s1_vc15,s2_vc15,0.870212764
13,s1_vc15,s20_vc15,0
14,s1_vc15,s21_vc15,0
15,s1_vc15,s22_vc15,0
16,s1_vc15,s23_vc15,0.455970445
17,s1_vc15,s24_vc15,0
18,s1_vc15,s25_vc15,0
19,s1_vc15,s26_vc15,0.536262855
20,s1_vc15,s27_vc15,0
21,s1_vc15,s28_vc15,0
22,s1_vc15,s29_vc15,0.86526187
23,s1_vc15,s3_vc15,0.849620155
24,s1_vc15,s30_vc15,0.86526187
25,s1_vc15,s31_vc15,0.217553191
26,s1_vc15,s32_vc15,0
27,s1_vc15,s33_vc15,0.77468011
28,s1_vc15,s34_vc15,0.536262855
29,s1_vc15,s35_vc15,0
30,s1_vc15,s36_vc15,0
31,s1_vc15,s37_vc15,0
32,s1_vc15,s38_vc15,0.137260781
33,s1_vc15,s39_vc15,0.354813972
34,s1_vc15,s4_vc15,0.860184016
35,s1_vc15,s40_vc15,0.217553191
36,s1_vc15,s41_vc15,0
37,s1_vc15,s42_vc15,0
38,s1_vc15,s43_vc15,0
39,s1_vc15,s44_vc15,0
40,s1_vc15,s45_vc15,0
41,s1_vc15,s46_vc15,0
42,s1_vc15,s47_vc15,0
43,s1_vc15,s48_vc15,0
44,s1_vc15,s49_vc15,0
45,s1_vc15,s5_vc15,0.879758007
46,s1_vc15,s50_vc15,0
47,s1_vc15,s51_vc15,0
48,s1_vc15,s52_vc15,0
49,s1_vc15,s53_vc15,0
50,s1_vc15,s54_vc15,0.455970445
51,s1_vc15,s55_vc15,0
52,s1_vc15,s56_vc15,0.137260781
53,s1_vc15,s57_vc15,0
54,s1_vc15,s58_vc15,0.652659573
55,s1_vc15,s59_vc15,0.666810267
56,s1_vc15,s6_vc15,0.709627945
57,s1_vc15,s60_vc15,0
58,s1_vc15,s61_vc15,0.411782344
59,s1_vc15,s62_vc15,0.274521562
60,s1_vc15,s63_vc15,0
61,s1_vc15,s64_vc15,0
62,s1_vc15,s7_vc15,0
63,s1_vc15,s8_vc15,0.274521562
64,s1_vc15,s9_vc15,0.698309124
65,s1_vc15,s1_vc17,0
66,s1_vc15,s10_vc17,0
67,s1_vc15,s11_vc17,0.602892921
68,s1_vc15,s12_vc17,0
69,s1_vc15,s13_vc17,0
70,s1_vc15,s14_vc17,0
71,s1_vc15,s15_vc17,0.217553191
72,s1_vc15,s16_vc17,0
73,s1_vc15,s17_vc17,0.549043125
74,s1_vc15,s18_vc17,0.915862315
75,s1_vc15,s19_vc17,0.762427205
76,s1_vc15,s2_vc17,0
77,s1_vc15,s20_vc17,0.536262855
78,s1_vc15,s21_vc17,0.549043125
79,s1_vc15,s22_vc17,0
80,s1_vc15,s23_vc17,0
81,s1_vc15,s24_vc17,0
82,s1_vc15,s25_vc17,0.217553191
83,s1_vc15,s26_vc17,0.872642555
84,s1_vc15,s27_vc17,0.903857097
85,s1_vc15,s28_vc17,0.797122073
86,s1_vc15,s29_vc17,0.929006268
87,s1_vc15,s3_vc17,0
88,s1_vc15,s30_vc17,0
89,s1_vc15,s31_vc17,0
90,s1_vc15,s32_vc17,0
91,s1_vc15,s33_vc17,0
92,s1_vc15,s34_vc17,0
93,s1_vc15,s35_vc17,0.137260781
94,s1_vc15,s36_vc17,0
95,s1_vc15,s37_vc17,0
96,s1_vc15,s38_vc17,0.217553191
97,s1_vc15,s39_vc17,0.318709664
98,s1_vc15,s4_vc17,0.549043125
99,s1_vc15,s40_vc17,0.137260781
100,s1_vc15,s41_vc17,0
101,s1_vc15,s42_vc17,0
102,s1_vc15,s43_vc17,0
103,s1_vc15,s5_vc17,0
104,s1_vc15,s6_vc17,0
105,s1_vc15,s7_vc17,0
106,s1_vc15,s8_vc17,0
107,s1_vc15,s9_vc17,0
108,s1_vc15,s1_vc18,0.872642555
109,s1_vc15,s2_vc18,0.846888726
110,s1_vc15,s3_vc18,0.857595411
111,s1_vc15,s4_vc18,0.435106382
112,s1_vc15,s5_vc18,0.354813972
113,s1_vc15,s6_vc18,0.137260781
114,s1_vc15,s7_vc18,0
115,s1_vc15,s8_vc18,0
116,s1_vc15,s9_vc18,0.536262855
117,s1_vc15,s10_vc18,0
118,s1_vc15,s11_vc18,0
119,s1_vc15,s12_vc18,0
120,s1_vc15,s13_vc18,0
121,s1_vc15,s14_vc18,0.137260781
122,s1_vc15,s15_vc18,0.877414483
123,s1_vc15,s16_vc18,0.905909193
124,s1_vc15,s17_vc18,0.715053639
125,s1_vc15,s18_vc18,0.620907648
126,s1_vc15,s19_vc18,0
127,s1_vc15,s20_vc18,0.217553191
128,s1_vc15,s21_vc18,0.274521562
129,s1_vc15,s22_vc18,0.735381774
130,s1_vc15,s23_vc18,0
131,s1_vc15,s24_vc18,0.770679459
132,s1_vc15,s25_vc18,0.217553191
133,s1_vc15,s26_vc18,0.455970445
134,s1_vc15,s27_vc18,0
135,s1_vc15,s28_vc18,0
136,s1_vc15,s29_vc18,0
137,s1_vc15,s30_vc18,0
138,s1_vc15,s31_vc18,0
139,s1_vc15,s32_vc18,0.612105068
140,s1_vc15,s33_vc18,0.709627945
141,s1_vc15,s34_vc18,0.86526187
142,s1_vc15,s35_vc18,0.217553191
143,s1_vc15,s36_vc18,0.318709664
144,s1_vc15,s37_vc18,0
145,s1_vc15,s38_vc18,0.137260781
146,s1_vc15,s39_vc18,0.612105068
147,s1_vc15,s40_vc18,0.620907648
148,s1_vc15,s41_vc18,0.217553191
149,s1_vc15,s42_vc18,0.629335535
150,s1_vc15,s43_vc18,0
151,s1_vc15,s44_vc18,0
152,s1_vc15,s45_vc18,0
153,s1_vc15,s46_vc18,0.849620155
154,s10_vc15,s1_vc15,0.743171688
155,s10_vc15,s10_vc15,1
156,s10_vc15,s11_vc15,0.297268675
157,s10_vc15,s12_vc15,0
158,s10_vc15,s13_vc15,0
159,s10_vc15,s14_vc15,0.384214189
160,s10_vc15,s15_vc15,0.445903013
161,s10_vc15,s16_vc15,0
162,s10_vc15,s17_vc15,0
163,s10_vc15,s18_vc15,0
164,s10_vc15,s19_vc15,0.148634338
165,s10_vc15,s2_vc15,0.874362753
166,s10_vc15,s20_vc15,0
167,s10_vc15,s21_vc15,0
168,s10_vc15,s22_vc15,0
169,s10_vc15,s23_vc15,0
170,s10_vc15,s24_vc15,0.148634338
171,s10_vc15,s25_vc15,0
172,s10_vc15,s26_vc15,0.297268675
173,s10_vc15,s27_vc15,0.148634338
174,s10_vc15,s28_vc15,0
175,s10_vc15,s29_vc15,0.749770178
176,s10_vc15,s3_vc15,0.729332433
177,s10_vc15,s30_vc15,0.820990972
178,s10_vc15,s31_vc15,0
179,s10_vc15,s32_vc15,0
180,s10_vc15,s33_vc15,0.722062787
181,s10_vc15,s34_vc15,0
182,s10_vc15,s35_vc15,0
183,s10_vc15,s36_vc15,0
184,s10_vc15,s37_vc15,0
185,s10_vc15,s38_vc15,0
186,s10_vc15,s39_vc15,0
187,s10_vc15,s4_vc15,0.834538678
188,s10_vc15,s40_vc15,0
189,s10_vc15,s41_vc15,0
190,s10_vc15,s42_vc15,0
191,s10_vc15,s43_vc15,0
192,s10_vc15,s44_vc15,0
193,s10_vc15,s45_vc15,0
194,s10_vc15,s46_vc15,0
195,s10_vc15,s47_vc15,0.148634338
196,s10_vc15,s48_vc15,0
197,s10_vc15,s49_vc15,0
198,s10_vc15,s5_vc15,0.830117202
199,s10_vc15,s50_vc15,0
200,s10_vc15,s51_vc15,0
201,s10_vc15,s52_vc15,0
202,s10_vc15,s53_vc15,0
203,s10_vc15,s54_vc15,0.235579851
204,s10_vc15,s55_vc15,0.148634338
205,s10_vc15,s56_vc15,0
206,s10_vc15,s57_vc15,0.148634338
207,s10_vc15,s58_vc15,0.148634338
208,s10_vc15,s59_vc15,0.297268675
209,s10_vc15,s6_vc15,0.235579851
210,s10_vc15,s60_vc15,0
211,s10_vc15,s61_vc15,0
212,s10_vc15,s62_vc15,0.148634338
213,s10_vc15,s63_vc15,0
214,s10_vc15,s64_vc15,0
215,s10_vc15,s7_vc15,0
