"","Reference","Comparison","GD Value"
"1",s1_vc15,s1_vc15,0
"2",s1_vc15,s10_vc15,0.690913202322392
"3",s1_vc15,s11_vc15,0.7346696444552
"4",s1_vc15,s12_vc15,0.900316316157106
"5",s1_vc15,s13_vc15,0.866731193448043
"6",s1_vc15,s14_vc15,0.708797091909937
"7",s1_vc15,s15_vc15,0.81152235138862
"8",s1_vc15,s16_vc15,0.85713747223079
"9",s1_vc15,s17_vc15,0.900316316157106
"10",s1_vc15,s18_vc15,0.846447474370096
"11",s1_vc15,s19_vc15,0.820391859672697
"12",s1_vc15,s2_vc15,0.57537802901752
"13",s1_vc15,s20_vc15,0.900316316157106
"14",s1_vc15,s21_vc15,0.85456863123896
"15",s1_vc15,s22_vc15,0.827074659860269
"16",s1_vc15,s23_vc15,0.717549713023107
"17",s1_vc15,s24_vc15,0.848411747057771
"18",s1_vc15,s25_vc15,0.842174301686942
"19",s1_vc15,s26_vc15,0.69583096670442
"20",s1_vc15,s27_vc15,0.801987797115
"21",s1_vc15,s28_vc15,0.871541861279174
"22",s1_vc15,s29_vc15,0.517411083037333
"23",s1_vc15,s3_vc15,0.575927780934728
"24",s1_vc15,s30_vc15,0.583070748773261
"25",s1_vc15,s31_vc15,0.777505622424336
"26",s1_vc15,s32_vc15,0.803185330481796
"27",s1_vc15,s33_vc15,0.608497154039642
"28",s1_vc15,s34_vc15,0.716089315757883
"29",s1_vc15,s35_vc15,0.806275832298939
"30",s1_vc15,s36_vc15,0.80800638134599
"31",s1_vc15,s37_vc15,0.869115728815797
"32",s1_vc15,s38_vc15,0.789440819053145
"33",s1_vc15,s39_vc15,0.771890997821331
"34",s1_vc15,s4_vc15,0.513924185053766
"35",s1_vc15,s40_vc15,0.771286836511748
"36",s1_vc15,s41_vc15,0.853696404724727
"37",s1_vc15,s42_vc15,0.860779424289373
"38",s1_vc15,s43_vc15,0.889209637066518
"39",s1_vc15,s44_vc15,0.822468587495802
"40",s1_vc15,s45_vc15,0.808424088914483
"41",s1_vc15,s46_vc15,0.819316532601891
"42",s1_vc15,s47_vc15,0.870452785318011
"43",s1_vc15,s48_vc15,0.816447349295198
"44",s1_vc15,s49_vc15,0.835353653213177
"45",s1_vc15,s5_vc15,0.476760031488138
"46",s1_vc15,s50_vc15,0.847699320768139
"47",s1_vc15,s51_vc15,0.864793456155073
"48",s1_vc15,s52_vc15,0.868021193417555
"49",s1_vc15,s53_vc15,0.809193293094031
"50",s1_vc15,s54_vc15,0.742195946750956
"51",s1_vc15,s55_vc15,0.841376937812544
"52",s1_vc15,s56_vc15,0.797083260318853
"53",s1_vc15,s57_vc15,0.804757532926173
"54",s1_vc15,s58_vc15,0.707115543520153
"55",s1_vc15,s59_vc15,0.693854865543672
"56",s1_vc15,s6_vc15,0.673902065213444
"57",s1_vc15,s60_vc15,0.817766042316997
"58",s1_vc15,s61_vc15,0.739068833520282
"59",s1_vc15,s62_vc15,0.771409548595726
"60",s1_vc15,s63_vc15,0.900316316157106
"61",s1_vc15,s64_vc15,0.843291260549289
"62",s1_vc15,s7_vc15,0.846008377620041
"63",s1_vc15,s8_vc15,0.787379748412755
"64",s1_vc15,s9_vc15,0.672216406074191
"65",s1_vc15,s1_vc17,0.847419190167969
"66",s1_vc15,s10_vc17,0.806878745750767
"67",s1_vc15,s11_vc17,0.660610712398776
"68",s1_vc15,s12_vc17,0.827223565630879
"69",s1_vc15,s13_vc17,0.858003268814208
"70",s1_vc15,s14_vc17,0.839542427662343
"71",s1_vc15,s15_vc17,0.774569143696493
"72",s1_vc15,s16_vc17,0.825459808373465
"73",s1_vc15,s17_vc17,0.729537625543802
"74",s1_vc15,s18_vc17,0.494660345039002
"75",s1_vc15,s19_vc17,0.546291054939723
"76",s1_vc15,s2_vc17,0.80608615950934
"77",s1_vc15,s20_vc17,0.649794693909053
"78",s1_vc15,s21_vc17,0.644337282978544
"79",s1_vc15,s22_vc17,0.842777211623775
"80",s1_vc15,s23_vc17,0.843711727729117
"81",s1_vc15,s24_vc17,0.806000493810026
"82",s1_vc15,s25_vc17,0.773221438684821
"83",s1_vc15,s26_vc17,0.553090510419055
"84",s1_vc15,s27_vc17,0.482529965648342
"85",s1_vc15,s28_vc17,0.576259416898202
"86",s1_vc15,s29_vc17,0.477668937265417
"87",s1_vc15,s3_vc17,0.809982963977115
"88",s1_vc15,s30_vc17,0.858226553285291
"89",s1_vc15,s31_vc17,0.816232549766512
"90",s1_vc15,s32_vc17,0.845518049819445
"91",s1_vc15,s33_vc17,0.889755110312863
"92",s1_vc15,s34_vc17,0.900024457579972
"93",s1_vc15,s35_vc17,0.788674350828155
"94",s1_vc15,s36_vc17,0.869933304688257
"95",s1_vc15,s37_vc17,0.830170911909705
"96",s1_vc15,s38_vc17,0.77558582256259
"97",s1_vc15,s39_vc17,0.781846634063594
"98",s1_vc15,s4_vc17,0.80214307801264
"99",s1_vc15,s40_vc17,0.79245069838023
"100",s1_vc15,s41_vc17,0.889755110312863
"101",s1_vc15,s42_vc17,0.839542427662343
"102",s1_vc15,s43_vc17,0.856610789710722
"103",s1_vc15,s5_vc17,0.841141947160402
"104",s1_vc15,s6_vc17,0.805701074323312
"105",s1_vc15,s7_vc17,0.892920219480716
"106",s1_vc15,s8_vc17,0.853993902121786
"107",s1_vc15,s9_vc17,0.845060918038623
"108",s1_vc15,s1_vc18,0.503226598562329
"109",s1_vc15,s2_vc18,0.549453924851737
"110",s1_vc15,s3_vc18,0.551899480915687
"111",s1_vc15,s4_vc18,0.740881002566754
"112",s1_vc15,s5_vc18,0.758835531698959
"113",s1_vc15,s6_vc18,0.785102034868444
"114",s1_vc15,s7_vc18,0.865959540060803
"115",s1_vc15,s8_vc18,0.81295935177719
"116",s1_vc15,s9_vc18,0.739912452617545
"117",s1_vc15,s10_vc18,0.851444489785382
"118",s1_vc15,s11_vc18,0.900316316157106
"119",s1_vc15,s12_vc18,0.849494209663381
"120",s1_vc15,s13_vc18,0.804591289126822
"121",s1_vc15,s14_vc18,0.796214788169609
"122",s1_vc15,s15_vc18,0.601989521263487
"123",s1_vc15,s16_vc18,0.523882864110297
"124",s1_vc15,s17_vc18,0.695955022434062
"125",s1_vc15,s18_vc18,0.744967258704985
"126",s1_vc15,s19_vc18,0.82221670002138
"127",s1_vc15,s20_vc18,0.81525199716791
"128",s1_vc15,s21_vc18,0.774942067541466
"129",s1_vc15,s22_vc18,0.663495074479826
"130",s1_vc15,s23_vc18,0.825605082736362
"131",s1_vc15,s24_vc18,0.821968681425615
"132",s1_vc15,s25_vc18,0.774435599214632
"133",s1_vc15,s26_vc18,0.711516412578664
"134",s1_vc15,s27_vc18,0.845882254999184
"135",s1_vc15,s28_vc18,0.852078151142914
"136",s1_vc15,s29_vc18,0.865278393759205
"137",s1_vc15,s30_vc18,0.869900911652414
"138",s1_vc15,s31_vc18,0.805308930579562
"139",s1_vc15,s32_vc18,0.752223887564184
"140",s1_vc15,s33_vc18,0.754200703513204
"141",s1_vc15,s34_vc18,0.750868935700097
"142",s1_vc15,s35_vc18,0.784338422079537
"143",s1_vc15,s36_vc18,0.779710631420951
"144",s1_vc15,s37_vc18,0.839501466579713
"145",s1_vc15,s38_vc18,0.775079680563543
"146",s1_vc15,s39_vc18,0.753736199282793
"147",s1_vc15,s40_vc18,0.699750958880816
"148",s1_vc15,s41_vc18,0.769293931335837
"149",s1_vc15,s42_vc18,0.733366232578032
"150",s1_vc15,s43_vc18,0.871541861279174
"151",s1_vc15,s44_vc18,0.860444806258422
"152",s1_vc15,s45_vc18,0.879435909377332
"153",s1_vc15,s46_vc18,0.505327272298761
"154",s10_vc15,s1_vc15,0.690913202322392
"155",s10_vc15,s10_vc15,0
"156",s10_vc15,s11_vc15,0.768057374223621
"157",s10_vc15,s12_vc15,0.834469126590715
"158",s10_vc15,s13_vc15,0.894843962763413
"159",s10_vc15,s14_vc15,0.753592108024236
"160",s10_vc15,s15_vc15,0.703030525423572
"161",s10_vc15,s16_vc15,0.896507206991459
"162",s10_vc15,s17_vc15,0.817248169248301
"163",s10_vc15,s18_vc15,0.900316316157106
"164",s10_vc15,s19_vc15,0.7875288021179
"165",s10_vc15,s2_vc15,0.442321746223637
"166",s10_vc15,s20_vc15,0.86552330668104
"167",s10_vc15,s21_vc15,0.86622971389876
"168",s10_vc15,s22_vc15,0.847707661867947
"169",s10_vc15,s23_vc15,0.810859458252558
"170",s10_vc15,s24_vc15,0.768403660891632
"171",s10_vc15,s25_vc15,0.803814497664303
