,Reference,Comparison,FRD Value
1,vc1_iv1,vc1_iv1,1
2,vc1_iv1,vc2_iv1,0.654178852
3,vc1_iv1,vc3_iv1,0.813111705
4,vc1_iv1,vc4_iv1,0.98951642
5,vc1_iv1,vc5_iv1,0.927701955
6,vc1_iv1,vc6_iv1,0.985175449
7,vc1_iv1,vc7_iv1,0.751297239
8,vc1_iv1,vc8_iv1,0.912877404
9,vc1_iv1,vc9_iv1,0.98951642
10,vc1_iv1,vc10_iv1,0
11,vc1_iv1,vc11_iv1,0.836238387
12,vc1_iv1,vc12_iv1,0
13,vc1_iv1,vc13_iv1,0
14,vc1_iv1,vc14_iv1,0
15,vc1_iv1,vc15_iv1,0.959593074
16,vc1_iv1,vc16_iv1,0.868733501
17,vc1_iv1,vc17_iv1,0.962048767
18,vc1_iv1,vc18_iv1,0
19,vc1_iv1,vc19_iv1,0.936129339
20,vc1_iv1,vc20_iv1,0.964476711
21,vc1_iv1,vc21_iv1,0.978494991
22,vc1_iv1,vc22_iv1,0.909785685
23,vc1_iv1,vc23_iv1,0.857116036
24,vc1_iv1,vc24_iv1,0
25,vc1_iv1,vc25_iv1,0
26,vc1_iv1,vc26_iv1,0.949479642
27,vc1_iv1,vc27_iv1,0.857116036
28,vc1_iv1,vc28_iv1,0.909785685
29,vc1_iv1,vc29_iv1,0
30,vc1_iv1,vc30_iv1,0.915925267
31,vc1_iv1,vc31_iv1,0.900234301
32,vc1_iv1,vc32_iv1,0
33,vc1_iv1,vc33_iv1,0.918930502
34,vc1_iv1,vc36_iv1,0.148937062
35,vc1_iv1,vc37_iv1,0
36,vc1_iv1,vc38_iv1,0
37,vc1_iv1,vc39_iv1,0
38,vc1_iv1,vc40_iv1,0
39,vc1_iv1,vc41_iv1,0
40,vc1_iv1,vc42_iv1,0.236059658
41,vc1_iv1,vc43_iv1,0
42,vc1_iv1,vc44_iv1,0
43,vc1_iv1,vc45_iv1,0
44,vc1_iv1,vc46_iv1,0
45,vc1_iv1,vc47_iv1,0.236059658
46,vc1_iv1,vc48_iv1,0
47,vc1_iv1,vc49_iv1,0.148937062
48,vc1_iv1,vc50_iv1,0.297874124
49,vc1_iv1,vc51_iv1,0
50,vc1_iv1,vc52_iv1,0.148937062
51,vc1_iv1,vc53_iv1,0
52,vc1_iv1,vc54_iv1,0
53,vc1_iv1,vc55_iv1,0
54,vc1_iv1,vc56_iv1,0
55,vc1_iv1,vc57_iv1,0
56,vc1_iv1,vc58_iv1,0.900234301
57,vc1_iv1,vc59_iv1,0.236059658
58,vc1_iv1,vc60_iv1,0.757711768
59,vc1_iv1,vc61_iv1,0
60,vc1_iv1,vc62_iv1,0.643695272
61,vc1_iv1,vc63_iv1,0.682870844
62,vc1_iv1,vc64_iv1,0
63,vc1_iv1,vc65_iv1,0.632673843
64,vc1_iv1,vc66_iv1,0.957108991
65,vc1_iv1,vc67_iv1,0.982971627
66,vc1_iv1,s35_vc5,0
67,vc1_iv1,s36_vc5,0
68,vc1_iv1,s37_vc5,0
69,vc1_iv1,s38_vc5,0
70,vc1_iv1,s39_vc5,0
71,vc1_iv1,s40_vc5,0
72,vc1_iv1,s41_vc5,0
73,vc1_iv1,s42_vc5,0
74,vc1_iv1,s43_vc5,0
75,vc1_iv1,s44_vc5,0
76,vc1_iv1,s45_vc5,0.148937062
77,vc1_iv1,s46_vc5,0.632673843
78,vc1_iv1,s47_vc5,0.581880806
79,vc1_iv1,s48_vc5,0.936129339
80,vc1_iv1,s49_vc5,0.912877404
81,vc1_iv1,s50_vc5,0
82,vc1_iv1,s51_vc5,0
83,vc1_iv1,s52_vc5,0
84,vc1_iv1,s53_vc5,0
85,vc1_iv1,s54_vc5,0
86,vc1_iv1,s55_vc5,0
87,vc1_iv1,s56_vc5,0
88,vc1_iv1,s57_vc5,0
89,vc1_iv1,s58_vc5,0.797938054
90,vc1_iv1,s59_vc5,0
91,vc1_iv1,s60_vc5,0
