"","Reference","Comparison","GD Value"
"1",vc1_iv1,vc1_iv1,9.48637384723993e-09
"2",vc1_iv1,vc2_iv1,0.699547689139272
"3",vc1_iv1,vc3_iv1,0.794741701353819
"4",vc1_iv1,vc4_iv1,0.711481160841656
"5",vc1_iv1,vc5_iv1,0.778379230872691
"6",vc1_iv1,vc6_iv1,0.730209524126249
"7",vc1_iv1,vc7_iv1,0.834230481735979
"8",vc1_iv1,vc8_iv1,0.804926958335318
"9",vc1_iv1,vc9_iv1,0.704215028152479
"10",vc1_iv1,vc10_iv1,0.818103071134192
"11",vc1_iv1,vc11_iv1,0.816009971081853
"12",vc1_iv1,vc12_iv1,0.846098590092381
"13",vc1_iv1,vc13_iv1,0.855914872844694
"14",vc1_iv1,vc14_iv1,0.804665680011222
"15",vc1_iv1,vc15_iv1,0.758908018378066
"16",vc1_iv1,vc16_iv1,0.788921565974533
"17",vc1_iv1,vc17_iv1,0.750933851468874
"18",vc1_iv1,vc18_iv1,0.865958402090538
"19",vc1_iv1,vc19_iv1,0.795782461836017
"20",vc1_iv1,vc20_iv1,0.760638286495229
"21",vc1_iv1,vc21_iv1,0.735209264552157
"22",vc1_iv1,vc22_iv1,0.781360407763434
"23",vc1_iv1,vc23_iv1,0.852779710159815
"24",vc1_iv1,vc24_iv1,0.879358035222996
"25",vc1_iv1,vc25_iv1,0.846075800303019
"26",vc1_iv1,vc26_iv1,0.763324076725354
"27",vc1_iv1,vc27_iv1,0.790769980158165
"28",vc1_iv1,vc28_iv1,0.76106412888375
"29",vc1_iv1,vc29_iv1,0.831250415165181
"30",vc1_iv1,vc30_iv1,0.81197329291069
"31",vc1_iv1,vc31_iv1,0.767642335814188
"32",vc1_iv1,vc32_iv1,0.821617752296828
"33",vc1_iv1,vc33_iv1,0.783099970651759
"34",vc1_iv1,vc36_iv1,0.797959068165595
"35",vc1_iv1,vc37_iv1,0.833110564354754
"36",vc1_iv1,vc38_iv1,0.805673450099233
"37",vc1_iv1,vc39_iv1,0.857909391427895
"38",vc1_iv1,vc40_iv1,0.900316316157106
"39",vc1_iv1,vc41_iv1,0.861995806572045
"40",vc1_iv1,vc42_iv1,0.774740630802991
"41",vc1_iv1,vc43_iv1,0.83307770727914
"42",vc1_iv1,vc44_iv1,0.883849864399661
"43",vc1_iv1,vc45_iv1,0.870374089372504
"44",vc1_iv1,vc46_iv1,0.869017530034131
"45",vc1_iv1,vc47_iv1,0.783507839843702
"46",vc1_iv1,vc48_iv1,0.878860027859295
"47",vc1_iv1,vc49_iv1,0.790042409803017
"48",vc1_iv1,vc50_iv1,0.783687302741653
"49",vc1_iv1,vc51_iv1,0.811107779499143
"50",vc1_iv1,vc52_iv1,0.789716470120088
"51",vc1_iv1,vc53_iv1,0.814632149644127
"52",vc1_iv1,vc54_iv1,0.872175549423987
"53",vc1_iv1,vc55_iv1,0.806600237816408
"54",vc1_iv1,vc56_iv1,0.868224090974716
"55",vc1_iv1,vc57_iv1,0.882798412967337
"56",vc1_iv1,vc58_iv1,0.758337774185198
"57",vc1_iv1,vc59_iv1,0.803639319487092
"58",vc1_iv1,vc60_iv1,0.777846394072659
"59",vc1_iv1,vc61_iv1,0.874780389766346
"60",vc1_iv1,vc62_iv1,0.843886184721669
