,Reference,Comparison,FRD Value
1,s58_vc09,s58_vc09,1
2,s58_vc09,s59_vc09,0.871758125
3,s58_vc09,s60_vc09,0.865103169
4,s58_vc09,s1_vc10,0
5,s58_vc09,s10_vc10,0
6,s58_vc09,s11_vc10,0
7,s58_vc09,s12_vc10,0
8,s58_vc09,s13_vc10,0
9,s58_vc09,s14_vc10,0
10,s58_vc09,s15_vc10,0
11,s58_vc09,s16_vc10,0
12,s58_vc09,s17_vc10,0
13,s58_vc09,s18_vc10,0
14,s58_vc09,s19_vc10,0
15,s58_vc09,s2_vc10,0
16,s58_vc09,s3_vc10,0
17,s58_vc09,s4_vc10,0
18,s58_vc09,s5_vc10,0
19,s58_vc09,s6_vc10,0
20,s58_vc09,s7_vc10,0
21,s58_vc09,s8_vc10,0
22,s58_vc09,s9_vc10,0
23,s58_vc09,s63_vc11,0.981438011
24,s58_vc09,s64_vc11,0.977519887
25,s58_vc09,s46_vc16,0
26,s58_vc09,s47_vc16,0
27,s58_vc09,s48_vc16,0
28,s58_vc09,s49_vc16,0
29,s58_vc09,s50_vc16,0
30,s58_vc09,s51_vc16,0
31,s58_vc09,s52_vc16,0
32,s58_vc09,s53_vc16,0
33,s58_vc09,s54_vc16,0
34,s58_vc09,s55_vc16,0
35,s58_vc09,s56_vc16,0
36,s58_vc09,s57_vc16,0
37,s58_vc09,s58_vc16,0
38,s58_vc09,s59_vc16,0
39,s58_vc09,s60_vc16,0
40,s58_vc09,s61_vc16,0
41,s58_vc09,s62_vc16,0
42,s58_vc09,s63_vc16,0
43,s58_vc09,s64_vc16,0
44,s58_vc09,s43_vc17,0
45,s58_vc09,s44_vc17,0
46,s58_vc09,s45_vc17,0
47,s58_vc09,s46_vc17,0
48,s58_vc09,s47_vc17,0
49,s58_vc09,s48_vc17,0
50,s58_vc09,s49_vc17,0
51,s58_vc09,s50_vc17,0
52,s58_vc09,s51_vc17,0
53,s58_vc09,s52_vc17,0
54,s58_vc09,s53_vc17,0
55,s58_vc09,s54_vc17,0
56,s58_vc09,s55_vc17,0
57,s58_vc09,s56_vc17,0
58,s58_vc09,s57_vc17,0
59,s58_vc09,s58_vc17,0
60,s58_vc09,s59_vc17,0
61,s58_vc09,s60_vc17,0
62,s59_vc09,s58_vc09,0.851741101
63,s59_vc09,s59_vc09,1
64,s59_vc09,s60_vc09,0.878687997
65,s59_vc09,s1_vc10,0
66,s59_vc09,s10_vc10,0
67,s59_vc09,s11_vc10,0
68,s59_vc09,s12_vc10,0
69,s59_vc09,s13_vc10,0
70,s59_vc09,s14_vc10,0
71,s59_vc09,s15_vc10,0
72,s59_vc09,s16_vc10,0
73,s59_vc09,s17_vc10,0
74,s59_vc09,s18_vc10,0
75,s59_vc09,s19_vc10,0
76,s59_vc09,s2_vc10,0.224996284
77,s59_vc09,s3_vc10,0
78,s59_vc09,s4_vc10,0
79,s59_vc09,s5_vc10,0
80,s59_vc09,s6_vc10,0
81,s59_vc09,s7_vc10,0
82,s59_vc09,s8_vc10,0
83,s59_vc09,s9_vc10,0
84,s59_vc09,s63_vc11,0.978766612
85,s59_vc09,s64_vc11,0.977038328
86,s59_vc09,s46_vc16,0
87,s59_vc09,s47_vc16,0
88,s59_vc09,s48_vc16,0
89,s59_vc09,s49_vc16,0
90,s59_vc09,s50_vc16,0
91,s59_vc09,s51_vc16,0
92,s59_vc09,s52_vc16,0
93,s59_vc09,s53_vc16,0
94,s59_vc09,s54_vc16,0
95,s59_vc09,s55_vc16,0
96,s59_vc09,s56_vc16,0
97,s59_vc09,s57_vc16,0
98,s59_vc09,s58_vc16,0
99,s59_vc09,s59_vc16,0
100,s59_vc09,s60_vc16,0
101,s59_vc09,s61_vc16,0
102,s59_vc09,s62_vc16,0
103,s59_vc09,s63_vc16,0
104,s59_vc09,s64_vc16,0
105,s59_vc09,s43_vc17,0
106,s59_vc09,s44_vc17,0
107,s59_vc09,s45_vc17,0
108,s59_vc09,s46_vc17,0
109,s59_vc09,s47_vc17,0
110,s59_vc09,s48_vc17,0
111,s59_vc09,s49_vc17,0
112,s59_vc09,s50_vc17,0
113,s59_vc09,s51_vc17,0
114,s59_vc09,s52_vc17,0
115,s59_vc09,s53_vc17,0
116,s59_vc09,s54_vc17,0
117,s59_vc09,s55_vc17,0
118,s59_vc09,s56_vc17,0
119,s59_vc09,s57_vc17,0
120,s59_vc09,s58_vc17,0
121,s59_vc09,s59_vc17,0
122,s59_vc09,s60_vc17,0
123,s60_vc09,s58_vc09,0.847890123
124,s60_vc09,s59_vc09,0.881444083
125,s60_vc09,s60_vc09,1
126,s60_vc09,s1_vc10,0.284804222
127,s60_vc09,s10_vc10,0
128,s60_vc09,s11_vc10,0
