"","Reference","Comparison","GD Value"
"1",s58_vc09,s58_vc09,0
"2",s58_vc09,s59_vc09,0.511409678845797
"3",s58_vc09,s60_vc09,0.521375772714925
"4",s58_vc09,s1_vc10,0.826489980148265
"5",s58_vc09,s10_vc10,0.858990099999482
"6",s58_vc09,s11_vc10,0.858990099999482
"7",s58_vc09,s12_vc10,0.858990099999482
"8",s58_vc09,s13_vc10,0.858990099999482
"9",s58_vc09,s14_vc10,0.858990099999482
"10",s58_vc09,s15_vc10,0.858990099999482
"11",s58_vc09,s16_vc10,0.858990099999482
"12",s58_vc09,s17_vc10,0.858990099999482
"13",s58_vc09,s18_vc10,0.858990099999482
"14",s58_vc09,s19_vc10,0.858990099999482
"15",s58_vc09,s2_vc10,0.842670789551753
"16",s58_vc09,s3_vc10,0.823464497031106
"17",s58_vc09,s4_vc10,0.873646918019188
"18",s58_vc09,s5_vc10,0.865468346065664
"19",s58_vc09,s6_vc10,0.858990099999482
"20",s58_vc09,s7_vc10,0.858990099999482
"21",s58_vc09,s8_vc10,0.858990099999482
"22",s58_vc09,s9_vc10,0.858990099999482
"23",s58_vc09,s63_vc11,0.407738065116138
"24",s58_vc09,s64_vc11,0.407185554604696
"25",s58_vc09,s46_vc16,0.900316316157106
"26",s58_vc09,s47_vc16,0.900316316157106
"27",s58_vc09,s48_vc16,0.900316316157106
"28",s58_vc09,s49_vc16,0.900316316157106
"29",s58_vc09,s50_vc16,0.900316316157106
"30",s58_vc09,s51_vc16,0.900316316157106
"31",s58_vc09,s52_vc16,0.900316316157106
"32",s58_vc09,s53_vc16,0.900316316157106
"33",s58_vc09,s54_vc16,0.900316316157106
"34",s58_vc09,s55_vc16,0.900316316157106
"35",s58_vc09,s56_vc16,0.900316316157106
"36",s58_vc09,s57_vc16,0.900316316157106
"37",s58_vc09,s58_vc16,0.900316316157106
"38",s58_vc09,s59_vc16,0.900316316157106
"39",s58_vc09,s60_vc16,0.900316316157106
"40",s58_vc09,s61_vc16,0.887234905964941
"41",s58_vc09,s62_vc16,0.900316316157106
"42",s58_vc09,s63_vc16,0.866266314029381
"43",s58_vc09,s64_vc16,0.891274957005169
"44",s58_vc09,s43_vc17,0.846300744202748
"45",s58_vc09,s44_vc17,0.854551113754881
"46",s58_vc09,s45_vc17,0.844149178918398
"47",s58_vc09,s46_vc17,0.854551113754881
"48",s58_vc09,s47_vc17,0.854551113754881
"49",s58_vc09,s48_vc17,0.854551113754881
"50",s58_vc09,s49_vc17,0.855157417741328
"51",s58_vc09,s50_vc17,0.849672823698751
"52",s58_vc09,s51_vc17,0.848022998914057
"53",s58_vc09,s52_vc17,0.854551113754881
"54",s58_vc09,s53_vc17,0.855618036041946
