,Reference,Comparison,FRD Value
1,s1_vc07,s1_vc07,1
2,s1_vc07,s2_vc07,0
3,s1_vc07,s3_vc07,0
4,s1_vc07,s4_vc07,0
5,s1_vc07,s5_vc07,1
6,s1_vc07,s6_vc07,0
7,s1_vc07,s7_vc07,0
8,s1_vc07,s8_vc07,1
9,s1_vc07,s9_vc07,0
10,s1_vc07,s10_vc07,1
11,s1_vc07,s11_vc07,0
12,s1_vc07,s12_vc07,0
13,s1_vc07,s13_vc07,1
14,s1_vc07,s14_vc07,0
15,s1_vc07,s15_vc07,1
16,s1_vc07,s16_vc07,0
17,s1_vc07,s17_vc07,0
18,s1_vc07,s18_vc07,0
19,s1_vc07,s19_vc07,0
20,s1_vc07,s20_vc07,0
21,s1_vc07,s21_vc07,0
22,s1_vc07,s22_vc07,0
23,s1_vc07,s23_vc07,0
24,s1_vc07,s24_vc07,0
25,s1_vc07,s25_vc07,0
26,s1_vc07,s26_vc07,0
27,s1_vc07,s27_vc07,0
28,s1_vc07,s28_vc07,0
29,s1_vc07,s29_vc07,0
30,s1_vc07,s30_vc07,0
31,s1_vc07,s31_vc07,0
32,s1_vc07,s32_vc07,0
33,s1_vc07,s33_vc07,0
34,s1_vc07,s34_vc07,0
35,s1_vc07,s35_vc07,0
36,s1_vc07,s36_vc07,0
37,s1_vc07,s37_vc07,0
38,s1_vc07,s38_vc07,0
39,s1_vc07,s39_vc07,0
40,s1_vc07,s40_vc07,0
41,s1_vc07,s41_vc07,0
42,s1_vc07,s42_vc07,0
43,s1_vc07,s43_vc07,0
44,s1_vc07,s44_vc07,0
45,s1_vc07,s45_vc07,0
46,s1_vc07,s56_vc09,0
47,s1_vc07,s57_vc09,0
48,s1_vc07,s58_vc09,0
49,s1_vc07,s59_vc09,0
50,s1_vc07,s60_vc09,0
51,s1_vc07,s20_vc10,0
52,s1_vc07,s21_vc10,0
53,s1_vc07,s22_vc10,0
54,s1_vc07,s23_vc10,0
55,s1_vc07,s24_vc10,0
56,s1_vc07,s25_vc10,0
57,s1_vc07,s26_vc10,0
58,s1_vc07,s27_vc10,0
59,s1_vc07,s28_vc10,0
60,s1_vc07,s29_vc10,0
61,s1_vc07,s30_vc10,0
62,s1_vc07,s31_vc10,0
63,s1_vc07,s32_vc10,0
64,s1_vc07,s33_vc10,0
65,s1_vc07,s34_vc10,0
66,s1_vc07,s35_vc10,0
67,s1_vc07,s36_vc10,0
68,s1_vc07,s37_vc10,0
69,s1_vc07,s38_vc10,0
70,s1_vc07,s39_vc10,0
71,s1_vc07,s40_vc10,0
72,s1_vc07,s41_vc10,0
73,s1_vc07,s42_vc10,0
74,s1_vc07,s43_vc10,0
75,s1_vc07,s44_vc10,0
76,s1_vc07,s45_vc10,0
77,s1_vc07,s46_vc10,0
78,s1_vc07,s47_vc10,0
79,s1_vc07,s48_vc10,0
80,s1_vc07,s49_vc10,0
81,s1_vc07,s50_vc10,0
82,s1_vc07,s51_vc10,0
83,s1_vc07,s52_vc10,0
84,s1_vc07,s53_vc10,0
85,s1_vc07,s54_vc10,0
86,s1_vc07,s55_vc10,0
87,s1_vc07,s56_vc10,0
88,s1_vc07,s57_vc10,0
89,s1_vc07,s58_vc10,0
90,s1_vc07,s59_vc10,0
91,s1_vc07,s60_vc10,0
92,s1_vc07,s61_vc10,0
93,s1_vc07,s62_vc10,0
94,s1_vc07,s63_vc10,0
95,s1_vc07,s64_vc10,0
96,s1_vc07,s22_vc11,0
97,s1_vc07,s23_vc11,0
98,s1_vc07,s24_vc11,0
99,s1_vc07,s25_vc11,0
100,s1_vc07,s26_vc11,0
101,s1_vc07,s27_vc11,0
102,s1_vc07,s28_vc11,0
103,s1_vc07,s29_vc11,0
104,s1_vc07,s30_vc11,0
105,s1_vc07,s31_vc11,0
106,s1_vc07,s32_vc11,0
107,s1_vc07,s33_vc11,0
108,s1_vc07,s34_vc11,0
109,s1_vc07,s35_vc11,0
110,s1_vc07,s36_vc11,0
111,s1_vc07,s37_vc11,0
112,s1_vc07,s38_vc11,0
113,s1_vc07,s39_vc11,0
114,s1_vc07,s40_vc11,0
115,s1_vc07,s41_vc11,0
116,s1_vc07,s42_vc11,0
117,s1_vc07,s43_vc11,0
118,s1_vc07,s44_vc11,0
119,s1_vc07,s45_vc11,0
120,s1_vc07,s46_vc11,0
121,s1_vc07,s47_vc11,0
122,s1_vc07,s48_vc11,0
123,s1_vc07,s49_vc11,0
124,s1_vc07,s50_vc11,0
125,s1_vc07,s51_vc11,0
126,s1_vc07,s52_vc11,0
127,s1_vc07,s53_vc11,0
128,s1_vc07,s54_vc11,0
129,s1_vc07,s55_vc11,0
130,s1_vc07,s56_vc11,0
131,s1_vc07,s57_vc11,0
132,s1_vc07,s58_vc11,0
133,s1_vc07,s59_vc11,0
134,s1_vc07,s60_vc11,0
135,s1_vc07,s61_vc11,0
136,s1_vc07,s62_vc11,0
137,s2_vc07,s1_vc07,0
138,s2_vc07,s2_vc07,1
139,s2_vc07,s3_vc07,0
140,s2_vc07,s4_vc07,0
141,s2_vc07,s5_vc07,0
142,s2_vc07,s6_vc07,1
143,s2_vc07,s7_vc07,0
144,s2_vc07,s8_vc07,0
145,s2_vc07,s9_vc07,0
146,s2_vc07,s10_vc07,0
147,s2_vc07,s11_vc07,0
148,s2_vc07,s12_vc07,0
149,s2_vc07,s13_vc07,0
150,s2_vc07,s14_vc07,0
151,s2_vc07,s15_vc07,0
152,s2_vc07,s16_vc07,0
153,s2_vc07,s17_vc07,0
154,s2_vc07,s18_vc07,0
155,s2_vc07,s19_vc07,0
156,s2_vc07,s20_vc07,0
157,s2_vc07,s21_vc07,0
158,s2_vc07,s22_vc07,0
159,s2_vc07,s23_vc07,0
160,s2_vc07,s24_vc07,0
161,s2_vc07,s25_vc07,0
162,s2_vc07,s26_vc07,0
163,s2_vc07,s27_vc07,0
164,s2_vc07,s28_vc07,0
165,s2_vc07,s29_vc07,0
166,s2_vc07,s30_vc07,0
167,s2_vc07,s31_vc07,0
168,s2_vc07,s32_vc07,0
169,s2_vc07,s33_vc07,0
170,s2_vc07,s34_vc07,0
171,s2_vc07,s35_vc07,0
172,s2_vc07,s36_vc07,0
173,s2_vc07,s37_vc07,0
174,s2_vc07,s38_vc07,0
175,s2_vc07,s39_vc07,0
176,s2_vc07,s40_vc07,0
177,s2_vc07,s41_vc07,0
178,s2_vc07,s42_vc07,0
179,s2_vc07,s43_vc07,0
180,s2_vc07,s44_vc07,0
181,s2_vc07,s45_vc07,0
182,s2_vc07,s56_vc09,0
183,s2_vc07,s57_vc09,0
184,s2_vc07,s58_vc09,0
185,s2_vc07,s59_vc09,0
186,s2_vc07,s60_vc09,0
187,s2_vc07,s20_vc10,0
188,s2_vc07,s21_vc10,0
189,s2_vc07,s22_vc10,1
190,s2_vc07,s23_vc10,0
191,s2_vc07,s24_vc10,0
192,s2_vc07,s25_vc10,0
193,s2_vc07,s26_vc10,0
194,s2_vc07,s27_vc10,0
195,s2_vc07,s28_vc10,0
196,s2_vc07,s29_vc10,0
197,s2_vc07,s30_vc10,0
198,s2_vc07,s31_vc10,1
199,s2_vc07,s32_vc10,0
200,s2_vc07,s33_vc10,0
201,s2_vc07,s34_vc10,0
202,s2_vc07,s35_vc10,0
203,s2_vc07,s36_vc10,1
204,s2_vc07,s37_vc10,0
205,s2_vc07,s38_vc10,0
206,s2_vc07,s39_vc10,0
207,s2_vc07,s40_vc10,0
208,s2_vc07,s41_vc10,0
209,s2_vc07,s42_vc10,0
210,s2_vc07,s43_vc10,0
211,s2_vc07,s44_vc10,0
212,s2_vc07,s45_vc10,0
213,s2_vc07,s46_vc10,0
214,s2_vc07,s47_vc10,0
215,s2_vc07,s48_vc10,0
216,s2_vc07,s49_vc10,0
217,s2_vc07,s50_vc10,0
218,s2_vc07,s51_vc10,0
219,s2_vc07,s52_vc10,0
220,s2_vc07,s53_vc10,0
221,s2_vc07,s54_vc10,0
222,s2_vc07,s55_vc10,0
223,s2_vc07,s56_vc10,0
224,s2_vc07,s57_vc10,0
225,s2_vc07,s58_vc10,0
226,s2_vc07,s59_vc10,0
227,s2_vc07,s60_vc10,0
228,s2_vc07,s61_vc10,0
229,s2_vc07,s62_vc10,0
230,s2_vc07,s63_vc10,0
231,s2_vc07,s64_vc10,0
232,s2_vc07,s22_vc11,0
233,s2_vc07,s23_vc11,0
234,s2_vc07,s24_vc11,0
235,s2_vc07,s25_vc11,0
236,s2_vc07,s26_vc11,0
237,s2_vc07,s27_vc11,0
238,s2_vc07,s28_vc11,0
239,s2_vc07,s29_vc11,0
240,s2_vc07,s30_vc11,0
241,s2_vc07,s31_vc11,0
242,s2_vc07,s32_vc11,0
243,s2_vc07,s33_vc11,0
244,s2_vc07,s34_vc11,0
245,s2_vc07,s35_vc11,0
246,s2_vc07,s36_vc11,0
247,s2_vc07,s37_vc11,0
248,s2_vc07,s38_vc11,0
249,s2_vc07,s39_vc11,0
250,s2_vc07,s40_vc11,0
251,s2_vc07,s41_vc11,0
252,s2_vc07,s42_vc11,0
253,s2_vc07,s43_vc11,0
254,s2_vc07,s44_vc11,0
255,s2_vc07,s45_vc11,0
256,s2_vc07,s46_vc11,0
257,s2_vc07,s47_vc11,0
258,s2_vc07,s48_vc11,0
259,s2_vc07,s49_vc11,0
260,s2_vc07,s50_vc11,0
261,s2_vc07,s51_vc11,0
262,s2_vc07,s52_vc11,0
263,s2_vc07,s53_vc11,0
264,s2_vc07,s54_vc11,0
265,s2_vc07,s55_vc11,0
266,s2_vc07,s56_vc11,0
267,s2_vc07,s57_vc11,0
268,s2_vc07,s58_vc11,0
269,s2_vc07,s59_vc11,0
270,s2_vc07,s60_vc11,0
271,s2_vc07,s61_vc11,0
272,s2_vc07,s62_vc11,0
273,s3_vc07,s1_vc07,0
274,s3_vc07,s2_vc07,0
275,s3_vc07,s3_vc07,1
276,s3_vc07,s4_vc07,0
277,s3_vc07,s5_vc07,0
278,s3_vc07,s6_vc07,0
279,s3_vc07,s7_vc07,0.79248125
280,s3_vc07,s8_vc07,0
281,s3_vc07,s9_vc07,0.79248125
282,s3_vc07,s10_vc07,0
283,s3_vc07,s11_vc07,1
