,Reference,Comparison,FRD Value
1,vc1,vc1,1
2,vc1,vc2,1
3,vc1,vc3,0
4,vc1,vc4,0.131970887
5,vc1,vc5,0
6,vc1,vc6,0
7,vc1,vc7,0
8,vc1,vc8,0
9,vc1,vc9,0
10,vc1,vc10,0
11,vc1,vc11,0
12,vc1,vc12,0.570368682
13,vc1,vc13,0
14,vc1,vc14,0
15,vc1,vc15,0
16,vc1,vc16,0
17,vc1,vc17,0
18,vc1,vc18,0
19,vc1,vc19,0
20,vc1,vc20,0.438397796
21,vc1,vc21,0
22,vc1,vc22,0
23,vc1,vc23,0
24,vc1,vc24,0
25,vc1,vc25,0
26,vc1,vc26,0
27,vc1,vc27,0
28,vc1,vc28,0
29,vc1,vc29,0
30,vc1,vc30,0
31,vc1,vc31,0
32,vc1,vc32,0
33,vc1,vc33,0
34,vc1,vc34,0
35,vc1,vc35,0
36,vc1,vc36,0.131970887
37,vc1,vc37,0
38,vc1,vc38,0
39,vc1,vc39,0
40,vc1,vc40,0
41,vc1,vc41,0
42,vc1,vc42,0
43,vc1,vc43,0.634430891
44,vc1,vc44,0.527883546
45,vc1,vc45,0.306426909
46,vc1,vc46,0.131970887
47,vc1,vc47,0
48,vc1,vc48,0
49,vc1,vc49,0.473110679
50,vc1,vc50,0
51,vc1,vc51,0.56060276
52,vc1,vc52,0.550308699
53,vc1,vc53,0
54,vc1,vc54,0
55,vc1,vc55,0
56,vc1,vc56,0
57,vc1,s1_vc5,0
58,vc1,s2_vc5,0
59,vc1,s3_vc5,0
60,vc1,s4_vc5,0
61,vc1,s5_vc5,0.131970887
62,vc1,s6_vc5,0.370489118
63,vc1,s7_vc5,0.263941773
64,vc1,s8_vc5,0.653809679
65,vc1,s9_vc5,0
66,vc1,s10_vc5,0.550308699
67,vc1,s11_vc5,0
68,vc1,s12_vc5,0
69,vc1,s13_vc5,0
70,vc1,s14_vc5,0
71,vc1,s15_vc5,0
72,vc1,s16_vc5,0
73,vc1,s17_vc5,0
74,vc1,s18_vc5,0.341139793
75,vc1,s19_vc5,0.39591266
76,vc1,s20_vc5,0
77,vc1,s21_vc5,0
78,vc1,s22_vc5,0.659854433
79,vc1,s23_vc5,0
80,vc1,s24_vc5,0
81,vc1,s25_vc5,0
82,vc1,s26_vc5,0.39591266
83,vc1,s27_vc5,0.306426909
84,vc1,s28_vc5,0.209168906
85,vc1,s29_vc5,0.306426909
86,vc1,s30_vc5,0.438397796
87,vc1,s31_vc5,0
88,vc1,s32_vc5,0.209168906
89,vc1,s33_vc5,0.263941773
90,vc1,s34_vc5,1
91,vc2,vc1,0.993193687
92,vc2,vc2,1
93,vc2,vc3,0
94,vc2,vc4,0
95,vc2,vc5,0
96,vc2,vc6,0
97,vc2,vc7,0
98,vc2,vc8,0
99,vc2,vc9,0
100,vc2,vc10,0
101,vc2,vc11,0
102,vc2,vc12,0.566486574
103,vc2,vc13,0
104,vc2,vc14,0
105,vc2,vc15,0
106,vc2,vc16,0
107,vc2,vc17,0
108,vc2,vc18,0
109,vc2,vc19,0
110,vc2,vc20,0.415490474
111,vc2,vc21,0
112,vc2,vc22,0
113,vc2,vc23,0
114,vc2,vc24,0
115,vc2,vc25,0
116,vc2,vc26,0
117,vc2,vc27,0
118,vc2,vc28,0
119,vc2,vc29,0
120,vc2,vc30,0
121,vc2,vc31,0
122,vc2,vc32,0
123,vc2,vc33,0
124,vc2,vc34,0.131072651
125,vc2,vc35,0
126,vc2,vc36,0.207745237
