"","Reference","Comparison","GD Value"
"1",vc1,vc1,0
"2",vc1,vc2,0.0606220409881815
"3",vc1,vc3,0.843087615171625
"4",vc1,vc4,0.824583942082125
"5",vc1,vc5,0.862320822976398
"6",vc1,vc6,0.860342326675112
"7",vc1,vc7,0.877749690444403
"8",vc1,vc8,0.877749690444403
"9",vc1,vc9,0.877749690444403
"10",vc1,vc10,0.838817017689031
"11",vc1,vc11,0.838339692504658
"12",vc1,vc12,0.834028772265864
"13",vc1,vc13,0.881297329357661
"14",vc1,vc14,0.849521294935421
"15",vc1,vc15,0.852916070128973
"16",vc1,vc16,0.852916070128973
"17",vc1,vc17,0.814619884713151
"18",vc1,vc18,0.852916070128973
"19",vc1,vc19,0.867687288509188
"20",vc1,vc20,0.839477581579545
"21",vc1,vc21,0.852916070128973
"22",vc1,vc22,0.853570374653301
"23",vc1,vc23,0.80726182185451
"24",vc1,vc24,0.858864648916875
"25",vc1,vc25,0.833370778764013
"26",vc1,vc26,0.839877019382646
"27",vc1,vc27,0.856792077474274
"28",vc1,vc28,0.81965779973836
"29",vc1,vc29,0.856792077474274
"30",vc1,vc30,0.826349850759031
"31",vc1,vc31,0.842300136401417
"32",vc1,vc32,0.856792077474274
"33",vc1,vc33,0.852864891417699
"34",vc1,vc34,0.820570984305728
"35",vc1,vc35,0.820570250969095
"36",vc1,vc36,0.829844704815877
"37",vc1,vc37,0.834665542658664
"38",vc1,vc38,0.849783156765561
"39",vc1,vc39,0.849783156765561
"40",vc1,vc40,0.828085362744813
"41",vc1,vc41,0.830282668415969
"42",vc1,vc42,0.861983816771936
"43",vc1,vc43,0.806410606669159
"44",vc1,vc44,0.783209763065311
"45",vc1,vc45,0.821597719251635
"46",vc1,vc46,0.805218243514335
"47",vc1,vc47,0.84361878349507
"48",vc1,vc48,0.823906353126843
"49",vc1,vc49,0.742637553126295
"50",vc1,vc50,0.850085434122755
"51",vc1,vc51,0.789523558429013
"52",vc1,vc52,0.822739571999232
"53",vc1,vc53,0.851727021738352
"54",vc1,vc54,0.846364627168745
"55",vc1,vc55,0.851727021738352
"56",vc1,vc56,0.826499915184226
"57",vc1,s1_vc5,0.861399420021734
"58",vc1,s2_vc5,0.861399420021734
"59",vc1,s3_vc5,0.861399420021734
"60",vc1,s4_vc5,0.827470724530689
"61",vc1,s5_vc5,0.792108691658956
"62",vc1,s6_vc5,0.795181378004462
"63",vc1,s7_vc5,0.779431864230756
"64",vc1,s8_vc5,0.720947740163052
"65",vc1,s9_vc5,0.844792383699755
"66",vc1,s10_vc5,0.777149456169748
"67",vc1,s11_vc5,0.861399420021734
"68",vc1,s12_vc5,0.865859932633292
"69",vc1,s13_vc5,0.865859932633292
"70",vc1,s14_vc5,0.865859932633292
"71",vc1,s15_vc5,0.869343919217355
"72",vc1,s16_vc5,0.853085631481685
"73",vc1,s17_vc5,0.836817236317582
"74",vc1,s18_vc5,0.785836125458919
"75",vc1,s19_vc5,0.839245351798388
"76",vc1,s20_vc5,0.869343919217355
"77",vc1,s21_vc5,0.824087555506856
"78",vc1,s22_vc5,0.724204478234536
"79",vc1,s23_vc5,0.871417840139554
"80",vc1,s24_vc5,0.856606125497888
"81",vc1,s25_vc5,0.837980445712426
"82",vc1,s26_vc5,0.772290196107587
"83",vc1,s27_vc5,0.818575932926014
"84",vc1,s28_vc5,0.794464797916184
"85",vc1,s29_vc5,0.773129630137831
"86",vc1,s30_vc5,0.793690163247657
"87",vc1,s31_vc5,0.828185126158725
"88",vc1,s32_vc5,0.815065142572478
"89",vc1,s33_vc5,0.79564099681078
"90",vc1,s34_vc5,0.0728818730886413
"91",vc2,vc1,0.0606220409881815
"92",vc2,vc2,0
"93",vc2,vc3,0.837243833444279
"94",vc2,vc4,0.814840371710939
"95",vc2,vc5,0.854122941528031
"96",vc2,vc6,0.849739285875198
"97",vc2,vc7,0.880358585640399
"98",vc2,vc8,0.880358585640399
"99",vc2,vc9,0.880358585640399
"100",vc2,vc10,0.83149107044231
"101",vc2,vc11,0.839478628881452
"102",vc2,vc12,0.828544501554462
"103",vc2,vc13,0.878225755593519
"104",vc2,vc14,0.843475258254068
"105",vc2,vc15,0.847511913638363
"106",vc2,vc16,0.847511913638363
"107",vc2,vc17,0.812025296716968
"108",vc2,vc18,0.847511913638363
"109",vc2,vc19,0.870019583746308
"110",vc2,vc20,0.839589387873038
"111",vc2,vc21,0.847511913638363
"112",vc2,vc22,0.854371517254703
"113",vc2,vc23,0.805504032904368
"114",vc2,vc24,0.854378976197631
"115",vc2,vc25,0.836055279023064
"116",vc2,vc26,0.83674339386384
"117",vc2,vc27,0.858248649532681
"118",vc2,vc28,0.819359260759247
"119",vc2,vc29,0.858248649532681
"120",vc2,vc30,0.826575805091696
"121",vc2,vc31,0.843647830866444
"122",vc2,vc32,0.858248649532681
"123",vc2,vc33,0.853867470203143
"124",vc2,vc34,0.820639838360957
"125",vc2,vc35,0.820659826514487
"126",vc2,vc36,0.828592977007736
"127",vc2,vc37,0.832576256822087
"128",vc2,vc38,0.849288287348093
"129",vc2,vc39,0.849288287348093
"130",vc2,vc40,0.828260118470619
"131",vc2,vc41,0.824981689109068
"132",vc2,vc42,0.856076132219258
"133",vc2,vc43,0.808693420478279
"134",vc2,vc44,0.779854332379156
"135",vc2,vc45,0.821906572058916
"136",vc2,vc46,0.805265583437787
"137",vc2,vc47,0.845488844565558
"138",vc2,vc48,0.824831003964615
"139",vc2,vc49,0.744818409834633
"140",vc2,vc50,0.844848086394971
"141",vc2,vc51,0.794451026635829
"142",vc2,vc52,0.82329294416158
"143",vc2,vc53,0.854891294334837
"144",vc2,vc54,0.848744731392613
"145",vc2,vc55,0.854891294334837
"146",vc2,vc56,0.826584432747524
"147",vc2,s1_vc5,0.859651746348589
"148",vc2,s2_vc5,0.859651746348589
"149",vc2,s3_vc5,0.859651746348589
"150",vc2,s4_vc5,0.828100869300091
"151",vc2,s5_vc5,0.792431897426776
"152",vc2,s6_vc5,0.79483173958493
"153",vc2,s7_vc5,0.777425921745927
"154",vc2,s8_vc5,0.7254697778639
"155",vc2,s9_vc5,0.847813639325607
"156",vc2,s10_vc5,0.774776789991556
"157",vc2,s11_vc5,0.859651746348589
"158",vc2,s12_vc5,0.868121138767132
"159",vc2,s13_vc5,0.868121138767132
"160",vc2,s14_vc5,0.868121138767132
"161",vc2,s15_vc5,0.86762785556142
"162",vc2,s16_vc5,0.85308037998473
"163",vc2,s17_vc5,0.835507032587911
"164",vc2,s18_vc5,0.781920990880102
"165",vc2,s19_vc5,0.837651220637895
"166",vc2,s20_vc5,0.86762785556142
"167",vc2,s21_vc5,0.823077681807994
"168",vc2,s22_vc5,0.721485216772145
"169",vc2,s23_vc5,0.873873843051255
"170",vc2,s24_vc5,0.859295683956738
"171",vc2,s25_vc5,0.840767767491694
"172",vc2,s26_vc5,0.772439884070192
"173",vc2,s27_vc5,0.819729470890771
"174",vc2,s28_vc5,0.78929801482221
"175",vc2,s29_vc5,0.773537795648352
"176",vc2,s30_vc5,0.788901218253642
"177",vc2,s31_vc5,0.822272334993732
"178",vc2,s32_vc5,0.817540532670314
"179",vc2,s33_vc5,0.79591815527852
"180",vc2,s34_vc5,0.0706459041902744
"181",vc3,vc1,0.843087615171625
"182",vc3,vc2,0.837243833444279
"183",vc3,vc3,0
"184",vc3,vc4,0.507488562027791
"185",vc3,vc5,0.37766156136063
"186",vc3,vc6,0.494452479028497
"187",vc3,vc7,0.648864280555077
"188",vc3,vc8,0.648864280555077
"189",vc3,vc9,0.648864280555077
"190",vc3,vc10,0.614077156312067
"191",vc3,vc11,0.900316316157106
"192",vc3,vc12,0.449726859606618
"193",vc3,vc13,0.708307578440821
"194",vc3,vc14,0.8571146057144
"195",vc3,vc15,0.900316316157106
"196",vc3,vc16,0.900316316157106
"197",vc3,vc17,0.900316316157106
"198",vc3,vc18,0.900316316157106
"199",vc3,vc19,0.900316316157106
"200",vc3,vc20,0.894371307674229
"201",vc3,vc21,0.900316316157106
"202",vc3,vc22,0.900316316157106
"203",vc3,vc23,0.900316316157106
"204",vc3,vc24,0.900316316157106
"205",vc3,vc25,0.900316316157106
"206",vc3,vc26,0.900316316157106
"207",vc3,vc27,0.900316316157106
"208",vc3,vc28,0.900316316157106
"209",vc3,vc29,0.900316316157106
"210",vc3,vc30,0.900316316157106
"211",vc3,vc31,0.900316316157106
"212",vc3,vc32,0.900316316157106
"213",vc3,vc33,0.900316316157106
"214",vc3,vc34,0.900316316157106
"215",vc3,vc35,0.900316316157106
"216",vc3,vc36,0.894644461535201
"217",vc3,vc37,0.900316316157106
"218",vc3,vc38,0.900316316157106
"219",vc3,vc39,0.900316316157106
"220",vc3,vc40,0.900316316157106
"221",vc3,vc41,0.900316316157106
"222",vc3,vc42,0.900316316157106
"223",vc3,vc43,0.892999502163764
"224",vc3,vc44,0.88523896182905
"225",vc3,vc45,0.883022401005628
"226",vc3,vc46,0.900316316157106
"227",vc3,vc47,0.900316316157106
"228",vc3,vc48,0.889902099252068
"229",vc3,vc49,0.900316316157106
"230",vc3,vc50,0.900316316157106
"231",vc3,vc51,0.900316316157106
"232",vc3,vc52,0.888838561715109
"233",vc3,vc53,0.900316316157106
"234",vc3,vc54,0.900316316157106
"235",vc3,vc55,0.900316316157106
"236",vc3,vc56,0.900316316157106
"237",vc3,s1_vc5,0.900316316157106
"238",vc3,s2_vc5,0.900316316157106
"239",vc3,s3_vc5,0.900316316157106
"240",vc3,s4_vc5,0.900316316157106
"241",vc3,s5_vc5,0.900316316157106
"242",vc3,s6_vc5,0.900316316157106
"243",vc3,s7_vc5,0.900316316157106
"244",vc3,s8_vc5,0.900316316157106
"245",vc3,s9_vc5,0.900316316157106
"246",vc3,s10_vc5,0.900316316157106
"247",vc3,s11_vc5,0.900316316157106
"248",vc3,s12_vc5,0.900316316157106
"249",vc3,s13_vc5,0.900316316157106
"250",vc3,s14_vc5,0.900316316157106
"251",vc3,s15_vc5,0.900316316157106
"252",vc3,s16_vc5,0.900316316157106
"253",vc3,s17_vc5,0.900316316157106
"254",vc3,s18_vc5,0.900316316157106
"255",vc3,s19_vc5,0.900316316157106
"256",vc3,s20_vc5,0.900316316157106
"257",vc3,s21_vc5,0.900316316157106
"258",vc3,s22_vc5,0.900316316157106
"259",vc3,s23_vc5,0.900316316157106
"260",vc3,s24_vc5,0.900316316157106
"261",vc3,s25_vc5,0.900316316157106
"262",vc3,s26_vc5,0.8742576536857
"263",vc3,s27_vc5,0.889105086136977
"264",vc3,s28_vc5,0.845046013454688
"265",vc3,s29_vc5,0.816311777009172
"266",vc3,s30_vc5,0.890037129515731
"267",vc3,s31_vc5,0.900316316157106
"268",vc3,s32_vc5,0.865847417047548
"269",vc3,s33_vc5,0.893722239812037
"270",vc3,s34_vc5,0.844170431339334
"271",vc4,vc1,0.824583942082125
"272",vc4,vc2,0.814840371710939
"273",vc4,vc3,0.507488562027791
"274",vc4,vc4,0
"275",vc4,vc5,0.53881643050204
"276",vc4,vc6,0.258525838366688
"277",vc4,vc7,0.891524595909563
"278",vc4,vc8,0.891524595909563
"279",vc4,vc9,0.891524595909563
"280",vc4,vc10,0.492459195055888
"281",vc4,vc11,0.77789700309986
"282",vc4,vc12,0.474196333974052
"283",vc4,vc13,0.655213205379758
"284",vc4,vc14,0.846669825371694
"285",vc4,vc15,0.900316316157106
"286",vc4,vc16,0.900316316157106
"287",vc4,vc17,0.886456097226767
"288",vc4,vc18,0.900316316157106
"289",vc4,vc19,0.900316316157106
"290",vc4,vc20,0.872913693055823
"291",vc4,vc21,0.900316316157106
"292",vc4,vc22,0.882608112281127
"293",vc4,vc23,0.897302609122992
"294",vc4,vc24,0.891741886413455
"295",vc4,vc25,0.896466849542617
"296",vc4,vc26,0.899958048471691
"297",vc4,vc27,0.885033243586829
"298",vc4,vc28,0.887375920128818
"299",vc4,vc29,0.885033243586829
"300",vc4,vc30,0.889689781285347
"301",vc4,vc31,0.900316316157106
"302",vc4,vc32,0.885033243586829
"303",vc4,vc33,0.883993625315432
"304",vc4,vc34,0.886793919649314
"305",vc4,vc35,0.890181098161044
"306",vc4,vc36,0.880991330928541
"307",vc4,vc37,0.900316316157106
"308",vc4,vc38,0.900316316157106
"309",vc4,vc39,0.900316316157106
"310",vc4,vc40,0.900316316157106
"311",vc4,vc41,0.900316316157106
"312",vc4,vc42,0.898975834445685
"313",vc4,vc43,0.890094221254116
"314",vc4,vc44,0.870475849503525
"315",vc4,vc45,0.870151740944224
"316",vc4,vc46,0.850772740142376
"317",vc4,vc47,0.880368773085721
"318",vc4,vc48,0.881619445564999
"319",vc4,vc49,0.872606334089008
"320",vc4,vc50,0.900316316157106
"321",vc4,vc51,0.893032198202672
"322",vc4,vc52,0.866744605076263
"323",vc4,vc53,0.87983025875498
"324",vc4,vc54,0.88003840787341
"325",vc4,vc55,0.87983025875498
"326",vc4,vc56,0.884964211061834
"327",vc4,s1_vc5,0.900316316157106
"328",vc4,s2_vc5,0.900316316157106
"329",vc4,s3_vc5,0.900316316157106
"330",vc4,s4_vc5,0.900316316157106
"331",vc4,s5_vc5,0.900316316157106
"332",vc4,s6_vc5,0.900316316157106
"333",vc4,s7_vc5,0.900316316157106
"334",vc4,s8_vc5,0.890357094306097
"335",vc4,s9_vc5,0.900316316157106
"336",vc4,s10_vc5,0.895305938393757
"337",vc4,s11_vc5,0.900316316157106
"338",vc4,s12_vc5,0.900316316157106
"339",vc4,s13_vc5,0.900316316157106
"340",vc4,s14_vc5,0.900316316157106
"341",vc4,s15_vc5,0.900316316157106
"342",vc4,s16_vc5,0.900316316157106
"343",vc4,s17_vc5,0.900316316157106
"344",vc4,s18_vc5,0.900316316157106
"345",vc4,s19_vc5,0.900316316157106
"346",vc4,s20_vc5,0.900316316157106
"347",vc4,s21_vc5,0.900316316157106
"348",vc4,s22_vc5,0.876287704899587
"349",vc4,s23_vc5,0.900316316157106
"350",vc4,s24_vc5,0.900316316157106
"351",vc4,s25_vc5,0.900316316157106
"352",vc4,s26_vc5,0.900316316157106
"353",vc4,s27_vc5,0.900316316157106
"354",vc4,s28_vc5,0.897750039707841
