,Reference,Comparison,FRD Value
1,s34_vc5,s34_vc5,1
2,s34_vc5,s1_vc08,0.97772748
3,s34_vc5,s10_vc08,0.131072651
4,s34_vc5,s11_vc08,0.415490474
5,s34_vc5,s12_vc08,0.415490474
6,s34_vc5,s13_vc08,0.485026445
7,s34_vc5,s14_vc08,0.566486574
8,s34_vc5,s15_vc08,0.46989054
9,s34_vc5,s16_vc08,0.97772748
10,s34_vc5,s17_vc08,0.842307559
11,s34_vc5,s18_vc08,0.926171045
12,s34_vc5,s19_vc08,0.813889516
13,s34_vc5,s2_vc08,0.636748449
14,s34_vc5,s20_vc08,0.953700917
15,s34_vc5,s21_vc08,0.966665972
16,s34_vc5,s22_vc08,0.971168515
17,s34_vc5,s23_vc08,0.535754592
18,s34_vc5,s24_vc08,0.842307559
19,s34_vc5,s25_vc08,0.655363257
20,s34_vc5,s26_vc08,0.83559332
21,s34_vc5,s27_vc08,0.655363257
22,s34_vc5,s28_vc08,0.795098393
23,s34_vc5,s29_vc08,0.900516919
24,s34_vc5,s3_vc08,0.655363257
25,s34_vc5,s30_vc08,0.706785341
26,s34_vc5,s31_vc08,0.966665972
27,s34_vc5,s32_vc08,0.711234908
28,s34_vc5,s33_vc08,0.876417352
29,s34_vc5,s34_vc08,0.842307559
30,s34_vc5,s35_vc08,0.905304463
31,s34_vc5,s36_vc08,0.888850797
32,s34_vc5,s37_vc08,0.916025431
33,s34_vc5,s38_vc08,0
34,s34_vc5,s39_vc08,0.636748449
35,s34_vc5,s4_vc08,0.789367716
36,s34_vc5,s40_vc08,0.524290605
37,s34_vc5,s41_vc08,0.499040104
38,s34_vc5,s42_vc08,0
39,s34_vc5,s43_vc08,0.131072651
40,s34_vc5,s44_vc08,0.682816865
41,s34_vc5,s45_vc08,0.535754592
42,s34_vc5,s46_vc08,0.980923576
43,s34_vc5,s47_vc08,0
44,s34_vc5,s48_vc08,0.952476978
45,s34_vc5,s49_vc08,0.9620536
46,s34_vc5,s5_vc08,0.826253256
47,s34_vc5,s50_vc08,0.957325907
48,s34_vc5,s51_vc08,0
49,s34_vc5,s52_vc08,0.697559225
50,s34_vc5,s53_vc08,0.792254763
51,s34_vc5,s54_vc08,0.941089721
52,s34_vc5,s55_vc08,0
53,s34_vc5,s56_vc08,0.911504948
54,s34_vc5,s57_vc08,0.946235558
55,s34_vc5,s58_vc08,0.833301197
56,s34_vc5,s59_vc08,0.902126273
57,s34_vc5,s6_vc08,0.828631877
58,s34_vc5,s60_vc08,0.923327414
59,s34_vc5,s61_vc08,0.757778146
60,s34_vc5,s62_vc08,0.728054688
61,s34_vc5,s63_vc08,0.715582177
62,s34_vc5,s64_vc08,0.975566338
63,s34_vc5,s7_vc08,0.846654828
64,s34_vc5,s8_vc08,0
65,s34_vc5,s9_vc08,0.415490474
66,s34_vc5,s1_vc12,0
67,s34_vc5,s10_vc12,0.840095863
68,s34_vc5,s11_vc12,0.630112755
69,s34_vc5,s12_vc12,0.7678211
70,s34_vc5,s13_vc12,0
71,s34_vc5,s14_vc12,0
72,s34_vc5,s15_vc12,0.524290605
73,s34_vc5,s16_vc12,0
74,s34_vc5,s17_vc12,0
