"","s1_vc15","s10_vc15","s11_vc15","s12_vc15","s13_vc15","s14_vc15","s15_vc15","s16_vc15","s17_vc15","s18_vc15","s19_vc15","s2_vc15","s20_vc15","s21_vc15","s22_vc15","s23_vc15","s24_vc15","s25_vc15","s26_vc15","s27_vc15","s28_vc15","s29_vc15","s3_vc15","s30_vc15","s31_vc15","s32_vc15","s33_vc15","s34_vc15","s35_vc15","s36_vc15","s37_vc15","s38_vc15","s39_vc15","s4_vc15","s40_vc15","s41_vc15","s42_vc15","s43_vc15","s44_vc15","s45_vc15","s46_vc15","s47_vc15","s48_vc15","s49_vc15","s5_vc15","s50_vc15","s51_vc15","s52_vc15","s53_vc15","s54_vc15","s55_vc15","s56_vc15","s57_vc15","s58_vc15","s59_vc15","s6_vc15","s60_vc15","s61_vc15","s62_vc15","s63_vc15","s64_vc15","s7_vc15","s8_vc15","s9_vc15","s1_vc17","s10_vc17","s11_vc17","s12_vc17","s13_vc17","s14_vc17","s15_vc17","s16_vc17","s17_vc17","s18_vc17","s19_vc17","s2_vc17","s20_vc17","s21_vc17","s22_vc17","s23_vc17","s24_vc17","s25_vc17","s26_vc17","s27_vc17","s28_vc17","s29_vc17","s3_vc17","s30_vc17","s31_vc17","s32_vc17","s33_vc17","s34_vc17","s35_vc17","s36_vc17","s37_vc17","s38_vc17","s39_vc17","s4_vc17","s40_vc17","s41_vc17","s42_vc17","s43_vc17","s5_vc17","s6_vc17","s7_vc17","s8_vc17","s9_vc17","s1_vc18","s2_vc18","s3_vc18","s4_vc18","s5_vc18","s6_vc18","s7_vc18","s8_vc18","s9_vc18","s10_vc18","s11_vc18","s12_vc18","s13_vc18","s14_vc18","s15_vc18","s16_vc18","s17_vc18","s18_vc18","s19_vc18","s20_vc18","s21_vc18","s22_vc18","s23_vc18","s24_vc18","s25_vc18","s26_vc18","s27_vc18","s28_vc18","s29_vc18","s30_vc18","s31_vc18","s32_vc18","s33_vc18","s34_vc18","s35_vc18","s36_vc18","s37_vc18","s38_vc18","s39_vc18","s40_vc18","s41_vc18","s42_vc18","s43_vc18","s44_vc18","s45_vc18","s46_vc18"
"s1_vc15",1,0.743171687859175,0.630929753571457,0,0,0.63440930810539,0.218104291985532,0,0,0,0,0.875862877415689,0,0,0,0.724526775162254,0,0,0.715622223799132,0,0,0.874377075275965,0.866976684298281,0.868601883324216,0.238560627359831,0,0.81294121682198,0.678882183907119,0,0,0,0.2018490865821,0.598104004501844,0.861280840134111,0.458156909991326,0,0,0,0,0,0,0,0,0,0.883153977032,0,0,0,0,0.591647331227469,0,0.224243824217575,0,0.789537877755824,0.832860037362324,0.930748456725263,0,0.540093979970078,0.356207187108022,0,0,0,0.366338501827267,0.751673210587098,0,0,0.774327938752946,0,0,0,0.44211410869774,0,0.691878761780308,0.911293481102417,0.868947595105977,0,0.796204952909494,0.78624652893129,0,0,0,0.329695336919866,0.879473158315162,0.900460535330024,0.829622131722515,0.909342429987794,0,0,0,0,0,0,0.262649535037194,0,0,0.350379306422211,0.430599297637569,0.68282911865488,0.221064729457504,0,0,0,0,0,0,0,0,0.889199561656458,0.860528527174435,0.87764843810588,0.517177130290568,0.443170108547181,0.208014597676509,0,0,0.711397505920102,0,0,0,0,0.262649535037194,0.890306178342637,0.908229903992198,0.737247043621234,0.658416567487746,0,0.306573596382729,0.448487648435151,0.808155649432199,0,0.829574014933505,0.337194517058496,0.555759164269197,0,0,0,0,0,0.657601396626028,0.808771633120016,0.862010343488669,0.396240625180289,0.42036789183494,0,0.185449023415369,0.778542868046404,0.685397226330335,0.266192516688818,0.706264056300562,0,0,0,0.873348431945787
"s10_vc15",0.686303906056795,1,0.420619835714305,0,0,0.443170108547181,0.654312875956595,0,0,0,0.430676558073393,0.812698828155104,0,0,0,0,0.27023815442732,0,0.366338501827267,0.262649535037194,0,0.699691622031649,0.687282765178217,0.761095049042832,0,0,0.699743729939847,0,0,0,0,0,0,0.771662155754962,0,0,0,0,0,0,0,0.630929753571457,0,0,0.769555468410658,0,0,0,0,0.28228751702679,0.203795047090506,0,0.18920035951687,0.166047646215938,0.342883201147827,0.285342901705939,0,0,0.178103593554011,0,0,0,0.514221098121994,0.911607117267107,0,0,0.352582868777764,0,0.792481250360578,0,0,0,0.447120163561871,0.789595259418291,0.74384408465381,0,0.526802554561661,0.508104448402389,0,0,0,0,0.764102987299867,0.732618317205073,0.732754716706424,0.754366850594364,0,0,0,0,0,0,0,0,0.666666666666667,0.663194188372511,0,0,0.221064729457504,0,0,0,0,0,0,0,0,0.728620646094942,0.77037932125453,0.780254927654937,0.421739784828795,0.171441600573913,0.329695336919866,0,0.5,0.182087900469938,0,0,0,0.262649535037194,0,0.601947467677251,0.727336930741442,0.489582218026487,0.145552680362017,0,0,0.224243824217575,0.452532601868682,0,0.147750113178686,0.212746053553363,0,0,0,0,0,0,0.381186459636662,0.611185324071435,0.383891679823616,0,0.42036789183494,0,0.185449023415369,0,0.524163227811791,0,0.308078443908527,0,0,0,0.729446505363301
"s11_vc15",0.411782343634077,0.29726867514367,1,0,0,0.171441600573913,0,0,0,0,0,0.414455962057701,0,0,0,0.345687124043405,0,0,0,0,0,0.439690062571862,0.32522044877613,0.218392972110073,0,0,0.37233807703724,0,0,0,0,0,0,0.435661187863216,0,0,0,0,0,0,0,0,0,0,0.275581248150293,0,0,0,0,0,0,0,0,0,0,0.570685803411878,0,0,0,0,0,0,0.183169250913634,0.147750113178686,0,0,0,0,0,1,0,0,0,0.409728142795446,0.247948028217937,0,0.203795047090506,0,0,0,0,0.208014597676509,0.357591276167951,0.353480633633448,0.142857142857143,0.446319133920626,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.48385370290928,0.323842731188998,0.326162005158874,0.378825400698284,0.342883201147827,0,0,0,0,0,0,0.301029995663981,0,0,0.323392408702842,0.386326873142079,0,0.145552680362017,0.630929753571457,0,0,0.239082401438546,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.396240625180289,0,0,0,0,0.151517152409639,0,0.308078443908527,0,0,0.5,0.282188428327219
"s12_vc15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.27023815442732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203795047090506,0,0.18920035951687,0,0,0,0,0,0.178103593554011,0,0,0.231378213159759,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239812466568131,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208014597676509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212746053553363,0,0,0,0,0,0,0,0,0,0,0.18104259678004,0,0,0,0,0,0,0,0,0,0
"s13_vc15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140064823493988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178103593554011,0,0,0,0,0,0,0,0,0,0,0,0,0.356207187108022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.430676558073393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s14_vc15",0.507925246537587,0.384214188942723,0.210309917857152,0,0,1,0,0,0,0,0.430676558073393,0.437931438707845,0,0,0,0.218104291985532,0,0,0,0,1,0.609244168735333,0.465285272270118,0.436785944220145,0.150514997831991,0,0.456596093390145,0.17376534287144,0,0.19195872000656,0,0,0,0.603661671809089,0,0,0,0,0,0,0,0,0,0,0.551162496300585,0,0,0,0,0,0,0,0,0,0,0.180031326656693,0,0,0,0,0,0,0,0.511131413187586,0,0,0,0,0,1,0,0,0,0.609051545009184,0.611185324071435,0,0.323007507471154,0,0,0,0,0,0.597874739972333,0.580882743429388,0.494204516948185,0.65269620786952,0,0,0,0,0,0,0,0,0,0.350379306422211,0,0,0,0,1,0,0,0.262649535037194,0,0,0,0.559460346378951,0.516105777591356,0.56188131902456,0,0,0,0,0,0,0,0,0,0,0,0.569291726400095,0.412837226358533,0,0,0.630929753571457,0,0,0.150844200622894,0,0,0,0.26516450977807,0,0,0,0,0,0,0.312875576684143,0.216735658209304,0.25,0.18104259678004,0,0,0.174583430048045,0,0,0,1,0,0,0.522110634090926
"s15_vc15",0.137260781211359,0.445903012715505,0,0,0,0,1,0,0,0,0,0.525993649038836,0,0,0,0,0,0,0,0,0,0.277413542826283,0.362062316402086,0,0,0,0,0,0,0,0,0,0,0.137435802949594,0,0,0,0,0,0,0,0,0,0,0.319939921252145,0,0,0,0,0,0,0,0,0,0,0.180031326656693,0,0,0,0,0,0,0,0.295500226357372,0,0,0,0,0,0,0,0,0,0.409728142795446,0.247948028217937,0,0.203795047090506,0,0,0,0,0,0.219256087139797,0.317512000272002,0.142857142857143,0.34730379213048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.279730173189476,0.22105705434887,0.394350071643954,0,0,0.208014597676509,0,0,0,0,0,0,0,0.262649535037194,0.139277529487204,0.218110507560002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.327610619892539
"s16_vc15",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203795047090506,0.224243824217575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27023815442732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s17_vc15",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630929753571457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221064729457504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212746053553363,0,0,0,0,0,0,0,0.156437788342072,0,0,0.18104259678004,0,0,0,0,0,0,0,0,0,0
"s18_vc15",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
