barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s1_vc15,s10_vc15,s11_vc15,s12_vc15,s13_vc15,s14_vc15,s15_vc15,s16_vc15,s17_vc15,s18_vc15,s19_vc15,s2_vc15,s20_vc15,s21_vc15,s22_vc15,s23_vc15,s24_vc15,s25_vc15,s26_vc15,s27_vc15,s28_vc15,s29_vc15,s3_vc15,s30_vc15,s31_vc15,s32_vc15,s33_vc15,s34_vc15,s35_vc15,s36_vc15,s37_vc15,s38_vc15,s39_vc15,s4_vc15,s40_vc15,s41_vc15,s42_vc15,s43_vc15,s44_vc15,s45_vc15,s46_vc15,s47_vc15,s48_vc15,s49_vc15,s5_vc15,s50_vc15,s51_vc15,s52_vc15,s53_vc15,s54_vc15,s55_vc15,s56_vc15,s57_vc15,s58_vc15,s59_vc15,s6_vc15,s60_vc15,s61_vc15,s62_vc15,s63_vc15,s64_vc15,s7_vc15,s8_vc15,s9_vc15,s1_vc17,s10_vc17,s11_vc17,s12_vc17,s13_vc17,s14_vc17,s15_vc17,s16_vc17,s17_vc17,s18_vc17,s19_vc17,s2_vc17,s20_vc17,s21_vc17,s22_vc17,s23_vc17,s24_vc17,s25_vc17,s26_vc17,s27_vc17,s28_vc17,s29_vc17,s3_vc17,s30_vc17,s31_vc17,s32_vc17,s33_vc17,s34_vc17,s35_vc17,s36_vc17,s37_vc17,s38_vc17,s39_vc17,s4_vc17,s40_vc17,s41_vc17,s42_vc17,s43_vc17,s5_vc17,s6_vc17,s7_vc17,s8_vc17,s9_vc17,s1_vc18,s10_vc18,s11_vc18,s12_vc18,s13_vc18,s14_vc18,s15_vc18,s16_vc18,s17_vc18,s18_vc18,s19_vc18,s2_vc18,s20_vc18,s21_vc18,s22_vc18,s23_vc18,s24_vc18,s25_vc18,s26_vc18,s27_vc18,s28_vc18,s29_vc18,s3_vc18,s30_vc18,s31_vc18,s32_vc18,s33_vc18,s34_vc18,s35_vc18,s36_vc18,s37_vc18,s38_vc18,s39_vc18,s4_vc18,s40_vc18,s41_vc18,s42_vc18,s43_vc18,s44_vc18,s45_vc18,s5_vc18,s6_vc18,s7_vc18,s8_vc18,s9_vc18,s46_vc18
lm1 mapping,659,4141,2558,3201,8212,583,0,0,0,0,0,0,0,0,0,2833,0,0,0,191498,0,0,0,0,0,50281,10431,0,0,45,0,3696,0,0,0,0,0,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24552,0,0,0,0,11127,0,30801,0,0,0,0,0,0,0,67,0,0,0,0,6855,0,0,0,231,1764,2524,0,0,5951,0,0,0,0,3344,7720,27246,7243,0,0,0,0,0,0,4172,0,0,0,0,446364,945,0,2165,0,0,0,0,0,0,1804,35,7,0,19,1,1008,401,33427,302,0,6140,0,10797,2554,0,0,10647,0,12,0,9,3606,7,10,0,93,34,0,0,518,298,333,0,162,3695,6306,14,1,8,5,0,1,1,79,0
lm2 mapping,373,2082,519,438,28205,2955,7736,0,0,1499,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,10724,0,0,0,0,0,0,0,0,0,0,0,31611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,1466,0,0,0,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,917,703,0,7208,1986,0,0,0,0,1277,1904,2103,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,3923,117,0,0,3424,51,165,511,0,0,0,34361,0,0,0,0,187,0,0,0,0,212,0,50,2,53,7,102,0,0,0,0,0,0,0,0,0,0,0,78,60863,15960,10,40857,7,5
lm3 mapping,928,5573,1457,3810,37639,0,0,0,0,0,0,0,0,0,0,9796,0,0,0,0,0,0,21616,0,0,0,1646,2836,0,0,0,0,37767,0,0,0,0,13391,236099,0,0,0,0,0,0,0,0,0,15825,0,0,0,0,636,0,0,0,4160,1751,2189,0,0,0,0,0,0,0,0,0,0,12965,0,8551,0,0,0,0,542,6813,0,0,3598,0,0,0,0,76,13121,0,18346,0,0,0,0,0,0,0,0,0,0,61,0,0,0,2538,0,0,0,0,0,3711,19644,3,28,0,1,10,7476,4757,1408,33,0,0,0,0,0,0,14,0,0,12,0,0,4704,7,15,12,56,0,0,1,0,0,0,0,318,43,0,16,1,0,0,132,13,15,48,2567
lm4 mapping,956,7598,3760,1751,7075,0,3394,0,0,4403,160238,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,3372,4008,4862,0,173,2600,0,0,0,0,0,0,25446,0,0,0,0,0,0,0,0,0,0,8663,0,0,0,0,0,0,0,0,965,0,37813,0,0,0,0,0,0,0,0,0,0,0,0,827,0,0,0,0,3391,4977,0,8436,4041,0,0,0,0,1270,5403,2040,4382,0,209,0,0,8,0,0,0,0,0,0,1726,0,0,4480,0,0,0,0,0,0,22015,28,97,0,2,10236,9954,2336,2134,184,0,4578,0,0,0,0,10,0,0,67,0,0,3527,52,52,3,102,10,42233,0,0,0,22927,0,53,0,2310,79,0,0,0,7201,50,13,71,1860
lm5 mapping,1026,6223,1237,2168,23456,454,0,0,0,0,0,0,0,0,0,8732,0,0,0,0,0,0,21726,0,0,35138,0,432134,0,0,2098,17914,541756,0,0,0,9658,30294,217962,0,0,0,0,238324,0,0,0,0,22439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,0,0,0,0,3837,0,42195,0,238,2897,10154,0,3958,5572,0,10,0,0,6014,29457,86,13642,0,0,0,0,402,0,0,0,0,0,0,0,0,0,3055,0,0,0,0,3876,0,19446,516,34,0,331,77,0,4393,3487,290020,0,2038,0,0,68708,0,0,0,28359,17,0,368,10955,120,9,18,106,465,0,0,289798,955,0,3071,37216,3627,4192,26,6,131,262,36,0,61,73,0
lm6 mapping,728,4382,0,534,60871,0,4045,0,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,5177,8098,2768,0,0,0,5840,5348,0,0,1440,17267,165,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046,0,58169,0,0,0,0,0,0,0,0,6151,0,227,0,18022,0,0,448,6818,0,301,0,0,38201,0,0,2838,7129,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3197,0,0,0,0,0,0,2644,72,0,0,0,6,3758,1035,162,640,0,14802,0,0,5177,0,5,0,6265,0,0,1,0,6,12,0,11,58,0,0,407,0,0,0,198,1846,436,4,0,1,0,0,21,6,10,2841
lm7 mapping,771,6260,1150,2731,7192,429,0,0,0,0,0,0,0,0,0,5753,0,0,0,0,0,0,0,0,0,5415,8450,0,0,619,0,59548,0,0,0,0,0,26534,0,0,0,0,0,0,0,0,0,0,8137,10938,0,0,5541,0,19429,0,0,5928,0,0,54811,0,0,0,0,0,2219,1210,0,0,5850,0,0,0,0,0,0,451,5756,12261,1157,0,0,0,0,0,0,6975,10255,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,2195,0,0,0,0,0,17,0,0,18,0,0,1,0,4891,0,298,0,0,0,0,22,0,9,0,0,15,0,0,6446,0,0,4,1,1,0,0,0,0,0,0,205,0,0,18,0,0,1,0,0,15,2,0
lm8 mapping,95,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,1,3,0,0,0,0,1507,0,105,0,0,0,0,0,0,6,0,0,1,0,0,1304,0,0,5,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,2,0
lm9 mapping,663,3113,292,1250,364,0,0,0,0,8120,0,0,0,0,0,0,0,0,0,49767,0,0,0,0,0,4462,18692,0,0,1,0,11,0,0,0,0,0,1827,0,0,0,0,0,0,5320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,1898,3454,0,2092,2846,0,0,0,774,5034,2733,0,1881,0,0,0,0,0,0,0,0,0,0,0,155,0,0,1145,0,0,0,0,0,0,0,4,0,0,0,0,0,0,423,25,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,119,711,0,0,0,0,0,0,0,0,0
lm10 mapping,695,4101,827,7808,1981,0,0,0,0,416,0,80153,0,0,0,1430,0,0,0,0,0,0,0,0,0,624,2366,2185,481,0,0,55,0,0,0,0,0,9172,0,0,0,0,0,0,0,0,0,0,2403,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2655,0,0,0,0,0,3173,0,1349,2961,0,0,0,0,0,1073,4631,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,0,0,0,0,0,0,35,10,0,1,0,0,0,279,219,0,8831,0,261,350,0,0,0,0,11,1,0,4239,4,70,0,3,34,5,0,0,0,0,87,0,0,0,10,0,0,1,0,24417,0,0,929
