Tube,CFU,,,,,,,,
s1_vc15,160000,,,,,,,,
s10_vc15,5400,,,,,,,,
s11_vc15,200,,,,,,,,
s12_vc15,44,,,,,,,,
s13_vc15,1000,,,,,,,,
s14_vc15,600,,,,,,,,
s15_vc15,1800,,,,,,,,
s16_vc15,2,,,,,,,,
s17_vc15,2,,,,,,,,
s18_vc15,125,,,,,,,,
s19_vc15,13,,,,,,,,
s2_vc15,124000,,,,,,,,
s20_vc15,2,,,,,,,,
s21_vc15,104,,,,,,,,
s22_vc15,15,,,,,,,,
s23_vc15,31,,,,,,,,
s24_vc15,40,,,,,,,,
s25_vc15,9,,,,,,,,
s26_vc15,86,,,,,,,,
s27_vc15,52,,,,,,,,
s28_vc15,1,,,,,,,,
s29_vc15,1800000,,,,,,,,
s3_vc15,96000,,,,,,,,
s30_vc15,1180000,,,,,,,,
s31_vc15,1800000,,,,,,,,
s32_vc15,2400000,,,,,,,,
s33_vc15,660000,,,,,,,,
s34_vc15,180000,,,,,,,,
s35_vc15,180000,,,,,,,,
s36_vc15,460000,,,,,,,,
s37_vc15,420000,,,,,,,,
s38_vc15,3000,,,,,,,,
s39_vc15,76000,,,,,,,,
s4_vc15,176000,,,,,,,,
s40_vc15,88000,,,,,,,,
s41_vc15,88000,,,,,,,,
s42_vc15,160000,,,,,,,,
s43_vc15,2200,,,,,,,,
s44_vc15,11,,,,,,,,
s45_vc15,5,,,,,,,,
s46_vc15,33,,,,,,,,
s47_vc15,3,,,,,,,,
s48_vc15,139,,,,,,,,
s49_vc15,158,,,,,,,,
s5_vc15,146000,,,,,,,,
s50_vc15,92,,,,,,,,
s51_vc15,39,,,,,,,,
s52_vc15,59,,,,,,,,
s53_vc15,34000,,,,,,,,
s54_vc15,86000,,,,,,,,
s55_vc15,42000,,,,,,,,
s56_vc15,66000,,,,,,,,
s57_vc15,24000,,,,,,,,
s58_vc15,10000,,,,,,,,
s59_vc15,3800,,,,,,,,
s6_vc15,8400,,,,,,,,
s60_vc15,3000,,,,,,,,
s61_vc15,4000,,,,,,,,
s62_vc15,3000,,,,,,,,
s63_vc15,1,,,,,,,,
s64_vc15,1,,,,,,,,
s7_vc15,1200,,,,,,,,
s8_vc15,800,,,,,,,,
s9_vc15,6200,,,,,,,,
s1_vc17,12000,,,,,,,,
s10_vc17,32,,,,,,,,
s11_vc17,1600,,,,,,,,
s12_vc17,2200,,,,,,,,
s13_vc17,3,,,,,,,,
s14_vc17,1,,,,,,,,
s15_vc17,1200,,,,,,,,
s16_vc17,6,,,,,,,,
s17_vc17,200,,,,,,,,
s18_vc17,600,,,,,,,,
s19_vc17,83,,,,,,,,
s2_vc17,50000,,,,,,,,
s20_vc17,29,,,,,,,,
s21_vc17,33,,,,,,,,
s22_vc17,37,,,,,,,,
s23_vc17,18000,,,,,,,,
s24_vc17,4600000,,,,,,,,
s25_vc17,740000,,,,,,,,
s26_vc17,400000,,,,,,,,
s27_vc17,1080000,,,,,,,,
s28_vc17,420000,,,,,,,,
s29_vc17,240000,,,,,,,,
s3_vc17,42000,,,,,,,,
s30_vc17,45,,,,,,,,
s31_vc17,9,,,,,,,,
s32_vc17,800,,,,,,,,
s33_vc17,800,,,,,,,,
s34_vc17,38000,,,,,,,,
s35_vc17,5600,,,,,,,,
s36_vc17,1,,,,,,,,
s37_vc17,4800,,,,,,,,
s38_vc17,6400,,,,,,,,
s39_vc17,5000,,,,,,,,
s4_vc17,94000,,,,,,,,
s40_vc17,509,,,,,,,,
s41_vc17,502,,,,,,,,
s42_vc17,1,,,,,,,,
s43_vc17,34,,,,,,,,
s5_vc17,4400,,,,,,,,
s6_vc17,1200,,,,,,,,
s7_vc17,3400,,,,,,,,
s8_vc17,1200,,,,,,,,
s9_vc17,1600,,,,,,,,
s1_vc18,68000,,,,,,,,
s2_vc18,38000,,,,,,,,
s3_vc18,38000,,,,,,,,
s4_vc18,1000,,,,,,,,
s5_vc18,2000,,,,,,,,
s6_vc18,1000,,,,,,,,
s7_vc18,12,,,,,,,,
s8_vc18,8,,,,,,,,
s9_vc18,44,,,,,,,,
s10_vc18,2,,,,,,,,
s11_vc18,2,,,,,,,,
s12_vc18,26,,,,,,,,
s13_vc18,13,,,,,,,,
s14_vc18,13,,,,,,,,
s15_vc18,640000,,,,,,,,
s16_vc18,320000,,,,,,,,
s17_vc18,3200000,,,,,,,,
s18_vc18,3600000,,,,,,,,
s19_vc18,340000,,,,,,,,
s20_vc18,84000,,,,,,,,
s21_vc18,118000,,,,,,,,
s22_vc18,140000,,,,,,,,
s23_vc18,96000,,,,,,,,
s24_vc18,54000,,,,,,,,
s25_vc18,48000,,,,,,,,
s26_vc18,200000,,,,,,,,
s27_vc18,2,,,,,,,,
s28_vc18,5,,,,,,,,
s29_vc18,1,,,,,,,,
s30_vc18,1,,,,,,,,
s31_vc18,3,,,,,,,,
s32_vc18,800,,,,,,,,
s33_vc18,83,,,,,,,,
s34_vc18,600,,,,,,,,
s35_vc18,2200,,,,,,,,
s36_vc18,6600,,,,,,,,
s37_vc18,58000,,,,,,,,
s38_vc18,52000,,,,,,,,
s39_vc18,1600,,,,,,,,
s40_vc18,3200,,,,,,,,
s41_vc18,2400,,,,,,,,
s42_vc18,5200,,,,,,,,
s43_vc18,1,,,,,,,,
s44_vc18,2.00E+00,,,,,,,,
s45_vc18,3.00E+00,,,,,,,,
s46_vc18,275,,,,,,,,
