Sample,Group,Order
s1_vc15,1,1
s10_vc15,1,1
s11_vc15,1,1
s12_vc15,1,1
s13_vc15,1,1
s14_vc15,1,1
s15_vc15,1,1
s16_vc15,1,1
s17_vc15,1,1
s18_vc15,1,1
s19_vc15,1,1
s2_vc15,1,1
s20_vc15,1,1
s21_vc15,1,1
s22_vc15,1,1
s23_vc15,1,1
s24_vc15,1,1
s25_vc15,1,1
s26_vc15,1,1
s27_vc15,1,1
s28_vc15,1,1
s29_vc15,1,1
s3_vc15,1,1
s30_vc15,1,1
s31_vc15,1,1
s32_vc15,1,1
s33_vc15,1,1
s34_vc15,1,1
s35_vc15,1,1
s36_vc15,1,1
s37_vc15,1,1
s38_vc15,1,1
s39_vc15,1,1
s4_vc15,1,1
s40_vc15,1,1
s41_vc15,1,1
s42_vc15,1,1
s43_vc15,1,1
s44_vc15,1,1
s45_vc15,1,1
s46_vc15,1,1
s47_vc15,1,1
s48_vc15,1,1
s49_vc15,1,1
s5_vc15,1,1
s50_vc15,1,1
s51_vc15,1,1
s52_vc15,1,1
s53_vc15,1,1
s54_vc15,1,1
s55_vc15,1,1
s56_vc15,1,1
s57_vc15,1,1
s58_vc15,1,1
s59_vc15,1,1
s6_vc15,1,1
s60_vc15,1,1
s61_vc15,1,1
s62_vc15,1,1
s63_vc15,1,1
s64_vc15,1,1
s7_vc15,1,1
s8_vc15,1,1
s9_vc15,1,1
s1_vc17,1,1
s10_vc17,1,1
s11_vc17,1,1
s12_vc17,1,1
s13_vc17,1,1
s14_vc17,1,1
s15_vc17,1,1
s16_vc17,1,1
s17_vc17,1,1
s18_vc17,1,1
s19_vc17,1,1
s2_vc17,1,1
s20_vc17,1,1
s21_vc17,1,1
s22_vc17,1,1
s23_vc17,1,1
s24_vc17,1,1
s25_vc17,1,1
s26_vc17,1,1
s27_vc17,1,1
s28_vc17,1,1
s29_vc17,1,1
s3_vc17,1,1
s30_vc17,1,1
s31_vc17,1,1
s32_vc17,1,1
s33_vc17,1,1
s34_vc17,1,1
s35_vc17,1,1
s36_vc17,1,1
s37_vc17,1,1
s38_vc17,1,1
s39_vc17,1,1
s4_vc17,1,1
s40_vc17,1,1
s41_vc17,1,1
s42_vc17,1,1
s43_vc17,1,1
s5_vc17,1,1
s6_vc17,1,1
s7_vc17,1,1
s8_vc17,1,1
s9_vc17,1,1
s1_vc18,1,1
s2_vc18,1,1
s3_vc18,1,1
s4_vc18,1,1
s5_vc18,1,1
s6_vc18,1,1
s7_vc18,1,1
s8_vc18,1,1
s9_vc18,1,1
s10_vc18,1,1
s11_vc18,1,1
s12_vc18,1,1
s13_vc18,1,1
s14_vc18,1,1
s15_vc18,1,1
s16_vc18,1,1
s17_vc18,1,1
s18_vc18,1,1
s19_vc18,1,1
s20_vc18,1,1
s21_vc18,1,1
s22_vc18,1,1
s23_vc18,1,1
s24_vc18,1,1
s25_vc18,1,1
s26_vc18,1,1
s27_vc18,1,1
s28_vc18,1,1
s29_vc18,1,1
s30_vc18,1,1
s31_vc18,1,1
s32_vc18,1,1
s33_vc18,1,1
s34_vc18,1,1
s35_vc18,1,1
s36_vc18,1,1
s37_vc18,1,1
s38_vc18,1,1
s39_vc18,1,1
s40_vc18,1,1
s41_vc18,1,1
s42_vc18,1,1
s43_vc18,1,1
s44_vc18,1,1
s45_vc18,1,1
s46_vc18,1,1
