"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s1_vc15",1408126,155,196,59.670403244831,508,413.902679535581,160000,2.70586371228392,5.20411998265593,314.96062992126
"s10_vc15",828342,105,77.6666666666667,24.8119289370919,186,430.934050331141,5400,2.26951294421792,3.73239375982297,29.0322580645161
"s11_vc15",358447,26,29,5.93848170220556,30.3333333333333,48.5137974341056,200,1.48192013760143,2.30102999566398,6.59340659340659
"s12_vc15",390167,2,1,0.636780353256446,2.11111111111111,7.73444700615334,44,0.324511091513504,1.64345267648619,20.8421052631579
"s13_vc15",306210,3,2.11111111111111,2.54908917048106,3.22222222222222,18.308671819238,1000,0.508155488459631,3,310.344827586207
"s14_vc15",341022,56,47.25,11.6059407924919,68.6923076923077,134.016328586685,600,1.83690810658171,2.77815125038364,8.73460246360582
"s15_vc15",254461,23,17.6666666666667,3.58790596490373,25.7058823529412,82.5447865273243,1800,1.41003251559215,3.25527250510331,70.0228832951945
"s16_vc15",151941,2,2.11111111111111,2.33037411217062,2.11111111111111,2.00303787958087,2,0.324511091513504,0.301029995663981,0.947368421052632
"s17_vc15",679267,1,1,2.20404946315473,1,1,2,0,0.301029995663981,2
"s18_vc15",624808,1,1,1.58214975536117,1,1,125,0,2.09691001300806,125
"s19_vc15",719816,4,4.33333333333333,3.14111009028881,4.33333333333333,4.80974747424188,13,0.636822097587174,1.11394335230684,3
"s2_vc15",1197595,150,198.142857142857,53.3807310949526,433,344.798178222752,124000,2.63648789635337,5.09342168516223,286.374133949192
"s20_vc15",232540,1,1,0.570267915755238,1,1,2,0,0.301029995663981,2
"s21_vc15",169581,4,3.22222222222222,4.56995424399827,4.33333333333333,6.83740650560754,104,0.636822097587174,2.01703333929878,24
"s22_vc15",607844,4,4.33333333333333,4.6480341744422,4.33333333333333,7.72571131507995,15,0.636822097587174,1.17609125905568,3.46153846153846
"s23_vc15",1345347,23,23.6666666666667,16.069125846924,25,26.2967070227743,31,1.39794000867204,1.49136169383427,1.24
"s24_vc15",1346255,12,11.5263157894737,5.5160900512971,12.5789473684211,18.5570869884453,40,1.09964429999531,1.60205999132796,3.17991631799163
"s25_vc15",1463365,4,4.15789473684211,5.18178472943126,4.15789473684211,5.01298126937988,9,0.618873490337613,0.954242509439325,2.16455696202532
"s26_vc15",615247,43,47.6666666666667,23.8175440506563,53,60.2815311940719,86,1.72427586960079,1.93449845124357,1.62264150943396
"s27_vc15",1831613,13,12.5789473684211,7.41228660025832,13.6315789473684,27.1297449379155,52,1.13454616312842,1.7160033436348,3.81467181467181
"s28_vc15",146915,1,1,1.37866107154066,1,1,1,0,0,1
"s29_vc15",1553048,147,218.5,99.0184316292115,412.5,278.017771786269,1800000,2.61542395288594,6.25527250510331,4363.63636363636
"s3_vc15",1212392,140,187.666666666667,87.2059256451039,348.666666666667,277.414590643619,96000,2.54241042981159,4.98227123303957,275.334608030593
"s30_vc15",1083657,152,183.5,7.22699064950521,456.333333333333,457.131362970383,1180000,2.65928219341433,6.07188200730613,2585.82907231556
"s31_vc15",1084284,99,24.5294117647059,18.3928806962089,176.555555555556,2066.71003949982,1800000,2.24688138776805,6.25527250510331,10195.09125236
"s32_vc15",1202340,94,32.25,2.3109781557577,154.333333333333,1728.65972976461,2400000,2.18845973629829,6.38021124171161,15550.7559395248
"s33_vc15",1368263,122,126.714285714286,78.569841623729,255.333333333333,303.032316980222,660000,2.40710751491294,5.81954393554187,2584.85639686684
"s34_vc15",1605259,53,27.6666666666667,7.41284415076011,66,453.473862761426,180000,1.81954393554187,5.25527250510331,2727.27272727273
"s35_vc15",1257946,9,9.42105263157895,3.47010221818852,9.42105263157895,21.9808804270395,180000,0.974099430027064,5.25527250510331,19106.1452513967
"s36_vc15",1362331,36,22.25,12.3645836761626,42.6666666666667,179.511106933412,460000,1.63008871492821,5.66275783168157,10781.25
"s37_vc15",1414477,3,3.22222222222222,1.66325500848962,3.22222222222222,4.6827158563629,420000,0.508155488459631,5.6232492903979,130344.827586207
"s38_vc15",947083,30,16.5555555555556,14.892031021241,34.75,168.935910408352,3000,1.54095480892613,3.47712125471966,86.3309352517986
"s39_vc15",1374762,19,13.2222222222222,2.67056761186424,21,68.2521631844231,76000,1.32221929473392,4.88081359228079,3619.04761904762
"s4_vc15",1371147,154,194.333333333333,66.2999104196502,483,355.92481914288,176000,2.68394713075151,5.24551266781415,364.389233954451
"s40_vc15",1329392,10,6.55555555555556,6.51058538465216,11,31.5315658043192,88000,1.04139268515823,4.94448267215017,8000
"s41_vc15",1490824,19,13.2222222222222,7.27308253579323,21,61.1518295214574,88000,1.32221929473392,4.94448267215017,4190.47619047619
"s42_vc15",1645106,4,4.33333333333333,1.50205577475733,4.33333333333333,6.72589577411578,160000,0.636822097587174,5.20411998265593,36923.0769230769
"s43_vc15",782586,3,2.11111111111111,1.83123550942092,3.22222222222222,11.2616602287543,2200,0.508155488459631,3.34242268082221,682.758620689655
"s44_vc15",1174429,8,8.36842105263158,11.2209229484014,8.36842105263158,8.59570163022273,11,0.922643523367623,1.04139268515823,1.31446540880503
"s45_vc15",797149,4,4.52941176470588,4.79187860838969,4.52941176470588,4.50887959576064,5,0.656041803794208,0.698970004336019,1.1038961038961
"s46_vc15",255330,15,13.2222222222222,9.42389751019983,16.5555555555556,38.9022859450014,33,1.21894375897295,1.51851393987789,1.99328859060403
"s47_vc15",425800,2,2.17647058823529,4.33659810241908,2.17647058823529,2.06209606052685,3,0.337752802688721,0.477121254719662,1.37837837837838
"s48_vc15",726273,17,12.5789473684211,1.77344234079004,17.8421052631579,66.3291328504814,139,1.25144609725025,2.14301480025409,7.7905604719764
"s49_vc15",345079,7,6.26315789473684,4.7121515239221,7.31578947368421,10.3433618508408,158,0.864261199301266,2.19865708695442,21.5971223021583
"s5_vc15",1289355,152,246,228.888634687286,483,260.234662303306,146000,2.68394713075151,5.16435285578444,302.277432712215
