Tube,CFU
vc1_iv1,94000
vc2_iv1,800
vc3_iv1,10200
vc4_iv1,312000000
vc5_iv1,11000000
vc6_iv1,76000000
vc7_iv1,360000
vc8_iv1,3000000
vc9_iv1,24000
vc10_iv1,332
vc11_iv1,5800
vc12_iv1,40000
vc13_iv1,4200
vc14_iv1,3600
vc15_iv1,280000000
vc16_iv1,5000000
vc17_iv1,78000000
vc18_iv1,1200000
vc19_iv1,680000
vc20_iv1,31000
vc21_iv1,3000
vc22_iv1,2600
vc23_iv1,28000
vc24_iv1,3800
vc25_iv1,6200
vc26_iv1,368000000
vc27_iv1,7200000
vc28_iv1,86000000
vc29_iv1,660000
vc30_iv1,3400000
vc31_iv1,22000
vc32_iv1,399
vc33_iv1,34000
vc34_iv1,63
vc35_iv1,3
vc36_iv1,336000
vc37_iv1,2200000
vc38_iv1,8600000
vc39_iv1,18
vc40_iv1,32000
vc41_iv1,8
vc42_iv1,223
vc43_iv1,1400000
vc44_iv1,6200
vc45_iv1,87
vc46_iv1,58
vc47_iv1,38400000
vc48_iv1,9600000
vc49_iv1,44000000
vc50_iv1,93
vc51_iv1,32000
vc52_iv1,443
vc53_iv1,90
vc54_iv1,1300000
vc55_iv1,335
vc56_iv1,137
vc57_iv1,3200
vc58_iv1,50400000
vc59_iv1,12600000
vc60_iv1,44000000
vc61_iv1,5400
vc62_iv1,58000
vc63_iv1,285
vc64_iv1,2200
vc65_iv1,50000
vc66_iv1,16400
vc67_iv1,16400
s35_vc5,1
s36_vc5,5
s37_vc5,8
s38_vc5,2
s39_vc5,3
s40_vc5,62
s41_vc5,63
s42_vc5,17
s43_vc5,27
s44_vc5,270
s45_vc5,440000
s46_vc5,320000
s47_vc5,240000
s48_vc5,2600000
s49_vc5,1400000
s50_vc5,7
s51_vc5,1
s52_vc5,6
s53_vc5,1
s54_vc5,1
s55_vc5,61
s56_vc5,250
s57_vc5,2800
s58_vc5,3000
s59_vc5,1
s60_vc5,1
s61_vc5,43
s62_vc5,454
s63_vc5,16
s64_vc5,1000
s65_vc6,600
s66_vc6,5400
s67_vc6,191
s68_vc6,129
s69_vc6,810
s70_vc6,1950
s71_vc6,780000
s72_vc6,22000
s73_vc6,340000
s74_vc6,22000
s75_vc6,38000000
s76_vc6,56000000
s77_vc6,36000000
s78_vc6,128000000
s79_vc6,8800000
s80_vc6,12000000
s81_vc6,15200000
s82_vc6,152000000
s83_vc6,1
s84_vc6,26
s85_vc6,10
s86_vc6,260000
s87_vc6,4
s88_vc6,2
s89_vc6,74
s90_vc6,63
s91_vc6,57
s92_vc6,222
s93_vc6,8
s94_vc6,2
s95_vc6,9
s96_vc6,2
s97_vc6,1
s98_vc6,11
s99_vc6,5
s100_vc6,9
s101_vc6,5
s102_vc6,1400
s103_vc6,66
s104_vc6,9
s105_vc6,134
s106_vc6,68
s107_vc6,5
s108_vc6,2
s109_vc6,910
s110_vc6,650
s111_vc6,9
s112_vc6,840
s113_vc6,177
s114_vc6,1000
s115_vc6,179
s116_vc6,5400
s117_vc6,320000
s118_vc6,50000
s119_vc6,38000
s120_vc6,24000
s121_vc6,3000000
s122_vc6,2600000
s123_vc6,36000000
s124_vc6,20000000
s125_vc6,30000000
s126_vc6,44000000
s127_vc6,20000000
s128_vc6,1.02E+04
s1_vc09,12
s2_vc09,8
s3_vc09,2
s4_vc09,9
s5_vc09,1
s6_vc09,11
s7_vc09,12
s8_vc09,3
s9_vc09,3
s10_vc09,1
s11_vc09,5
s12_vc09,4
s13_vc09,9
s14_vc09,5
s15_vc09,4000
s16_vc09,1800
s17_vc09,4800
s18_vc09,26000
s19_vc09,8000
s20_vc09,52
s21_vc09,2400
s22_vc09,1600
s23_vc09,1800000
s24_vc09,2000000
s25_vc09,2000000
s26_vc09,2200000
s27_vc09,3400000
s28_vc09,6400000
s29_vc09,360000
s30_vc09,1800000
s1_vc13,2000
s2_vc13,200000
s3_vc13,16000
s4_vc13,76000
s5_vc13,400
s6_vc13,1800
s7_vc13,250
s8_vc13,7600
s9_vc13,1080
s10_vc13,39600
s11_vc13,2660
s12_vc13,33600
s13_vc13,5600
s14_vc13,28800
s15_vc13,4000
s16_vc13,50000
s17_vc13,360000
s18_vc13,360000
s19_vc13,1100000
s20_vc13,740000
s21_vc13,56000000
s22_vc13,84000000
s23_vc13,86000000
s24_vc13,98000000
s25_vc13,720000
s26_vc13,200000
s27_vc13,48000
s28_vc13,720000
s29_vc13,6600000
s30_vc13,92000000
s31_vc13,11000000
s32_vc13,88000000
s33_vc13,9200000
s34_vc13,6600000
s35_vc13,4800000
s36_vc13,13800000
s37_vc13,48
s38_vc13,199
s39_vc13,13
s40_vc13,12000
s41_vc13,2800
s42_vc13,1420000
s43_vc13,280000
s44_vc13,360000
s45_vc13,5500
s1_vc17,7
s2_vc17,54
s3_vc17,3
s4_vc17,1400
s5_vc17,3
s6_vc17,45
s7_vc17,8
s8_vc17,67
s9_vc17,600
s10_vc17,5
s11_vc17,70
s12_vc17,10
s13_vc17,2100
s14_vc17,3800
s15_vc17,40000
s16_vc17,10400
s17_vc17,360000
s18_vc17,10200000
s19_vc17,14200000
s20_vc17,6200000
s21_vc17,52000000
s22_vc17,9200
s23_vc17,1000
s24_vc17,25
s25_vc17,440000
s26_vc17,216000
s27_vc17,1240000
s28_vc17,140000
s29_vc17,6400000
s30_vc17,600000
s31_vc17,4200000
s32_vc17,1300000
s33_vc17,1060000
s34_vc17,5400
s35_vc17,160
s36_vc17,1200
s37_vc17,1053
s38_vc17,56
s39_vc17,36000
s40_vc17,1000
s41_vc17,1.80E+05
s42_vc17,1.00E+04
s34_vc5,9.60E+08
