Sample,Group,Order
vc1_iv1,1,1
vc2_iv1,1,1
vc3_iv1,1,1
vc4_iv1,1,1
vc5_iv1,1,1
vc6_iv1,1,1
vc7_iv1,1,1
vc8_iv1,1,1
vc9_iv1,1,1
vc10_iv1,1,1
vc11_iv1,1,1
vc12_iv1,1,1
vc13_iv1,1,1
vc14_iv1,1,1
vc15_iv1,1,1
vc16_iv1,1,1
vc17_iv1,1,1
vc18_iv1,1,1
vc19_iv1,1,1
vc20_iv1,1,1
vc21_iv1,1,1
vc22_iv1,1,1
vc23_iv1,1,1
vc24_iv1,1,1
vc25_iv1,1,1
vc26_iv1,1,1
vc27_iv1,1,1
vc28_iv1,1,1
vc29_iv1,1,1
vc30_iv1,1,1
vc31_iv1,1,1
vc32_iv1,1,1
vc33_iv1,1,1
vc36_iv1,1,1
vc37_iv1,1,1
vc38_iv1,1,1
vc39_iv1,1,1
vc40_iv1,1,1
vc41_iv1,1,1
vc42_iv1,1,1
vc43_iv1,1,1
vc44_iv1,1,1
vc45_iv1,1,1
vc46_iv1,1,1
vc47_iv1,1,1
vc48_iv1,1,1
vc49_iv1,1,1
vc50_iv1,1,1
vc51_iv1,1,1
vc52_iv1,1,1
vc53_iv1,1,1
vc54_iv1,1,1
vc55_iv1,1,1
vc56_iv1,1,1
vc57_iv1,1,1
vc58_iv1,1,1
vc59_iv1,1,1
vc60_iv1,1,1
vc61_iv1,1,1
vc62_iv1,1,1
vc63_iv1,1,1
vc64_iv1,1,1
vc65_iv1,1,1
vc66_iv1,1,1
vc67_iv1,1,1
s35_vc5,1,1
s36_vc5,1,1
s37_vc5,1,1
s38_vc5,1,1
s39_vc5,1,1
s40_vc5,1,1
s41_vc5,1,1
s42_vc5,1,1
s43_vc5,1,1
s44_vc5,1,1
s45_vc5,1,1
s46_vc5,1,1
s47_vc5,1,1
s48_vc5,1,1
s49_vc5,1,1
s50_vc5,1,1
s51_vc5,1,1
s52_vc5,1,1
s53_vc5,1,1
s54_vc5,1,1
s55_vc5,1,1
s56_vc5,1,1
s57_vc5,1,1
s58_vc5,1,1
s59_vc5,1,1
s60_vc5,1,1
s61_vc5,1,1
s62_vc5,1,1
s63_vc5,1,1
s64_vc5,1,1
s65_vc6,1,1
s66_vc6,1,1
s67_vc6,1,1
s68_vc6,1,1
s69_vc6,1,1
s70_vc6,1,1
s71_vc6,1,1
s72_vc6,1,1
s73_vc6,1,1
s74_vc6,1,1
s75_vc6,1,1
s76_vc6,1,1
s77_vc6,1,1
s78_vc6,1,1
s79_vc6,1,1
s80_vc6,1,1
s81_vc6,1,1
s82_vc6,1,1
s83_vc6,1,1
s84_vc6,1,1
s85_vc6,1,1
s86_vc6,1,1
s87_vc6,1,1
s88_vc6,1,1
s89_vc6,1,1
s90_vc6,1,1
s91_vc6,1,1
s92_vc6,1,1
s93_vc6,1,1
s94_vc6,1,1
s95_vc6,1,1
s96_vc6,1,1
s97_vc6,1,1
s98_vc6,1,1
s99_vc6,1,1
s100_vc6,1,1
s101_vc6,1,1
s102_vc6,1,1
s103_vc6,1,1
s104_vc6,1,1
s105_vc6,1,1
s106_vc6,1,1
s107_vc6,1,1
s108_vc6,1,1
s109_vc6,1,1
s110_vc6,1,1
