,TotalReads,Number of barcodes,Ns_MinCutoff,Nb,Ns,AverageFrequency,CFU,Log10Ns,Log10CFU,CFU/Ns
vc66_iv1,344718,197,724,1697.710464,3919,256.5966514,16400,3.593175263,4.214843848,4.184741005
vc67_iv1,375573,197,704,1970.657092,3115,268.0116994,16400,3.493458051,4.214843848,5.264847512
vc1_iv1,841672,104,30.33333333,1.323623713,183.5,1766.317167,94000,2.263636069,4.973127854,512.2615804
vc10_iv1,140496,74,83.22222222,2.840513173,106.4545455,147.4388218,332,2.02716421,2.521138084,3.118701964
vc11_iv1,236378,121,93.30769231,8.406045954,247,583.443846,5800,2.392696953,3.763427994,23.48178138
vc12_iv1,229119,193,81,1.591420966,2613,3181.807802,40000,3.41713941,4.602059991,15.30807501
vc13_iv1,190911,78,47.66666667,3.853833984,117,601.1878051,4200,2.068185862,3.62324929,35.8974359
vc14_iv1,187954,86,68.27272727,8.704324542,131,447.9127281,3600,2.117271296,3.556302501,27.48091603
vc15_iv1,448613,184,428,350.7399494,1508,281.1187391,2.80E+08,3.178401342,8.447158031,185676.3926
vc16_iv1,77659,177,185,21.61498068,965,684.5305776,5.00E+06,2.984527313,6.698970004,5181.34715
vc17_iv1,180415,187,423,409.0646936,1669,328.754587,7.80E+07,3.222456337,7.892094603,46734.5716
vc18_iv1,131740,150,6.555555556,3.651564191,416,16931.1886,1200000,2.619093331,6.079181246,2884.615385
vc19_iv1,230822,184,238,14.25329381,1367,737.2842334,680000,3.135768515,5.832508913,497.4396489
vc2_iv1,265932,63,59.75,11.74741471,89.33333333,222.4355204,800,1.951013539,2.903089987,8.955223881
vc20_iv1,219257,191,433,379.8082408,2352,355.2770729,31000,3.371437317,4.491361694,13.18027211
vc21_iv1,101893,186,463,218.551525,1488,288.9619967,3000,3.172602931,3.477121255,2.016129032
vc22_iv1,152406,174,258,125.4552354,885,515.1877382,2600,2.946943271,3.414973348,2.937853107
vc23_iv1,165441,177,36.29411765,4.239471364,985,4619.661388,28000,2.99343623,4.447158031,28.42639594
vc24_iv1,65999,75,13.63157895,1.82724144,106,2227.032707,3800,2.025305865,3.579783597,35.8490566
vc25_iv1,168484,83,35.11764706,4.093643355,124.3333333,825.3396377,6200,2.094587577,3.792391689,49.86595174
vc26_iv1,218100,183,328.6666667,315.4197915,1267,322.936508,3.68E+08,3.102776615,8.565847819,290449.8816
vc27_iv1,260999,177,138.7777778,15.40168744,1066,1267.107695,7200000,3.027757205,6.857332496,6754.221388
vc28_iv1,246406,191,342,255.3828414,2372,472.3563555,8.60E+07,3.375114685,7.934498451,36256.32378
