Tube,CFU
s1_vc07,64000
s2_vc07,4
s3_vc07,2800
s4_vc07,3
s5_vc07,4400000
s6_vc07,1000
s7_vc07,72
s8_vc07,111
s9_vc07,77
s10_vc07,16
s11_vc07,122
s12_vc07,114
s13_vc07,134000
s14_vc07,5800
s15_vc07,1360000
s16_vc07,11200
s17_vc07,56000
s18_vc07,1600
s19_vc07,30000
s20_vc07,118000
s21_vc07,7400
s22_vc07,118000
s23_vc07,4200
s24_vc07,50000
s25_vc07,3000
s26_vc07,100
s27_vc07,400
s28_vc07,125
s29_vc07,2000000
s30_vc07,1020000
s31_vc07,21600000
s32_vc07,4260000
s33_vc07,3600000
s34_vc07,680000
s35_vc07,1200000
s36_vc07,54000
s37_vc07,12
s38_vc07,1
s39_vc07,1
s40_vc07,90000
s41_vc07,200
s42_vc07,16800
s43_vc07,1400000
s44_vc07,1400
s45_vc07,600
s56_vc09,14000
s57_vc09,50000
s58_vc09,1.26E+09
s59_vc09,1.26E+09
s60_vc09,1.26E+09
s20_vc10,19
s21_vc10,1800
s22_vc10,66000
s23_vc10,1800
s24_vc10,2200
s25_vc10,4400
s26_vc10,22000
s27_vc10,800
s28_vc10,42000
s29_vc10,72000
s30_vc10,60000
s31_vc10,80000
s32_vc10,200000
s33_vc10,1200
s34_vc10,326
s35_vc10,59
s36_vc10,20000000
s37_vc10,5200
s38_vc10,3200
s39_vc10,74000
s40_vc10,26
s41_vc10,1400000
s42_vc10,4
s43_vc10,600
s44_vc10,29
s45_vc10,1
s46_vc10,1
s47_vc10,1200
s48_vc10,1
s49_vc10,1100000
s50_vc10,260000
s51_vc10,34000
s52_vc10,66000
s53_vc10,257
s54_vc10,361
s55_vc10,4800000
s56_vc10,42000
s57_vc10,186000
s58_vc10,12200000
s59_vc10,3800
s60_vc10,440000
s61_vc10,460000
s62_vc10,58000
s63_vc10,4800
s64_vc10,2600
s22_vc11,37
s23_vc11,1
s24_vc11,1800
s25_vc11,1
s26_vc11,4
s27_vc11,25
s28_vc11,12
s29_vc11,16000
s30_vc11,7400
s31_vc11,60000
s32_vc11,4000
s33_vc11,2000
s34_vc11,8000
s35_vc11,480000
s36_vc11,2400
s37_vc11,15000000
s38_vc11,460000
s39_vc11,6200
s40_vc11,1240000
s41_vc11,600
s42_vc11,200
s43_vc11,340000
s44_vc11,14200000
s45_vc11,400000
s46_vc11,11800000
s47_vc11,1
s48_vc11,12
s49_vc11,1200
s50_vc11,2
s51_vc11,78000
s52_vc11,5200
s53_vc11,3200
s54_vc11,1000
s55_vc11,82000
s56_vc11,12000
s57_vc11,102000
s58_vc11,6200
s59_vc11,200
s60_vc11,200
s61_vc11,14000
s62_vc11,34000
