Sample,Group,Order
s1_vc07,1,1
s2_vc07,1,1
s3_vc07,1,1
s4_vc07,1,1
s5_vc07,1,1
s6_vc07,1,1
s7_vc07,1,1
s8_vc07,1,1
s9_vc07,1,1
s10_vc07,1,1
s11_vc07,1,1
s12_vc07,1,1
s13_vc07,1,1
s14_vc07,1,1
s15_vc07,1,1
s16_vc07,1,1
s17_vc07,1,1
s18_vc07,1,1
s19_vc07,1,1
s20_vc07,1,1
s21_vc07,1,1
s22_vc07,1,1
s23_vc07,1,1
s24_vc07,1,1
s25_vc07,1,1
s26_vc07,1,1
s27_vc07,1,1
s28_vc07,1,1
s29_vc07,1,1
s30_vc07,1,1
s31_vc07,1,1
s32_vc07,1,1
s33_vc07,1,1
s34_vc07,1,1
s35_vc07,1,1
s36_vc07,1,1
s37_vc07,1,1
s38_vc07,1,1
s39_vc07,1,1
s40_vc07,1,1
s41_vc07,1,1
s42_vc07,1,1
s43_vc07,1,1
s44_vc07,1,1
s45_vc07,1,1
s56_vc09,1,1
s57_vc09,1,1
s58_vc09,1,1
s59_vc09,1,1
s60_vc09,1,1
s20_vc10,1,1
s21_vc10,1,1
s22_vc10,1,1
s23_vc10,1,1
s24_vc10,1,1
s25_vc10,1,1
s26_vc10,1,1
s27_vc10,1,1
s28_vc10,1,1
s29_vc10,1,1
s30_vc10,1,1
s31_vc10,1,1
s32_vc10,1,1
s33_vc10,1,1
s34_vc10,1,1
s35_vc10,1,1
s36_vc10,1,1
s37_vc10,1,1
s38_vc10,1,1
s39_vc10,1,1
s40_vc10,1,1
s41_vc10,1,1
s42_vc10,1,1
s43_vc10,1,1
s44_vc10,1,1
s45_vc10,1,1
s46_vc10,1,1
s47_vc10,1,1
s48_vc10,1,1
s49_vc10,1,1
s50_vc10,1,1
s51_vc10,1,1
s52_vc10,1,1
s53_vc10,1,1
s54_vc10,1,1
s55_vc10,1,1
s56_vc10,1,1
s57_vc10,1,1
s58_vc10,1,1
s59_vc10,1,1
s60_vc10,1,1
s61_vc10,1,1
s62_vc10,1,1
s63_vc10,1,1
s64_vc10,1,1
s22_vc11,1,1
s23_vc11,1,1
s24_vc11,1,1
s25_vc11,1,1
s26_vc11,1,1
s27_vc11,1,1
s28_vc11,1,1
s29_vc11,1,1
s30_vc11,1,1
s31_vc11,1,1
s32_vc11,1,1
s33_vc11,1,1
s34_vc11,1,1
s35_vc11,1,1
s36_vc11,1,1
s37_vc11,1,1
s38_vc11,1,1
s39_vc11,1,1
s40_vc11,1,1
s41_vc11,1,1
s42_vc11,1,1
s43_vc11,1,1
s44_vc11,1,1
s45_vc11,1,1
s46_vc11,1,1
s47_vc11,1,1
s48_vc11,1,1
s49_vc11,1,1
s50_vc11,1,1
s51_vc11,1,1
s52_vc11,1,1
s53_vc11,1,1
s54_vc11,1,1
s55_vc11,1,1
s56_vc11,1,1
s57_vc11,1,1
s58_vc11,1,1
s59_vc11,1,1
s60_vc11,1,1
s61_vc11,1,1
s62_vc11,1,1
