"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s1_vc07",625273,1,1,0.843955929045833,1,1,64000,0,4.80617997398389,64000
"s10_vc07",198107,4,3.22222222222222,2.90303589875029,4.33333333333333,49.7393406552125,16,0.636822097587174,1.20411998265592,3.69230769230769
"s11_vc07",58570,4,4.15789473684211,2.75437751044058,4.15789473684211,7.23087580335206,122,0.618873490337613,2.08635983067475,29.3417721518987
"s12_vc07",182046,3,2.11111111111111,1.83739250351428,3.22222222222222,8.51172803645309,114,0.508155488459631,2.05690485133647,35.3793103448276
"s13_vc07",337806,7,6.88235294117647,2.16233477691347,8.05882352941176,12.0075910461558,134000,0.906271645778133,5.12710479836481,16627.7372262774
"s14_vc07",306090,5,5.44444444444444,3.99454364325409,5.44444444444444,8.63906475912738,5800,0.735953570589189,3.76342799356294,1065.30612244898
"s15_vc07",388949,6,5.21052631578947,2.46040011964978,6.26315789473684,13.4240359779741,1360000,0.796793360439702,6.13353890837022,217142.857142857
"s16_vc07",192565,2,2.11111111111111,0.578207517075104,2.11111111111111,3.82445780963569,11200,0.324511091513504,4.04921802267018,5305.26315789474
"s17_vc07",554090,2,2.11111111111111,3.42534412821698,2.11111111111111,2.08695892529621,56000,0.324511091513504,4.7481880270062,26526.3157894737
"s18_vc07",277534,2,2.11111111111111,2.20317729684602,2.11111111111111,2.3824748620693,1600,0.324511091513504,3.20411998265592,757.894736842105
"s19_vc07",565644,6,3.10526315789474,2.5963373632301,6.26315789473684,210.271225289409,30000,0.796793360439702,4.47712125471966,4789.91596638655
"s2_vc07",549642,1,1,0.550677765303578,1,1,4,0,0.602059991327962,4
"s20_vc07",549942,1,1,1.48106809494676,1,1,118000,0,5.07188200730613,118000
"s21_vc07",452524,3,1,2.03099984954648,3.22222222222222,29.2794818789013,7400,0.508155488459631,3.86923171973098,2296.55172413793
"s22_vc07",452487,1,1,1.48115498874394,1,1,118000,0,5.07188200730613,118000
"s23_vc07",296489,1,1,1.9579088503872,1,1,4200,0,3.6232492903979,4200
"s24_vc07",297348,1,1,1.48758701568498,1,1,50000,0,4.69897000433602,50000
"s25_vc07",487920,10,5.70588235294118,2.48442723005588,11.5882352941176,99.0357576003722,3000,1.06401730478332,3.47712125471966,258.883248730964
"s26_vc07",451699,14,12.1111111111111,4.33308407996428,15.4444444444444,27.0480655108378,100,1.18877229081477,2,6.47482014388489
"s27_vc07",428939,8,8.77777777777778,10.8005741801615,8.77777777777778,9.23174018375343,400,0.943384581851117,2.60205999132796,45.5696202531646
"s28_vc07",362088,15,11,1.44011518863065,16.5555555555556,51.5821775994128,125,1.21894375897295,2.09691001300806,7.5503355704698
"s29_vc07",444982,15,7.66666666666667,3.06544463620453,16.5555555555556,118.473020034428,2e+06,1.21894375897295,6.30102999566398,120805.369127517
"s3_vc07",458193,3,2.11111111111111,2.55989855861395,3.22222222222222,42.2132538856764,2800,0.508155488459631,3.44715803134222,868.965517241379
"s30_vc07",399503,66,50.3333333333333,22.1617218527093,91,213.092724726919,1020000,1.95904139232109,6.00860017176192,11208.7912087912
"s31_vc07",356197,26,26,0.959430388620963,28.5,83.4809926359394,21600000,1.45484486000851,7.33445375115093,757894.736842105
"s32_vc07",354152,24,9.23529411764706,4.74045241018786,28.0588235294118,271.864244308879,4260000,1.44806945766184,6.62940959910272,151823.899371069
"s33_vc07",560040,7,3.10526315789474,2.7650098338248,7.31578947368421,58.1249026015493,3600000,0.864261199301266,6.55630250076729,492086.330935252
"s34_vc07",530754,7,6.26315789473684,2.28754790242923,7.31578947368421,21.0276960938455,680000,0.864261199301266,5.83250891270624,92949.6402877698
"s35_vc07",613121,22,8.05882352941176,1.87555252187654,25.7058823529412,246.899589942705,1200000,1.41003251559215,6.07918124604763,46681.9221967963
"s36_vc07",624788,12,9.88888888888889,3.39099250713659,13.2222222222222,65.9280662627268,54000,1.12130445195321,4.73239375982297,4084.03361344538
"s37_vc07",395622,2,2.11111111111111,1.50080383315328,2.11111111111111,3.32154185728918,12,0.324511091513504,1.07918124604762,5.68421052631579
"s38_vc07",277705,1,1,1.23369086555898,1,1,1,0,0,1
"s39_vc07",114147,1,1,1.23417478870025,1,1,1,0,0,1
"s4_vc07",270064,3,2.11111111111111,1.07282762235122,3.22222222222222,73.5438153260369,3,0.508155488459631,0.477121254719662,0.931034482758621
"s40_vc07",227421,1,1,1.25603369934167,1,1,90000,0,4.95424250943933,90000
"s41_vc07",23362,14,7.66666666666667,6.46985839467312,15.4444444444444,75.278923405078,200,1.18877229081477,2.30102999566398,12.9496402877698
"s42_vc07",329388,3,3.22222222222222,4.55156269521766,3.22222222222222,3.06447324753434,16800,0.508155488459631,4.22530928172586,5213.79310344828
"s43_vc07",567018,1,1,1.23271051892676,1,1,1400000,0,6.14612803567824,1400000
"s44_vc07",274952,6,5.44444444444444,2.39784608024106,6.55555555555556,11.8715432028112,1400,0.816609502202819,3.14612803567824,213.559322033898
