barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s1_vc07,s10_vc07,s11_vc07,s12_vc07,s13_vc07,s14_vc07,s15_vc07,s16_vc07,s17_vc07,s18_vc07,s19_vc07,s2_vc07,s20_vc07,s21_vc07,s22_vc07,s23_vc07,s24_vc07,s25_vc07,s26_vc07,s27_vc07,s28_vc07,s29_vc07,s3_vc07,s30_vc07,s31_vc07,s32_vc07,s33_vc07,s34_vc07,s35_vc07,s36_vc07,s37_vc07,s38_vc07,s39_vc07,s4_vc07,s40_vc07,s41_vc07,s42_vc07,s43_vc07,s44_vc07,s45_vc07,s5_vc07,s6_vc07,s7_vc07,s8_vc07,s9_vc07,s58_vc09,s59_vc09,s60_vc09,s56_vc09,s57_vc09,s20_vc10,s21_vc10,s22_vc10,s23_vc10,s24_vc10,s25_vc10,s26_vc10,s27_vc10,s28_vc10,s29_vc10,s30_vc10,s31_vc10,s32_vc10,s33_vc10,s34_vc10,s35_vc10,s36_vc10,s37_vc10,s38_vc10,s39_vc10,s40_vc10,s41_vc10,s42_vc10,s43_vc10,s44_vc10,s45_vc10,s46_vc10,s47_vc10,s48_vc10,s49_vc10,s50_vc10,s51_vc10,s52_vc10,s53_vc10,s54_vc10,s55_vc10,s56_vc10,s57_vc10,s58_vc10,s59_vc10,s60_vc10,s61_vc10,s62_vc10,s63_vc10,s64_vc10,s22_vc11,s23_vc11,s24_vc11,s25_vc11,s26_vc11,s27_vc11,s28_vc11,s29_vc11,s30_vc11,s31_vc11,s32_vc11,s33_vc11,s34_vc11,s35_vc11,s36_vc11,s37_vc11,s38_vc11,s39_vc11,s40_vc11,s41_vc11,s42_vc11,s43_vc11,s44_vc11,s45_vc11,s46_vc11,s47_vc11,s48_vc11,s49_vc11,s50_vc11,s51_vc11,s52_vc11,s53_vc11,s54_vc11,s55_vc11,s56_vc11,s57_vc11,s58_vc11,s59_vc11,s60_vc11,s61_vc11,s62_vc11
lm1 mapping,659,4141,2558,3201,1,8,1,0,0,7,0,0,1,5,0,2,1,0,8,1,0,2,15,0,1,0,1,26059,2757,1,0,21791,3,1,0,12,4,3,2,0,8,0,0,0,0,9,1,0,0,1050,1666,1364,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,158,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,1150,0
lm2 mapping,373,2082,519,438,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,2294,0
lm3 mapping,928,5573,1457,3810,3,4,1,1,0,159950,1,0,3,0,1,2,2,0,57,0,0,0,3,3,2,1,2,102,0,0,0,2,3,3,2,83,0,0,1,0,2,0,2,697,0,53,0,0,1,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,10,0,40,0,0,0,195274,0,0,0,0,134438,0,2871,0
lm4 mapping,956,7598,3760,1751,0,3,3,1,0,0,1,0,0,1,4,1,4,0,0,0,1,0,3,3,6,0,3,18,30,2,2,3,3,4475,0,0,1,4,5,0,1,4,4,0,0,0,1,0,0,0,1170,2774,0,0,0,0,0,0,0,0,0,0,2398,0,0,0,0,44,0,0,11,21,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7275,0,0,0,0,0,10,0,22,0,0,7,0,0,0,0,0,0,0,4230,0
lm5 mapping,1026,6223,1237,2168,0,16,2,2,0,0,0,0,0,63448,4,27,1,4,0,1,1,0,44,4,2,1,3,0,3,5,0,49,1,2,0,0,1,2,0,0,22,1,1,1040,0,0,1,0,2,2011,2761,719,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,157,0,23,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,57088,0,7822,0,236654,0,0,0,156186,0,0,0,0,1095,628706
lm6 mapping,728,4382,0,534,0,1,1,2,0,1,0,0,0,1,2,1,1,0,0,0,1,2,1,0,0,0,1,1991,1,2,1,1,5,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,814,0,567,0,0,0,0,0,0,0,0,0,0,16,0,14,0,0,112,0,1465,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6977,0,0,2,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1829,0,0,0,4,0,0,6,0,15,0,0,0,0,0,283,0,0,0,0,1887,0
lm7 mapping,771,6260,1150,2731,1,3,1,1,0,1,1,0,0,2,2,1,1,0,0,0,1,2,3,0,3,0,1,0,0,1,0,1,3,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775994,0,714959,0,0,0,408463,0,161871,0,0,391342,962,0,457870,16435,0,918229,0,0,0,0,0,524,0,0,0,0,0,1272,0,23,0,0,544,0
lm8 mapping,95,527,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,0,4,0,0,0
lm9 mapping,663,3113,292,1250,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,1,0,1,2,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,5,0,0,0,0,0,0,0,2562,0
lm10 mapping,695,4101,827,7808,0,1,0,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,671,5463,3616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2276,0,0,0,0,0,0,4,0,11,0,0,3,0,0,0,0,0,0,0,4739,0
