"","vc1","vc2","vc3","vc4","vc5","vc6","vc7","vc8","vc9","vc10","vc11","vc12","vc13","vc14","vc15","vc16","vc17","vc18","vc19","vc20","vc21","vc22","vc23","vc24","vc25","vc26","vc27","vc28","vc29","vc30","vc31","vc32","vc33","vc34","vc35","vc36","vc37","vc38","vc39","vc40","vc41","vc42","vc43","vc44","vc45","vc46","vc47","vc48","vc49","vc50","vc51","vc52","vc53","vc54","vc55","vc56","s1_vc5","s2_vc5","s3_vc5","s4_vc5","s5_vc5","s6_vc5","s7_vc5","s8_vc5","s9_vc5","s10_vc5","s11_vc5","s12_vc5","s13_vc5","s14_vc5","s15_vc5","s16_vc5","s17_vc5","s18_vc5","s19_vc5","s20_vc5","s21_vc5","s22_vc5","s23_vc5","s24_vc5","s25_vc5","s26_vc5","s27_vc5","s28_vc5","s29_vc5","s30_vc5","s31_vc5","s32_vc5","s33_vc5","s34_vc5"
"vc1",1,0.993193686620023,0,0.262649535037194,0,0,0,0,0,0,0,0.899024133844798,0,0,0,0,0,0,0,0.744921859773347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27894294565113,0,0,0,0,0,0,0.922813697455414,0.832058390706038,0.594316128917787,0.333333333333333,0,0,0.843932126754913,0,0.903729814265874,0.858365853144473,0,0,0,0,0,0,0,0,0.356207187108022,0.783091851446946,0.578129652635776,0.924712687084787,0,0.876976584523819,0,0,0,0,0,0,0,0.698555495458714,0.663194188372511,0,0,0.895261158755207,0,0,0,0.706226740099915,0.568060967173733,0.44211410869774,0.67118774147124,0.782011483099541,0,0.458156909991326,0.511916049619631,0.995104079230508
"vc2",1,1,0,0,0,0,0,0,0,0,0,0.899024133844798,0,0,0,0,0,0,0,0.710836104806328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0,0.44211410869774,0,0,0,0,0,0,0.922813697455414,0.850251938440372,0.594316128917787,0.333333333333333,0,0,0.843932126754913,0,0.919473145928692,0.858365853144473,0,0,0,0,0,0,0,0,0.356207187108022,0.783091851446946,0.578129652635776,0.924712687084787,0,0.893381286415458,0,0,0,0,0,0,0,0.698555495458714,0.663194188372511,0,0,0.959281643149133,0,0,0,0.608523213388275,0.568060967173733,0.44211410869774,0.578129652635776,0.782011483099541,0,0.458156909991326,0.511916049619631,1
"vc3",0,0,1,0.416289663865799,1,0.792481250360578,1,1,1,0.5,0,0.482994938491779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc4",0.131970886522892,0,0.682606194485985,1,0.630929753571457,1,0,0,0,0.792481250360578,0.630929753571457,0.719612276340233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc5",0,0,0.682606194485985,0.262649535037194,1,0.5,1,1,1,0.5,0,0.329695336919866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc6",0,0,0.682606194485985,0.525299070074387,0.630929753571457,1,0,0,0,0.5,0,0.329695336919866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc7",0,0,0.430676558073393,0,0.630929753571457,0,1,1,1,0,0,0.208014597676509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc8",0,0,0.430676558073393,0,0.630929753571457,0,1,1,1,0,0,0.208014597676509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc9",0,0,0.430676558073393,0,0.630929753571457,0,1,1,1,0,0,0.208014597676509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc10",0,0,0.430676558073393,0.416289663865799,0.630929753571457,0.5,0,0,0,1,0,0.329695336919866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
