"","vc1","vc2","vc3","vc4","vc5","vc6","vc7","vc8","vc9","vc10","vc11","vc12","vc13","vc14","vc15","vc16","vc17","vc18","vc19","vc20","vc21","vc22","vc23","vc24","vc25","vc26","vc27","vc28","vc29","vc30","vc31","vc32","vc33","vc34","vc35","vc36","vc37","vc38","vc39","vc40","vc41","vc42","vc43","vc44","vc45","vc46","vc47","vc48","vc49","vc50","vc51","vc52","vc53","vc54","vc55","vc56","s1_vc5","s2_vc5","s3_vc5","s4_vc5","s5_vc5","s6_vc5","s7_vc5","s8_vc5","s9_vc5","s10_vc5","s11_vc5","s12_vc5","s13_vc5","s14_vc5","s15_vc5","s16_vc5","s17_vc5","s18_vc5","s19_vc5","s20_vc5","s21_vc5","s22_vc5","s23_vc5","s24_vc5","s25_vc5","s26_vc5","s27_vc5","s28_vc5","s29_vc5","s30_vc5","s31_vc5","s32_vc5","s33_vc5","s34_vc5"
"vc1",190,190,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,15,4,1,0,0,11,0,18,17,0,0,0,0,0,0,0,0,1,6,3,30,0,17,0,0,0,0,0,0,0,5,7,0,0,31,0,0,0,7,4,2,4,9,0,2,3,190
"vc2",190,197,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,27,16,4,1,0,0,11,0,19,17,0,0,0,0,0,0,0,0,1,6,3,30,0,18,0,0,0,0,0,0,0,5,7,0,0,40,0,0,0,5,4,2,3,9,0,2,3,195
"vc3",0,0,4,2,2,2,1,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc4",1,0,2,13,1,3,0,0,0,2,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc5",0,0,2,1,2,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc6",0,0,2,3,1,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc7",0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc8",0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc9",0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vc10",0,0,1,2,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
