Tube,CFU
vc1,2.98E+08
vc2,2.98E+08
vc3,6
vc4,100
vc5,1200
vc6,62000
vc7,62000
vc8,3200000
vc9,11000
vc10,180000
vc11,64000
vc12,104000
vc13,800000
vc14,20
vc15,7
vc16,26000
vc17,32000
vc18,4200000
vc19,2800000
vc20,3000000
vc21,3800
vc22,3200000
vc23,200
vc24,620000
vc25,1800000
vc26,120000
vc27,6200000
vc28,400000
vc29,34000
vc30,620000
vc31,96000
vc32,31
vc33,48
vc34,87
vc35,1800
vc36,340000
vc37,34000
vc38,1800
vc39,3400000
vc40,380000
vc41,15
vc42,640000
vc43,120000
vc44,128000
vc45,200
vc46,82000
vc47,11400
vc48,400
vc49,2080000
vc50,42000
vc51,700000
vc52,6800000
vc53,1
vc54,40
vc55,3
vc56,7
s1_vc5,200000
s2_vc5,6600000
s3_vc5,3000
s4_vc5,7
s5_vc5,12
s6_vc5,280000
s7_vc5,680
s8_vc5,324000
s9_vc5,500000
s10_vc5,40000
s11_vc5,1160000
s12_vc5,260000
s13_vc5,2200000
s14_vc5,7400
s15_vc5,5
s16_vc5,3
s17_vc5,20000
s18_vc5,505
s19_vc5,40000
s20_vc5,540000
s21_vc5,1200
s22_vc5,34000000
s23_vc5,78000
s24_vc5,64000
s25_vc5,6
s26_vc5,770
s27_vc5,12000
s28_vc5,3400000
s29_vc5,22000
s30_vc5,10400000
s31_vc5,220000
s32_vc5,940000
s33_vc5,56000000
s34_vc5,9.60E+08
