Sample,Group,Order
vc1,1,1
vc2,1,1
vc3,1,1
vc4,1,1
vc5,1,1
vc6,1,1
vc7,1,1
vc8,1,1
vc9,1,1
vc10,1,1
vc11,1,1
vc12,1,1
vc13,1,1
vc14,1,1
vc15,1,1
vc16,1,1
vc17,1,1
vc18,1,1
vc19,1,1
vc20,1,1
vc21,1,1
vc22,1,1
vc23,1,1
vc24,1,1
vc25,1,1
vc26,1,1
vc27,1,1
vc28,1,1
vc29,1,1
vc30,1,1
vc31,1,1
vc32,1,1
vc33,1,1
vc34,1,1
vc35,1,1
vc36,1,1
vc37,1,1
vc38,1,1
vc39,1,1
vc40,1,1
vc41,1,1
vc42,1,1
vc43,1,1
vc44,1,1
vc45,1,1
vc46,1,1
vc47,1,1
vc48,1,1
vc49,1,1
vc50,1,1
vc51,1,1
vc52,1,1
vc53,1,1
vc54,1,1
vc55,1,1
vc56,1,1
s1_vc5,1,1
s2_vc5,1,1
s3_vc5,1,1
s4_vc5,1,1
s5_vc5,1,1
s6_vc5,1,1
s7_vc5,1,1
s8_vc5,1,1
s9_vc5,1,1
s10_vc5,1,1
s11_vc5,1,1
s12_vc5,1,1
s13_vc5,1,1
s14_vc5,1,1
s15_vc5,1,1
s16_vc5,1,1
s17_vc5,1,1
s18_vc5,1,1
s19_vc5,1,1
s20_vc5,1,1
s21_vc5,1,1
s22_vc5,1,1
s23_vc5,1,1
s24_vc5,1,1
s25_vc5,1,1
s26_vc5,1,1
s27_vc5,1,1
s28_vc5,1,1
s29_vc5,1,1
s30_vc5,1,1
s31_vc5,1,1
s32_vc5,1,1
s33_vc5,1,1
s34_vc5,1,1
