"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"vc1",152746,190,704,1404.26250863559,2171,238.000632019538,2.98e+08,3.33665982345442,8.47421626407625,137263.933671119
"vc2",46823,197,724,1376.46796151787,3859,256.681759129724,2.98e+08,3.5864747785714,8.47421626407625,77222.0782586162
"vc10",128621,3,3.22222222222222,3.62752842671134,3.22222222222222,5.87936570040059,180000,0.508155488459631,5.25527250510331,55862.0689655172
"vc11",207539,2,2.05263157894737,3.03436338060647,2.05263157894737,3.13092476808418,64000,0.31231100607367,4.80617997398389,31179.4871794872
"vc12",259975,27,4.15789473684211,0.451182783422655,30.3333333333333,944.089236401839,104000,1.48192013760143,5.01703333929878,3428.57142857143
"vc13",151790,1,1,0.24898128881478,1,1,8e+05,0,5.90308998699194,8e+05
"vc14",53300,2,2.17647058823529,2.02217098152995,2.17647058823529,4.19691601422383,20,0.337752802688721,1.30102999566398,9.18918918918919
"vc15",57255,1,1,1.85892872882239,1,1,7,0,0.845098040014257,7
"vc16",29006,1,1,1.79463411595342,1,1,26000,0,4.41497334797082,26000
"vc17",220171,10,5.44444444444444,3.97854104202192,11,44.15365214608,32000,1.04139268515823,4.50514997831991,2909.09090909091
"vc18",177735,1,1,1.77767101058694,1,1,4200000,0,6.6232492903979,4200000
"vc19",225364,1,1,1.30406803689204,1,1,2800000,0,6.44715803134222,2800000
"vc20",308443,21,3.35294117647059,1.74704636030772,24.75,2227.23475009292,3e+06,1.39357520326959,6.47712125471966,121212.121212121
"vc21",17512,1,1,1.86274306022201,1,1,3800,0,3.57978359661681,3800
"vc22",287568,3,2.11111111111111,1.60047054308636,3.22222222222222,6.10226775928157,3200000,0.508155488459631,6.50514997831991,993103.448275862
"vc23",69565,7,7.31578947368421,5.05107950929639,7.31578947368421,8.1774475489458,200,0.864261199301266,2.30102999566398,27.3381294964029
"vc24",34311,2,2.05263157894737,1.00899065783778,2.05263157894737,4.65099919684214,620000,0.31231100607367,5.79239168949825,302051.282051282
"vc25",374951,6,2.11111111111111,2.71021198582459,6.55555555555556,76.4687153360048,1800000,0.816609502202819,6.25527250510331,274576.271186441
"vc26",191004,7,2.11111111111111,1.73377628711132,7.66666666666667,324.764651655934,120000,0.88460658129793,5.07918124604763,15652.1739130435
"vc27",259533,1,1,1.20011453474894,1,1,6200000,0,6.79239168949825,6200000
"vc28",320347,8,5.44444444444444,2.18109553013662,8.77777777777778,31.6659098345739,4e+05,0.943384581851117,5.60205999132796,45569.6202531646
"vc29",182759,1,1,1.18497880793935,1,1,34000,0,4.53147891704226,34000
"vc3",48973,4,4.33333333333333,2.54596379975852,4.33333333333333,4.43206587502282,6,0.636822097587174,0.778151250383644,1.38461538461538
"vc30",198846,3,3.35294117647059,2.6769872846915,3.35294117647059,4.12366229061574,620000,0.525425934294217,5.79239168949825,184912.280701754
"vc31",386385,1,1,2.78830166252957,1,1,96000,0,4.98227123303957,96000
"vc32",25889,1,1,1.19775323915534,1,1,31,0,1.49136169383427,31
"vc33",149855,2,1,1.22798908414581,2.17647058823529,7.65002691826839,48,0.337752802688721,1.68124123737559,22.0540540540541
"vc34",38922,9,4.52941176470588,1.85468815519908,10.4117647058824,70.7401559987988,87,1.01752434498353,1.93951925261862,8.35593220338983
"vc35",162862,4,4.52941176470588,3.21365224322212,4.52941176470588,8.20948363343429,1800,0.656041803794208,3.25527250510331,397.402597402597
"vc36",152237,11,4.33333333333333,1.52450561613392,12.1111111111111,138.584306531966,340000,1.0831839885013,5.53147891704226,28073.3944954128
"vc37",115711,2,2.05263157894737,2.18219992708259,2.05263157894737,2.19412449688837,34000,0.31231100607367,4.53147891704226,16564.1025641026
"vc38",222500,1,1,1.41279811335737,1,1,1800,0,3.25527250510331,1800
"vc39",372195,1,1,1.41243775478135,1,1,3400000,0,6.53147891704226,3400000
"vc4",103390,13,5.21052631578947,2.10151379515658,13.6315789473684,147.648015620926,100,1.13454616312842,2,7.33590733590734
"vc40",54637,2,2.11111111111111,2.212863366839,2.11111111111111,2.46162347178446,380000,0.324511091513504,5.57978359661681,180000
"vc41",182900,3,3.22222222222222,2.01170315158264,3.22222222222222,3.37011987853585,15,0.508155488459631,1.17609125905568,4.6551724137931
"vc42",241221,5,1,0.493456403355993,5.44444444444444,187.28782414303,640000,0.735953570589189,5.80617997398389,117551.020408163
"vc43",288940,36,5.44444444444444,1.78159563079814,42.25,6950.95086399334,120000,1.62582671328571,5.07918124604763,2840.23668639053
"vc44",265592,27,7.66666666666667,6.54884405358507,31,618.021042675486,128000,1.49136169383427,5.10720996964787,4129.03225806452
"vc45",85614,14,4.33333333333333,3.16254825858771,15.4444444444444,262.060662104064,200,1.18877229081477,2.30102999566398,12.9496402877698
