barcode,s61_vc12,s40_vc16,s41_vc16,vc1,vc2,vc10,vc11,vc12,vc13,vc14,vc15,vc16,vc17,vc18,vc19,vc20,vc21,vc22,vc23,vc24,vc25,vc26,vc27,vc28,vc29,vc3,vc30,vc31,vc32,vc33,vc34,vc35,vc36,vc37,vc38,vc39,vc4,vc40,vc41,vc42,vc43,vc44,vc45,vc46,vc47,vc48,vc49,vc5,vc50,vc51,vc52,vc53,vc54,vc55,vc56,vc6,vc7,vc8,vc9,s34_vc5,s1_vc5,s2_vc5,s3_vc5,s4_vc5,s5_vc5,s6_vc5,s7_vc5,s8_vc5,s9_vc5,s10_vc5,s11_vc5,s12_vc5,s13_vc5,s14_vc5,s15_vc5,s16_vc5,s17_vc5,s18_vc5,s19_vc5,s20_vc5,s21_vc5,s22_vc5,s23_vc5,s24_vc5,s25_vc5,s26_vc5,s27_vc5,s28_vc5,s29_vc5,s30_vc5,s31_vc5,s32_vc5,s33_vc5
lm1 mapping,4141,2558,3201,659,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,594,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
lm2 mapping,2082,519,438,373,90,2587,17,28302,30,3,200,35,76,1,12,34,3,1,141,30,134,6,7,39,17,11094,2,379,26,79,4,16,32,6,2,339,39,67,148,2,40,57,11,1,482,46,166,13426,4,8,50,8,1,169,23,1518,286703,50360,96851,310,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
lm3 mapping,5573,1457,3810,928,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,708,3,0,0,0,0,0,39,0,2,0,3,0,0,0,54,0,1,57,0,0,0,0,57,0,3,0,0,0,0,0,95,1,45
lm4 mapping,7598,3760,1751,956,314,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,2,96,0,0,0,0,0,0,0,0,0,1148,6,2,0,2,0,5,2,2184,6,1916,9,1,0,1,1,0,2,2,0,1,0,89,2,2,5,1,0,2,1,4,1,2,2
lm5 mapping,6223,1237,2168,1026,343,0,2,0,0,0,0,0,1,0,1285,0,0,0,1,0,0,0,5,0,0,2,0,0,0,0,0,4,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,980,0,0,0,1,0,0,0,0,1,1196,3,2,0,0,1,3,0,2,1,2,0,0,1,2,0,1,5,9,0,0,1,16,0,1,1,1,0,0,2,4,0,5,2
lm6 mapping,4382,0,534,728,234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,3,1,8,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1
lm7 mapping,6260,1150,2731,771,205,0,264,0,0,1,9,0,2724,0,219269,0,0,1,9902,2,5,1,280,0,1,139,0,21,0,1,0,188,0,0,0,7,0,0,4,0,419,0,0,0,17,0,7,0,0,222,0,1,0,3,0,0,9,0,0,756,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,4,0,0,0,822,0,1,0,0,0,0,0,0,0,0,0
lm8 mapping,527,0,0,95,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm9 mapping,3113,292,1250,663,171,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,283,0,0,0,1,0,0,0,1,0,0,0
lm10 mapping,4101,827,7808,695,183,0,2,1,0,0,0,0,45,0,13,0,1,0,0,0,69,0,5,0,1,3,0,1,0,34,0,4,0,2,0,0,0,0,60,0,4165,0,913,45,747,143,36512,1,9,9,186,0,0,3,0,0,1,0,71,573,4,2,0,1,0,0,13472,68,0,4620,3,0,5,0,8,0,0,3,0,0,0,35,3,1,0,6,0,0,1,0,6,3,0
lm11 mapping,9090,2190,3872,1738,467,1,24,0,0,0,0,0,2,0,37,0,0,0,0,0,3,0,28,0,0,11,0,0,0,1,1,27,0,0,0,0,0,0,3,1,22692,5,0,0,10,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1466,2,1,0,0,0,17949,247,11200,3,0,1,0,3,9,4,5,0,193,0,0,1,9,5,5,4,1,0,0,2,7,4,8,1
lm12 mapping,6268,2498,953,1355,390,13,261,176,136,53,5,15,105,15,251,137,99,80,3,12,25087,106,257504,228583,182198,184,95582,3021,25736,146292,30082,70563,210,161,93,35,118,30,210,37,430,248,162,84,107,17,18466,96,15,730,294,110,69,5,17,79,0,28,106,996,1,17,0,0,1,4,6,3,2,31,0,0,2,2,11,2,0,56,0,0,0,1,7,2,3,32,0,0,1,250,11,4856,1
