"","s58_vc09","s59_vc09","s60_vc09","s1_vc10","s10_vc10","s11_vc10","s12_vc10","s13_vc10","s14_vc10","s15_vc10","s16_vc10","s17_vc10","s18_vc10","s19_vc10","s2_vc10","s3_vc10","s4_vc10","s5_vc10","s6_vc10","s7_vc10","s8_vc10","s9_vc10","s63_vc11","s64_vc11","s46_vc16","s47_vc16","s48_vc16","s49_vc16","s50_vc16","s51_vc16","s52_vc16","s53_vc16","s54_vc16","s55_vc16","s56_vc16","s57_vc16","s58_vc16","s59_vc16","s60_vc16","s61_vc16","s62_vc16","s63_vc16","s64_vc16","s43_vc17","s44_vc17","s45_vc17","s46_vc17","s47_vc17","s48_vc17","s49_vc17","s50_vc17","s51_vc17","s52_vc17","s53_vc17","s54_vc17","s55_vc17","s56_vc17","s57_vc17","s58_vc17","s59_vc17","s60_vc17"
"s58_vc09","0","0.511409678845797","0.521375772714925","0.826489980148265","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.842670789551753","0.823464497031106","0.873646918019188","0.865468346065664","0.858990099999482","0.858990099999482","0.858990099999482","0.858990099999482","0.407738065116138","0.407185554604696","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.887234905964941","0.900316316157106","0.866266314029381","0.891274957005169","0.846300744202748","0.854551113754881","0.844149178918398","0.854551113754881","0.854551113754881","0.854551113754881","0.855157417741328","0.849672823698751","0.848022998914057","0.854551113754881","0.855618036041946","0.854551113754881","0.849409148202276","0.850388604526604","0.854551113754881","0.853170580792033","0.851084809063746","0.847357391252072"
"s59_vc09","0.511409678845797","0","0.49690004177953","0.834938286911458","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.817734398805705","0.853653424907772","0.855960382907012","0.900316316157106","0.844402501941954","0.844402501941954","0.844402501941954","0.844402501941954","0.407089584898734","0.408608676453853","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.882678012600579","0.900316316157106","0.862503174751262","0.88302328162965","0.893594353423659","0.900316316157106","0.889419670211955","0.900316316157106","0.900316316157106","0.900316316157106","0.884416581134373","0.896677267851802","0.895250781897672","0.900316316157106","0.894763766127872","0.900316316157106","0.89645777426598","0.897258920383938","0.900316316157106","0.834500031814079","0.834410295337349","0.827481061911722"
"s60_vc09","0.521375772714925","0.49690004177953","0","0.786392106691736","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.820504577800194","0.837869431293117","0.875038098977248","0.877681277638391","0.854222069875629","0.854222069875629","0.854222069875629","0.854222069875629","0.361000733258635","0.360743477551793","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.848538241915167","0.829552484845713","0.848538241915167","0.830058398785449","0.828793866131748","0.866880815992005","0.87200203703632","0.863275931089488","0.87200203703632","0.87200203703632","0.87200203703632","0.854878112743289","0.868975550189016","0.867951232839069","0.87200203703632","0.864747038253476","0.87200203703632","0.868811890890874","0.869419757574128","0.87200203703632","0.860710526427853","0.828575606175089","0.852893252452432"
"s1_vc10","0.826489980148265","0.834938286911458","0.786392106691736","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.746571367584675","0.793608084525433","0.740962009437002","0.558825432858826","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.800139376852137","0.801553944118535","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.890227702337105","0.900316316157106","0.900316316157106","0.900316316157106","0.819374774254162","0.900316316157106","0.900316316157106","0.900316316157106","0.864363034378632","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.757022778082202","0.900316316157106"
"s10_vc10","0.858990099999482","0.844402501941954","0.854222069875629","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0","0","0","0.854212553318338","0.855974995681813","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106"
"s11_vc10","0.858990099999482","0.844402501941954","0.854222069875629","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0","0","0","0.854212553318338","0.855974995681813","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106"
"s12_vc10","0.858990099999482","0.844402501941954","0.854222069875629","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0","0","0","0.854212553318338","0.855974995681813","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106"
"s13_vc10","0.858990099999482","0.844402501941954","0.854222069875629","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0","0","0","0.854212553318338","0.855974995681813","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106"
"s14_vc10","0.858990099999482","0.844402501941954","0.854222069875629","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0","0","0","0.854212553318338","0.855974995681813","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106"
"s15_vc10","0.858990099999482","0.844402501941954","0.854222069875629","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0","0","0","0.854212553318338","0.855974995681813","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106"
"s16_vc10","0.858990099999482","0.844402501941954","0.854222069875629","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0","0","0","0","0.854212553318338","0.855974995681813","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106","0.900316316157106"
