Tube,CFU,,,,,,,
s58_vc09,1260000000,,,,,,,
s59_vc09,1260000000,,,,,,,
s60_vc09,1260000000,,,,,,,
s1_vc10,2000,,,,,,,
s10_vc10,8,,,,,,,
s11_vc10,24,,,,,,,
s12_vc10,1,,,,,,,
s13_vc10,5,,,,,,,
s14_vc10,7,,,,,,,
s15_vc10,1,,,,,,,
s16_vc10,3,,,,,,,
s17_vc10,10,,,,,,,
s18_vc10,4,,,,,,,
s19_vc10,107,,,,,,,
s2_vc10,700,,,,,,,
s3_vc10,2,,,,,,,
s4_vc10,137,,,,,,,
s5_vc10,5,,,,,,,
s6_vc10,1500,,,,,,,
s7_vc10,250,,,,,,,
s8_vc10,200,,,,,,,
s9_vc10,345,,,,,,,
s63_vc11,1000,,,,,,,
s64_vc11,1000,,,,,,,
s46_vc16,2400000,,,,,,,
s47_vc16,120000,,,,,,,
s48_vc16,56000,,,,,,,
s49_vc16,9,,,,,,,
s50_vc16,18,,,,,,,
s51_vc16,700000,,,,,,,
s52_vc16,10,,,,,,,
s53_vc16,13,,,,,,,
s54_vc16,12,,,,,,,
s55_vc16,6600,,,,,,,
s56_vc16,2,,,,,,,
s57_vc16,4,,,,,,,
s58_vc16,40,,,,,,,
s59_vc16,2200,,,,,,,
s60_vc16,147,,,,,,,
s61_vc16,16,,,,,,,
s62_vc16,4200,,,,,,,
s63_vc16,240000,,,,,,,
s64_vc16,66000,,,,,,,
s43_vc17,740000,,,,,,,
s44_vc17,740000,,,,,,,
s45_vc17,560000,,,,,,,
s46_vc17,3000,,,,,,,
s47_vc17,140,,,,,,,
s48_vc17,168,,,,,,,
s49_vc17,58,,,,,,,
s50_vc17,75,,,,,,,
s51_vc17,64,,,,,,,
s52_vc17,58000,,,,,,,
s53_vc17,29,,,,,,,
s54_vc17,6,,,,,,,
s55_vc17,4,,,,,,,
s56_vc17,97,,,,,,,
s57_vc17,1600,,,,,,,
s58_vc17,1,,,,,,,
s59_vc17,160000,,,,,,,
s60_vc17,300000,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
