"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s58_vc09",176123,117,176,147.415502021176,238,168.505088905942,1.26e+09,2.37657695705651,9.10037054511756,5294117.64705882
"s59_vc09",200833,131,208,167.045322161324,307,189.189411818455,1.26e+09,2.48713837547719,9.10037054511756,4104234.5276873
"s60_vc09",233251,129,206.25,187.989310667642,272,178.942559237284,1.26e+09,2.4345689040342,9.10037054511756,4632352.94117647
"s1_vc10",35729,9,8.36842105263158,3.47060604138196,9.42105263157895,14.3708422414142,2000,0.974099430027064,3.30102999566398,212.290502793296
"s10_vc10",23572,1,1,2.45136785746749,1,1,8,0,0.903089986991944,8
"s11_vc10",37370,1,1,2.45127393238511,1,1,24,0,1.38021124171161,24
"s12_vc10",953,1,1,2.46268518146927,1,1,1,0,0,1
"s13_vc10",15539,1,1,2.45149965236331,1,1,5,0,0.698970004336019,5
"s14_vc10",15906,1,1,2.45180361476583,1,1,7,0,0.845098040014257,7
"s15_vc10",772,1,1,2.46539707263459,1,1,1,0,0,1
"s16_vc10",4836,1,1,2.45235592389335,1,1,3,0,0.477121254719662,3
"s17_vc10",19747,1,1,2.45141723843605,1,1,10,0,1,10
"s18_vc10",39733,1,1,2.45126417172419,1,1,4,0,0.602059991327962,4
"s19_vc10",21720,1,1,2.45138959476526,1,1,107,0,2.02938377768521,107
"s2_vc10",54236,38,18.6470588235294,2.2667647096436,44.0769230769231,366.99853145017,700,1.64421126966055,2.84509804001426,15.8813263525305
"s3_vc10",48123,2,2.17647058823529,2.9432526169619,2.17647058823529,2.00200463469416,2,0.337752802688721,0.301029995663981,0.918918918918919
"s4_vc10",39739,1,1,2.30860633330278,1,1,137,0,2.13672056715641,137
"s5_vc10",16346,1,1,0.735379010873194,1,1,5,0,0.698970004336019,5
"s6_vc10",29591,1,1,2.45131600420852,1,1,1500,0,3.17609125905568,1500
"s7_vc10",26425,1,1,2.45134033404468,1,1,250,0,2.39794000867204,250
"s8_vc10",23810,1,1,2.45157435062737,1,1,200,0,2.30102999566398,200
"s9_vc10",34573,1,1,2.45143069501326,1,1,345,0,2.53781909507327,345
"s63_vc11",437993,195,684,2539.29435341762,3497,252.40686972914,1000,3.54369563230924,3,0.285959393766085
"s64_vc11",415065,195,710.666666666667,2531.63418912361,3618,254.57669564293,1000,3.5584685625238,3,0.276395798783859
"s46_vc16",995045,1,1,0.615349216528481,1,1,2400000,0,6.38021124171161,2400000
"s47_vc16",847578,1,1,0.615349282737294,1,1,120000,0,5.07918124604763,120000
"s48_vc16",828393,1,1,0.61534929308369,1,1,56000,0,4.7481880270062,56000
"s49_vc16",628695,1,1,0.61534943827506,1,1,9,0,0.954242509439325,9
"s50_vc16",684509,1,1,0.615349389165328,1,1,18,0,1.25527250510331,18
"s51_vc16",1144785,1,1,0.615349166753117,1,1,7e+05,0,5.84509804001426,7e+05
"s52_vc16",554412,1,1,0.615349518972634,1,1,10,0,1,10
"s53_vc16",619160,1,1,0.61534944755022,1,1,13,0,1.11394335230684,13
"s54_vc16",554588,1,1,0.615349518755887,1,1,12,0,1.07918124604762,12
"s55_vc16",891692,1,1,0.615349260635614,1,1,6600,0,3.81954393554187,6600
"s56_vc16",215394,1,1,0.615350593954217,1,1,2,0,0.301029995663981,2
"s57_vc16",260054,1,1,0.615350292051783,1,1,4,0,0.602059991327962,4
"s58_vc16",226598,1,1,0.615350507032437,1,1,40,0,1.60205999132796,40
"s59_vc16",612254,1,1,0.615349454448419,1,1,2200,0,3.34242268082221,2200
"s60_vc16",223398,1,1,0.615350530968888,1,1,147,0,2.16731733474818,147
