"","s34_vc5","s1_vc08","s10_vc08","s11_vc08","s12_vc08","s13_vc08","s14_vc08","s15_vc08","s16_vc08","s17_vc08","s18_vc08","s19_vc08","s2_vc08","s20_vc08","s21_vc08","s22_vc08","s23_vc08","s24_vc08","s25_vc08","s26_vc08","s27_vc08","s28_vc08","s29_vc08","s3_vc08","s30_vc08","s31_vc08","s32_vc08","s33_vc08","s34_vc08","s35_vc08","s36_vc08","s37_vc08","s38_vc08","s39_vc08","s4_vc08","s40_vc08","s41_vc08","s42_vc08","s43_vc08","s44_vc08","s45_vc08","s46_vc08","s47_vc08","s48_vc08","s49_vc08","s5_vc08","s50_vc08","s51_vc08","s52_vc08","s53_vc08","s54_vc08","s55_vc08","s56_vc08","s57_vc08","s58_vc08","s59_vc08","s6_vc08","s60_vc08","s61_vc08","s62_vc08","s63_vc08","s64_vc08","s7_vc08","s8_vc08","s9_vc08","s1_vc12","s10_vc12","s11_vc12","s12_vc12","s13_vc12","s14_vc12","s15_vc12","s16_vc12","s17_vc12","s18_vc12","s19_vc12","s2_vc12","s20_vc12","s21_vc12","s22_vc12","s23_vc12","s24_vc12","s25_vc12","s26_vc12","s27_vc12","s28_vc12","s29_vc12","s3_vc12","s30_vc12","s31_vc12","s32_vc12","s33_vc12","s34_vc12","s35_vc12","s36_vc12","s37_vc12","s38_vc12","s39_vc12","s4_vc12","s40_vc12","s41_vc12","s42_vc12","s43_vc12","s44_vc12","s45_vc12","s46_vc12","s47_vc12","s48_vc12","s49_vc12","s5_vc12","s50_vc12","s51_vc12","s52_vc12","s53_vc12","s54_vc12","s55_vc12","s56_vc12","s57_vc12","s58_vc12","s59_vc12","s6_vc12","s60_vc12","s61_vc12","s62_vc12","s63_vc12","s64_vc12","s7_vc12","s8_vc12","s9_vc12"
"s34_vc5",1,0.997819369500045,0.301029995663981,0.792481250360578,0.72169761342906,0.807081784760303,0.919473145928692,0.843932126754913,1,0.975899977258537,0.994030369230856,0.974025875839486,0.87950149446598,0.998726520058976,0.997662709750721,0.996605440013099,0.850251938440372,0.971511208525532,0.94600179758435,0.979600584193032,0.933262056194717,0.967974439701456,0.987945179131878,0.915846254568168,0.945947626745045,0.997662709750721,0.926302895010319,0.982246497169879,0.973689336262888,0.98991163767784,0.98528423817554,0.98904563732508,0,0.90090783131683,0.972946447147468,0.884258917830015,0.841671885793359,0,0.262649535037194,0.913868687892685,0.869591588522027,0.99786260810418,0,0.992468984469956,0.997594036478118,0.978400749942741,0.995085832177314,0,0.95290310260815,0.97039172589518,0.991918709796325,0,0.988735685151703,0.994733735738132,0.979312364325138,0.986436422907539,0.976248970449656,0.992443262727589,0.956482916130275,0.956474836862492,0.940089195840464,0.997789627463388,0.976525315677141,0,0.746228600043274,0,0.982498668566594,0.922813697455414,0.958984618392976,0,0,0.823387329841738,0,0,0,0.944490527707153,0,0.97039172589518,0,0.787253946446637,0.985500841597322,0.987445633893714,0,0,0,0.93895922457104,0,0.903310761878933,0.333333333333333,0,0.903729814265874,0,0.945672026255949,0,0.949396802399395,0,0,0.686820903599663,0.95739304303974,0.960306484462174,0,0.594316128917787,0,0.968120840574075,0,0,0.546602569732902,0.832058390706038,0,0,0.993973367161078,0,0.993973367161078,0,0,0.832058390706038,0.952309223499746,0.998890433265208,0.996581684163113,0.991064590469689,0,0.997819369500045,0.998068563943742,0,0,0,0.683010746090859,0.961556916001192,0
"s1_vc08",0.977727479536729,1,0.602059991327962,0.75,0.72169761342906,0.807081784760303,0.850984214213453,0.843932126754913,0.958484169442767,0.951681431748258,0.934632247546061,0.93398580110882,0.830073517269665,0.956128992662525,0.94230048390477,0.901247448155318,0.832058390706038,0.907069265530659,0.86747655350781,0.896292882097867,0.866786955268344,0.914012375779445,0.901151802593601,0.907456427052652,0.906934422091954,0.954407397842654,0.845717375066183,0.923325181488027,0.902162869837798,0.92578077552565,0.865103168605983,0.91645226325637,0,0.758015992156485,0.882001027122023,0.734361135573556,0.663194188372511,0,0,0.793546143758212,0.674389034116991,0.965140463991613,0,0.96942116761797,0.964727409130827,0.954493411818223,0.959746332226128,0,0.90321002490296,0.919583750816673,0.925679063197266,0,0.97856236541686,0.969139744766334,0.937708039741693,0.928117189215201,0.961870768291698,0.933971070093355,0.923990459661479,0.903669154697401,0.890237478306312,1,0.966379111619794,0.27894294565113,0.706226740099915,0,0.485919352463433,0,0.730034176042138,0,0.27023815442732,0.652519020684038,0,0,0.255958024809815,0.68875134710026,0,0.915171881120732,0,0.425492107106726,0.809054317469837,0.922997019150738,0.333333333333333,0,0,0.892103680166841,0,0,0.528320833573719,0,0.674389034116991,0,0.883239114155539,0,0.842171838205331,0,0,0.244650542118226,0.806698300112059,0.754954158445505,0,0.511916049619631,0,0.907716622964111,0,0,0.470817826733276,0.745724532272885,0,0,0.950270677335105,0,0.925859440308702,0,0.262649535037194,0.691009536168288,0.924060900755578,0.955407243987332,0.962764910176097,0.961474068476359,0,0.956394069629156,0.972099260362436,0,0,0,0.36084880671453,0.910563920613931,0
"s10_vc08",0.131072651312184,0.267532278734751,1,0.5,0.227670248696953,0.506422483176722,0.425492107106726,0.470817826733276,0.134058471358798,0,0,0,0.36208519356008,0,0,0,0,0,0,0,0,0,0,0.366338501827267,0,0,0,0,0,0,0,0,0,0,0.453543536711413,0,0,0,0,0.175425063581955,0,0,0,0,0,0.401208314551677,0,0,0,0,0,0,0.142178282151011,0,0,0,0.399176792602377,0,0,0.172195433794098,0,0.268116942717596,0.390790006158906,0.55788589130226,0.546602569732902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630929753571457,0,0,0,0,0,0,0,0,0,0,0.630929753571457,0,0,0,0.613147192765458,0,0,0,0,0,0,0,0,0.21271206478156,0,0.212245075090173,0,0.133766139367376,0.131198268351752,0,0,0,0,0,0.430676558073393
"s11_vc08",0.415490474399824,0.401298418102127,0.602059991327962,1,0.528633946819448,0.436208583971063,0.493981038821965,0.470817826733276,0.212477650007696,0,0,0,0.18104259678004,0,0,0,0.208014597676509,0.151178210921776,0,0,0,0,0,0.290316393983294,0,0.270551152719333,0,0,0,0,0,0,0,0,0.375120178738554,0,0,0,0,0,0,0.211332675975502,0,0,0,0.435725522638282,0,0,0,0,0,0,0.330127747809254,0,0,0,0.358558319245215,0,0.330885107838117,0,0,0.402175414076394,0.35102493527408,0.44211410869774,0.470817826733276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386852807234542,0,0,0,0,0,0,0,0,0.21271206478156,0,0.310933414909891,0,0.267532278734751,0.415888670994158,0,0,0,0,0,0
"s12_vc08",0.415490474399824,0.424028629527061,0.301029995663981,0.580482023721841,1,0.218104291985532,0.549940570611859,0.235408913366638,0.402175414076394,0,0,0,0.286945726929545,0,0,0,0.208014597676509,0.151178210921776,0,0,0,0,0,0.183169250913634,0,0.405826729078999,0,0,0,0,0,0,0,0,0.256059357683627,0,0,0,0,0,0,0.442932847541392,0,0,0,0.465625688310465,0,0,0,0,0,0,0.399144900206335,0,0,0,0.358558319245215,0,0,0,0,0.424955300015392,0.479223590474258,0.27894294565113,0.235408913366638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402619111842916,0.348083806072822,0.346156808013571,0,0.401298418102127,0.415888670994158,0,0,0,0,0,0
"s13_vc08",0.485026444877665,0.494993535057433,0.698970004336019,0.5,0.227670248696953,1,0.425492107106726,0.546602569732902,0.445332602364444,0,0,0,0.36208519356008,0,0,0,0,0,0,0,0,0,0,0.425305829815839,0,0.467976606088014,0,0,0,0,0,0,0,0,0.57917029256962,0,0,0,0,0.175425063581955,0,0.422665351951004,0,0,0,0.536933409530326,0,0,0,0,0,0,0.450694491252608,0,0,0,0.489508259602535,0,0.262220243985245,0.344390867588196,0,0.496075291969376,0.541968217080682,0.55788589130226,0.546602569732902,0,0,0,0,0,0,0.205846832460434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630929753571457,0,0,0,0.386852807234542,0,0,0,0,0,0,0,0,0.464277761925683,0.498290842081557,0.444845147833289,0,0.375529029757645,0.470340872200583,0,0,0,0,0,0.430676558073393
"s14_vc08",0.566486574177504,0.535064557469502,0.602059991327962,0.580482023721841,0.588519055411483,0.436208583971063,1,0.373114300021637,0.480594592725292,0,0,0,0.42036789183494,0,0,0,0.208014597676509,0.151178210921776,0,0,0,0,0,0.290316393983294,0,0.500579115655737,0,0,0,0,0,0,0,0,0.375120178738554,0,0,0,0,0,0,0.545006244500313,0,0,0,0.401208314551677,0,0,0,0,0,0,0.450694491252608,0,0,0,0.46326798840333,0,0,0,0,0.536233885435192,0.630401801396035,0.44211410869774,0.373114300021637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386852807234542,0,0,0,0,0,0,0,0,0.548563552945045,0.465837366819825,0.463258482981717,0,0.444361496509103,0.557320733847564,0,0,0,0,0,0
"s15_vc08",0.469890539824281,0.479546593498281,0.602059991327962,0.5,0.227670248696953,0.506422483176722,0.337194517058496,1,0.424955300015392,0,0,0,0.467988323709585,0.137260781211359,0,0,0,0.151178210921776,0,0,0,0,0,0.549507752740901,0,0.349682292153179,0,0,0,0,0,0,0,0,0.417614825126623,0,0,0,0,0,0,0.442932847541392,0,0,0,0.465625688310465,0,0,0.283791072995835,0,0,0,0.367525527777315,0,0,0,0.46326798840333,0,0.165442553919058,0.272923305359058,0,0.480594592725292,0.453534632765329,0.55788589130226,0.608523213388275,0.315464876785729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386852807234542,0,0,0,0,0,0,0,0,0.402619111842916,0.403971592596465,0.346156808013571,0,0.375529029757645,0.435831213638258,0,0,0,0,0,0
"s16_vc08",0.977727479536729,0.956394069629156,0.301029995663981,0.396240625180289,0.683010746090859,0.724526775162254,0.762686624165222,0.746228600043274,1,0.983412347489785,0.990978389705255,0.970946866374476,0.795196552102081,0.986880935724485,0.988023150314293,0.986050230576886,0.832058390706038,0.974032670772507,0.92838546479908,0.968650840522625,0.941548325617802,0.942570894548695,0.967461968899884,0.889832739830186,0.951902839606134,0.955869287847983,0.868466942020106,0.931323557457223,0.909102914457833,0.921027223382286,0.902190237252634,0.753164579648136,0,0.814550976584631,0.876642738915353,0.663194188372511,0.442129458915007,0,0,0.824574936418045,0.735980424402808,0.953319205107736,0,0.951359286022768,0.954443517167225,0.89320781811472,0.947457551265192,0,0.869832338981737,0.919583750816673,0.929475581547892,0,0.964162074717006,0.956613406341449,0.927680852241303,0.92578077552565,0.884520728906594,0.925588322445384,0.913832196740222,0.922545991509651,0.890237478306312,0.957117340490221,0.944550503451345,0,0.706226740099915,0.315464876785729,0.242959676231717,0,0.923931176785609,0,0,0.761723794690127,0,0,0,0.748873234524967,0,0.928163107772913,0,0.212746053553363,0.866243380179482,0.927970531372376,0,0,0,0.928057604860037,0,0.75160729883643,0,0,0.674389034116991,0,0,0,0.825816041252847,0,0,0.38776193503849,0.778326556204762,0.924247966044286,0,0,0,0.914563721869169,0,0,0.546602569732902,0.79198540232349,0,0,0.939256122124841,0,0.858220413256063,0,0,0.769745479195295,0.924060900755578,0.955407243987332,0.966826436597055,0.949094431102024,0,0.956394069629156,0.978664511253522,0,0,0,0.455340497393906,0.915678730938419,0
"s17_vc08",0.842307559432848,0.838283841788188,0,0,0,0,0,0,0.868126924682419,1,0.777033544674682,0.627447099437764,0,0.844119093875517,0.864724423640334,0.842918616616147,0.624043793029528,0.741814941432986,0.37840071903374,0.722278433481358,0.55995723371683,0.505829420047681,0.737580992541698,0,0.582749447260297,0.785593284206488,0,0,0,0,0,0.141520998822153,0,0,0,0,0,0,0,0,0.212746053553363,0.781080182623035,0,0.76277210433423,0.835841474942304,0,0.760909623292876,0,0,0.642176341736086,0.525993649038836,0,0.704379120849681,0.832860837862545,0.724052077025372,0.752145187090493,0,0.704420597365706,0.593105351823362,0.272923305359058,0.483413698617706,0.84261141333587,0.424410894539112,0,0,0,0,0,0.163705655445216,0,0.27023815442732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169991616286914,0,0,0,0,0,0.386852807234542,0,0,0,0,0,0,0,0,0,0.622422203016621,0,0.135752953905015,0,0,0,0.247948028217937,0.822588828172084,0.798616469175532,0.781092409748385,0,0.840773989188339,0.843114807786814,0,0,0,0,0,0
