"","s34_vc5","s1_vc08","s10_vc08","s11_vc08","s12_vc08","s13_vc08","s14_vc08","s15_vc08","s16_vc08","s17_vc08","s18_vc08","s19_vc08","s2_vc08","s20_vc08","s21_vc08","s22_vc08","s23_vc08","s24_vc08","s25_vc08","s26_vc08","s27_vc08","s28_vc08","s29_vc08","s3_vc08","s30_vc08","s31_vc08","s32_vc08","s33_vc08","s34_vc08","s35_vc08","s36_vc08","s37_vc08","s38_vc08","s39_vc08","s4_vc08","s40_vc08","s41_vc08","s42_vc08","s43_vc08","s44_vc08","s45_vc08","s46_vc08","s47_vc08","s48_vc08","s49_vc08","s5_vc08","s50_vc08","s51_vc08","s52_vc08","s53_vc08","s54_vc08","s55_vc08","s56_vc08","s57_vc08","s58_vc08","s59_vc08","s6_vc08","s60_vc08","s61_vc08","s62_vc08","s63_vc08","s64_vc08","s7_vc08","s8_vc08","s9_vc08","s1_vc12","s10_vc12","s11_vc12","s12_vc12","s13_vc12","s14_vc12","s15_vc12","s16_vc12","s17_vc12","s18_vc12","s19_vc12","s2_vc12","s20_vc12","s21_vc12","s22_vc12","s23_vc12","s24_vc12","s25_vc12","s26_vc12","s27_vc12","s28_vc12","s29_vc12","s3_vc12","s30_vc12","s31_vc12","s32_vc12","s33_vc12","s34_vc12","s35_vc12","s36_vc12","s37_vc12","s38_vc12","s39_vc12","s4_vc12","s40_vc12","s41_vc12","s42_vc12","s43_vc12","s44_vc12","s45_vc12","s46_vc12","s47_vc12","s48_vc12","s49_vc12","s5_vc12","s50_vc12","s51_vc12","s52_vc12","s53_vc12","s54_vc12","s55_vc12","s56_vc12","s57_vc12","s58_vc12","s59_vc12","s6_vc12","s60_vc12","s61_vc12","s62_vc12","s63_vc12","s64_vc12","s7_vc12","s8_vc12","s9_vc12"
"s34_vc5",197,175,1,8,8,12,19,11,175,85,133,73,28,154,165,169,16,85,31,82,31,66,116,31,41,165,42,102,85,119,109,126,0,28,64,15,13,0,1,36,16,178,0,153,161,78,157,0,39,65,144,0,123,148,81,117,79,131,54,46,43,173,87,0,8,0,84,27,57,0,0,15,0,0,0,40,0,65,0,12,75,112,0,0,0,45,0,27,1,0,18,0,44,0,47,0,0,6,34,50,0,4,0,82,0,0,4,15,0,0,159,0,159,0,0,15,67,173,168,168,0,175,194,0,0,0,7,56,0
"s1_vc08",175,177,3,7,8,12,15,11,141,76,99,61,23,124,124,103,15,63,23,56,24,52,76,30,35,132,30,77,61,87,61,88,0,16,43,9,7,0,0,22,8,150,0,136,136,70,131,0,32,52,103,0,117,130,67,88,74,98,47,37,35,175,83,1,7,0,8,0,21,0,1,8,0,0,1,14,0,51,0,3,34,82,1,0,0,37,0,0,2,0,8,0,34,0,30,0,0,1,19,21,0,3,0,62,0,0,3,11,0,0,127,0,112,0,1,9,59,138,141,144,0,141,169,0,0,0,2,45,0
"s10_vc08",1,3,9,3,1,4,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,3,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,1
"s11_vc08",8,7,3,15,4,3,4,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,3,8,0,0,0,0,0,0
"s12_vc08",8,8,1,4,20,1,5,1,7,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,7,8,0,0,0,0,0,0
"s13_vc08",12,12,4,3,1,23,3,4,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,8,0,0,0,10,0,0,0,0,0,0,8,0,0,0,8,0,2,3,0,12,11,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,12,9,0,6,11,0,0,0,0,0,1
"s14_vc08",19,15,3,4,5,3,25,2,11,0,0,0,4,0,0,0,1,1,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,15,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,10,10,0,9,18,0,0,0,0,0,0
"s15_vc08",11,11,3,3,1,4,2,18,8,0,0,0,5,1,0,0,0,1,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,7,0,0,2,0,0,0,5,0,0,0,7,0,1,2,0,11,7,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,5,0,6,9,0,0,0,0,0,0
"s16_vc08",175,141,1,2,7,9,11,8,175,88,131,72,20,145,157,160,15,86,29,78,32,59,105,28,42,133,33,80,63,85,73,39,0,20,42,7,3,0,0,25,10,141,0,124,129,53,123,0,28,52,105,0,109,122,64,87,52,94,45,40,35,140,75,0,7,1,2,0,49,0,0,12,0,0,0,18,0,54,0,1,44,84,0,0,0,43,0,15,0,0,8,0,0,0,28,0,0,2,17,43,0,0,0,64,0,0,4,13,0,0,120,0,79,0,0,12,59,138,144,135,0,141,175,0,0,0,3,46,0
"s17_vc08",85,76,0,0,0,0,0,0,88,95,45,15,0,70,83,76,7,29,3,25,7,8,34,0,9,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,57,0,47,70,0,47,0,0,15,13,0,30,65,25,37,0,31,11,2,6,77,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,2,69,60,56,0,77,85,0,0,0,0,0,0
