,s34_vc5,s1_vc08,s10_vc08,s11_vc08,s12_vc08,s13_vc08,s14_vc08,s15_vc08,s16_vc08,s17_vc08,s18_vc08,s19_vc08,s2_vc08,s20_vc08,s21_vc08,s22_vc08,s23_vc08,s24_vc08,s25_vc08,s26_vc08,s27_vc08,s28_vc08,s29_vc08,s3_vc08,s30_vc08,s31_vc08,s32_vc08,s33_vc08,s34_vc08,s35_vc08,s36_vc08,s37_vc08,s38_vc08,s39_vc08,s4_vc08,s40_vc08,s41_vc08,s42_vc08,s43_vc08,s44_vc08,s45_vc08,s46_vc08,s47_vc08,s48_vc08,s49_vc08,s5_vc08,s50_vc08,s51_vc08,s52_vc08,s53_vc08,s54_vc08,s55_vc08,s56_vc08,s57_vc08,s58_vc08,s59_vc08,s6_vc08,s60_vc08,s61_vc08,s62_vc08,s63_vc08,s64_vc08,s7_vc08,s8_vc08,s9_vc08,s1_vc12,s10_vc12,s11_vc12,s12_vc12,s13_vc12,s14_vc12,s15_vc12,s16_vc12,s17_vc12,s18_vc12,s19_vc12,s2_vc12,s20_vc12,s21_vc12,s22_vc12,s23_vc12,s24_vc12,s25_vc12,s26_vc12,s27_vc12,s28_vc12,s29_vc12,s3_vc12,s30_vc12,s31_vc12,s32_vc12,s33_vc12,s34_vc12,s35_vc12,s36_vc12,s37_vc12,s38_vc12,s39_vc12,s4_vc12,s40_vc12,s41_vc12,s42_vc12,s43_vc12,s44_vc12,s45_vc12,s46_vc12,s47_vc12,s48_vc12,s49_vc12,s5_vc12,s50_vc12,s51_vc12,s52_vc12,s53_vc12,s54_vc12,s55_vc12,s56_vc12,s57_vc12,s58_vc12,s59_vc12,s6_vc12,s60_vc12,s61_vc12,s62_vc12,s63_vc12,s64_vc12,s7_vc12,s8_vc12,s9_vc12
lm1 mapping,594,1461,0,0,0,0,0,0,2330,131,216,116,0,561,95,49,0,923,5338,1,1980,0,56,394,0,1469,0,3,0,65,0,12,0,0,0,0,0,0,0,0,0,1187,0,13,18,0,116,0,0,0,84,0,1,1,0,1,0,125,2758,0,4864,1038,0,0,0,0,10,329,79,0,0,0,0,0,0,0,0,0,0,0,3154,0,0,0,0,0,0,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4622,2123,5585,0,858,4141,0,0,0,0,0,0
lm2 mapping,310,0,0,0,0,0,0,0,501,0,0,259,0,100,0,3115,0,159,0,0,0,0,0,0,0,1668,0,44,187,9,0,10,0,0,0,0,0,0,0,0,0,569,0,28,13,0,0,0,0,0,104,0,0,32,0,43,0,0,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,13,0,0,0,0,2665,3260,2800,0,4179,2082,0,0,0,0,0,0
lm3 mapping,708,4988,0,0,0,0,0,0,548,258,0,0,699,499,324,23,0,0,0,37,0,178,0,0,0,3218,0,82,0,451,1029,203,0,0,0,0,25901,0,0,0,0,1915,0,0,17,0,100,0,0,0,282,0,2,19,0,0,0,276,0,0,1669,3480,387,0,0,0,715,0,8894,0,0,0,0,0,0,0,0,3541,0,0,0,0,0,0,0,1139,0,0,0,0,11307,0,238,0,0,0,0,0,481,0,0,116830,0,175,0,0,0,0,0,0,188,0,27,0,0,0,763,2942,10678,5777,0,6311,5573,0,0,0,0,297,0
lm4 mapping,1148,2154,0,72997,197487,0,142213,0,3329,5488,5897,2773,0,5422,1714,4963,333226,11153,883,921,4716,2198,2996,0,4058,2767,0,0,168,47,134,68,0,290,93,0,0,0,0,67,0,958,0,8,32,2045,105,0,0,0,159,0,4,7,0,52,153,458,2004,1689,0,1479,585,0,0,0,0,0,0,0,0,0,0,0,0,956,0,0,0,0,124,9,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,7,0,13,0,0,0,0,3183,1719,13559,0,7486,7598,0,0,0,8302,129,0
lm5 mapping,1196,3277,0,0,0,0,0,1096,1540,256,424,217,0,2045,380,357,0,0,0,26,0,171,16,0,0,1089,0,31,162,486,0,52034,0,16636,632,0,0,0,165425,128,0,4122,0,112,298,1161,796,0,0,72,77,0,2,224,61,1075,980,0,1793,0,1238,2407,2730,0,0,0,3399,0,2131,0,0,0,0,0,0,0,0,104340,0,0,0,1433,0,0,0,51061,0,0,0,0,4530,0,45,0,44024,0,0,0,52560,8496,0,0,0,194417,0,10330,0,6904,0,0,52,0,20869,0,0,0,5002,8365,15369,3455,0,3963,6223,0,0,0,0,4942,0
lm6 mapping,727,3529,5813,0,0,3213,0,0,2010,282,767,217,0,957,137,222,509,943,0,0,0,0,292,132,192,1003,0,0,0,0,29,0,0,0,843,0,0,0,0,0,0,1532,0,79,37,1761,73,0,0,0,125,0,6,212,0,79,955,422,0,1403,1035,2624,1341,0,0,0,0,0,903,0,0,0,0,0,0,8434,0,0,0,0,614,66,0,0,33039,0,0,8531,0,0,0,0,0,975397,0,0,0,200810,932,0,0,0,0,0,0,0,1835,0,0,0,26,0,6,0,0,0,0,18609,8680,8427,0,2995,4382,0,0,0,0,0,63083
lm7 mapping,756,235,0,0,0,0,0,0,173,0,207,0,0,282,623,107,0,0,0,0,0,0,525,0,0,4154,31,61,233,143,332,314,0,0,0,739,0,0,0,0,0,3263,0,122,91,0,1194,0,340,197,483,0,1,149,65,186,0,527,0,0,1227,181,0,0,0,0,14,366,0,0,0,0,0,0,42,0,0,37860,0,12975,0,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442,2623,0,0,0,23,0,0,0,0,0,0,30,0,55,0,0,9502,0,0,10359,3487,0,6407,6260,0,0,0,35600,0,0
lm8 mapping,63,0,0,0,0,0,0,0,923,59,0,0,0,412,5,179,101,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,54,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,527,0,0,0,0,0,0
lm9 mapping,497,186,0,0,0,0,0,0,949,0,0,0,0,50,21,132,0,0,0,18,0,12888,0,0,0,392,0,0,408,0,5,0,0,0,0,0,0,0,0,0,0,1122,0,38,34,0,80,0,0,170,174,0,0,26,97,256,0,2,0,1507,0,116,0,0,0,0,48,143,0,0,0,0,0,0,0,0,0,0,0,617,57,60,0,65064,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,9,0,0,0,0,9062,7887,7832,0,4393,3113,0,0,0,0,0,0
lm10 mapping,573,504,0,0,0,0,0,0,918,0,622,42492,0,0,156,51,0,0,0,64,669,133,433,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1480,0,4,4,0,65,0,0,0,0,0,0,0,0,11,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,2251,0,0,1701,0,0,0,0,0,0,0,0,0,0,0,0,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,601,4363,14531,0,1623,4101,0,0,0,0,0,0
