barcode,vc1,s61_vc12,s40_vc16,s41_vc16,s34_vc5,s1_vc08,s10_vc08,s11_vc08,s12_vc08,s13_vc08,s14_vc08,s15_vc08,s16_vc08,s17_vc08,s18_vc08,s19_vc08,s2_vc08,s20_vc08,s21_vc08,s22_vc08,s23_vc08,s24_vc08,s25_vc08,s26_vc08,s27_vc08,s28_vc08,s29_vc08,s3_vc08,s30_vc08,s31_vc08,s32_vc08,s33_vc08,s34_vc08,s35_vc08,s36_vc08,s37_vc08,s38_vc08,s39_vc08,s4_vc08,s40_vc08,s41_vc08,s42_vc08,s43_vc08,s44_vc08,s45_vc08,s46_vc08,s47_vc08,s48_vc08,s49_vc08,s5_vc08,s50_vc08,s51_vc08,s52_vc08,s53_vc08,s54_vc08,s55_vc08,s56_vc08,s57_vc08,s58_vc08,s59_vc08,s6_vc08,s60_vc08,s61_vc08,s62_vc08,s63_vc08,s64_vc08,s7_vc08,s8_vc08,s9_vc08,s1_vc12,s10_vc12,s11_vc12,s12_vc12,s13_vc12,s14_vc12,s15_vc12,s16_vc12,s17_vc12,s18_vc12,s19_vc12,s2_vc12,s20_vc12,s21_vc12,s22_vc12,s23_vc12,s24_vc12,s25_vc12,s26_vc12,s27_vc12,s28_vc12,s29_vc12,s3_vc12,s30_vc12,s31_vc12,s32_vc12,s33_vc12,s34_vc12,s35_vc12,s36_vc12,s37_vc12,s38_vc12,s39_vc12,s4_vc12,s40_vc12,s41_vc12,s42_vc12,s43_vc12,s44_vc12,s45_vc12,s46_vc12,s47_vc12,s48_vc12,s49_vc12,s5_vc12,s50_vc12,s51_vc12,s52_vc12,s53_vc12,s54_vc12,s55_vc12,s56_vc12,s57_vc12,s58_vc12,s59_vc12,s6_vc12,s60_vc12,s61_vc12,s62_vc12,s63_vc12,s64_vc12,s7_vc12,s8_vc12,s9_vc12
lm1 mapping,659,4141,2558,3201,594,1461,0,1,0,3,0,3,2330,131,216,116,0,561,95,49,2,923,5340,1,1981,0,56,397,0,1469,0,4,0,65,0,12,0,10,0,1,2,1,1,0,1,1187,33,13,18,1,116,41,50,9,84,4,1,1,0,1,1,125,2758,1,4865,1038,2,2,2,0,10,330,79,6,0,2,3,0,0,1,0,17,0,0,3154,0,0,0,0,0,3,2386,1,0,0,0,6,0,1,0,0,0,127,0,2,0,0,0,4,1,0,0,6,0,4,38,0,4,0,0,0,4622,2123,5585,0,858,4141,195,196,0,0,0,2
lm2 mapping,373,2082,519,438,310,0,0,0,0,0,2,1,501,0,0,259,0,100,0,3115,2,159,1,0,6,1,0,0,2,1668,0,44,187,9,0,10,1,1,0,2,0,0,1,0,0,569,5,28,13,0,0,23,77,20,104,4,0,32,5,43,5,0,0,2,1242,0,3,0,0,0,5,0,0,5,0,0,41,2,2,0,0,0,0,0,0,0,2,0,0,0,3,3,0,1,0,0,11,0,2719,0,0,0,13,0,3,0,0,0,5,0,0,0,7,0,164,0,13,0,0,0,0,2665,3260,2800,0,4179,2082,0,42,50,0,9,5
lm3 mapping,928,5573,1457,3810,708,4988,0,0,0,0,1,1,548,259,0,49,709,499,324,23,9,0,10,39,0,188,0,0,2,3218,3,86,2,452,1031,203,11,2,0,1,25904,1,0,1,0,1915,12,0,17,0,100,6,50,4,282,6,2,19,5,0,0,277,0,0,1675,3480,389,1,11,0,715,0,8894,31,0,0,0,0,0,0,0,3541,0,0,0,0,0,0,0,1140,0,0,0,0,11307,0,238,0,10,0,0,0,481,0,0,116843,0,175,0,0,0,0,4,0,188,6,27,0,0,0,763,2942,10678,5777,0,6311,5573,0,0,0,0,298,1
lm4 mapping,956,7598,3760,1751,1148,2154,68,73077,197620,6,142416,94,3329,5494,5897,2773,2,5422,1714,4963,333247,11169,919,932,4736,2241,2999,55,4096,2767,3,3,193,51,145,70,96,299,133,5,6,161,67,134,5,958,240,8,32,2068,105,80,169,5,161,140,4,7,4,52,174,461,2012,1697,165,1479,594,6,4,0,2,5,0,5,0,0,10,0,0,959,0,140,0,0,124,9,0,0,0,0,6,0,0,0,120,0,0,337,753,0,0,0,142,0,0,0,78,108,3,0,0,304,4,0,7,3,13,0,0,0,0,3183,1719,13559,0,7486,7598,0,0,0,8524,135,6
lm5 mapping,1026,6223,1237,2168,1196,3277,1,50,4,16,1,1128,1540,260,424,217,0,2045,380,357,65,5,1,36,50,208,19,54,5,1089,1,46,186,490,2,52035,265,16645,671,4,6,3,165480,193,23,4122,29,112,298,1183,796,149,89,72,78,36,2,224,62,1075,1001,2,1801,3,1260,2407,2737,2,2,0,3399,0,2131,4,9,23,0,0,0,0,0,104340,0,0,0,1433,0,0,0,51067,0,0,0,0,4530,0,45,0,44028,0,0,0,52563,8496,0,0,0,194417,0,10520,0,6905,13,0,52,0,20869,0,0,0,5002,8365,15369,3455,0,3963,6223,0,127,102,0,4948,2
lm6 mapping,728,4382,0,534,727,3529,5853,0,2,3265,2,1,2010,289,767,217,4,957,137,222,541,969,1,5,140,0,297,234,252,1003,2,3,6,0,45,2,18,1,908,4,4,7,0,0,3,1532,31,79,37,1798,73,80,130,4,128,80,6,212,3,79,988,428,3,1416,1075,2624,1354,5,2,0,1,0,903,13,0,0,0,1,0,8440,0,94,0,0,614,66,0,0,33110,0,0,8639,0,0,0,0,0,975407,0,0,0,200937,936,0,44,0,0,0,0,0,1836,0,78,0,26,0,6,0,0,0,0,18609,8680,8427,0,2995,4382,30,0,0,0,0,63093
lm7 mapping,771,6260,1150,2731,756,235,2,0,3,1,3,1,173,35,207,16,0,282,623,107,4,2,1,0,0,1,525,1,1,4154,39,63,237,143,333,314,10,3,0,742,1,1,0,2,0,3263,72,122,91,1,1194,186,340,197,483,35,1,149,65,186,1,527,0,0,1231,181,3,0,0,0,14,370,0,6,7,2,1,0,58,0,0,37860,0,12991,0,1608,18,0,0,0,0,0,12,0,0,0,20,0,14,0,0,0,1442,2623,0,0,0,23,4,4,0,130,1,0,30,0,55,0,0,9508,0,0,10359,3487,0,6407,6260,240,442,772,35637,19,1
lm8 mapping,95,527,0,0,63,0,0,0,0,0,0,0,923,59,0,4,0,412,5,179,101,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,54,2,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,527,19,0,0,0,0,1
lm9 mapping,663,3113,292,1250,497,186,0,16,6,0,3,0,949,0,0,0,0,50,21,132,0,0,0,19,3,12893,0,0,1,392,0,0,411,0,6,0,2,0,3,0,0,0,0,8,0,1122,15,38,34,0,80,13,196,170,174,0,0,26,97,256,0,2,0,1508,0,116,1,0,0,0,48,146,0,1,0,0,0,0,0,2,0,126,0,629,57,60,0,65068,0,0,0,2,0,0,0,0,81,0,2,0,0,0,6,0,0,0,0,0,6,2,0,1,9,0,70,7,9,4,0,0,0,9062,7887,7832,0,4393,3113,8,0,498,0,0,5
lm10 mapping,695,4101,827,7808,573,504,0,14,0,0,1,0,918,1,622,42492,0,0,156,51,42,0,0,64,670,137,433,22,0,0,1,0,0,27,0,0,1,0,0,0,0,0,35,0,1,1480,1,4,4,0,65,36,118,0,0,0,0,0,0,11,0,0,0,2,0,406,0,0,0,0,4,1,0,9,0,2258,0,0,1710,3,0,3,0,0,0,0,0,0,0,0,9,2412,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,163,0,0,3,13,4,1,0,0,0,601,4363,14531,0,1623,4101,0,3,0,0,0,3
